unix_timestamp,active_power (mW)
1770037303263951,45410
1770037303306565,41210
1770037303349158,45370
1770037303392300,45320
1770037303435022,45420
1770037303481109,45340
1770037303524274,45250
1770037303566852,45310
1770037303609983,45450
1770037303652966,45430
1770037303695952,45390
1770037303739161,45360
1770037303782124,45360
1770037303825150,45370
1770037303867768,45380
1770037303911015,45380
1770037303953709,45320
1770037303996433,45320
1770037304041598,45410
1770037304084535,45430
1770037304127233,45350
1770037304169933,45210
1770037304212368,45390
1770037304255207,45480
1770037304297689,45460
1770037304340241,45520
1770037304383103,45320
1770037304425526,45210
1770037304468566,45370
1770037304511189,45350
1770037304553963,45250
1770037304596639,45320
1770037304642129,45380
1770037304685277,45340
1770037304728227,45320
1770037304771136,45230
1770037304813979,45340
1770037304857014,45310
1770037304900057,45440
1770037304943112,45330
1770037304986446,45290
1770037305029488,45300
1770037305072688,45360
1770037305115657,45410
1770037305158217,45340
1770037305202596,45310
1770037305245088,45380
1770037305288013,45350
1770037305330753,45460
1770037305373110,45260
1770037305416227,45350
1770037305459012,45310
1770037305501887,45360
1770037305544851,45320
1770037305587833,45280
1770037305630687,45270
1770037305673190,45420
1770037305716085,45370
1770037305763050,45350
1770037305805841,45370
1770037305848791,45380
1770037305891907,45340
1770037305934860,45350
1770037305977901,45270
1770037306020828,45410
1770037306063722,45380
1770037306106507,45340
1770037306148966,45320
1770037306191936,45290
1770037306235012,45330
1770037306277619,45340
1770037306323537,45360
1770037306366453,45460
1770037306409248,45410
1770037306452188,45450
1770037306494891,45330
1770037306537271,45350
1770037306580484,45380
1770037306623663,45390
1770037306666246,45460
1770037306709194,45380
1770037306752331,45350
1770037306795365,45320
1770037306838156,45420
1770037306884084,45420
1770037306926788,45400
1770037306969144,45460
1770037307012257,45460
1770037307055134,45360
1770037307097827,45340
1770037307141044,45320
1770037307184091,45350
1770037307227124,45410
1770037307270218,45390
1770037307313165,45250
1770037307356248,45310
1770037307399306,45450
1770037307444590,45380
1770037307487590,45310
1770037307530636,45340
1770037307573869,45340
1770037307616738,45410
1770037307659960,45340
1770037307702849,45380
1770037307745439,45330
1770037307788617,45350
1770037307831460,45350
1770037307874529,45290
1770037307917637,45340
1770037307960651,45360
1770037308005018,45340
1770037308047744,45360
1770037308090665,45320
1770037308133600,45350
1770037308176780,45410
1770037308219837,45370
1770037308262920,45350
1770037308305498,45330
1770037308348536,45300
1770037308390977,45420
1770037308433569,45490
1770037308476707,45370
1770037308519377,45360
1770037308565517,45370
1770037308608223,45380
1770037308651162,45350
1770037308693808,45270
1770037308737018,45340
1770037308780209,45400
1770037308823189,45310
1770037308865856,45380
1770037308908984,45460
1770037308951820,45470
1770037308994843,45440
1770037309037990,45420
1770037309081064,45480
1770037309126088,45500
1770037309168962,45440
1770037309211734,45470
1770037309254620,45580
1770037309297218,45530
1770037309339937,45470
1770037309382769,45450
1770037309425194,45590
1770037309467840,45640
1770037309510378,45500
1770037309553175,45560
1770037309596248,45510
1770037309639374,45540
1770037309682463,45470
1770037309726685,45570
1770037309769187,45560
1770037309812040,45560
1770037309854622,45560
1770037309897147,45480
1770037309940095,45490
1770037309983274,45530
1770037310025874,45540
1770037310068961,45460
1770037310112113,45450
1770037310155137,45390
1770037310197619,45420
1770037310240702,45500
1770037310287117,45390
1770037310330224,45430
1770037310373128,45390
1770037310416107,45410
1770037310458937,45530
1770037310501432,45330
1770037310544614,45340
1770037310587618,45280
1770037310630536,45350
1770037310673267,45370
1770037310716223,45330
1770037310759163,45380
1770037310801753,45380
1770037310847477,45420
1770037310890226,45230
1770037310933225,45400
1770037310976257,45430
1770037311019066,45390
1770037311061576,45380
1770037311104678,45480
1770037311147840,45440
1770037311190732,45510
1770037311233291,45520
1770037311276448,45540
1770037311319468,45450
1770037311362742,45570
1770037311408179,45490
1770037311451081,45500
1770037311493649,45630
1770037311536852,45560
1770037311579994,45440
1770037311622855,45530
1770037311665283,45560
1770037311708448,45520
1770037311751356,45480
1770037311794595,45500
1770037311837158,45500
1770037311880238,45480
1770037311923207,45540
1770037311968563,45460
1770037312011443,45430
1770037312054745,45440
1770037312097879,45460
1770037312140864,45390
1770037312184025,45350
1770037312226726,45260
1770037312269838,45340
1770037312312282,45350
1770037312354920,45320
1770037312397377,45340
1770037312439763,45340
1770037312482646,45290
1770037312529159,45320
1770037312572213,45370
1770037312615329,45340
1770037312658588,45440
1770037312701729,45400
1770037312744878,45340
1770037312787928,45400
1770037312830820,45450
1770037312873249,45410
1770037312916641,45450
1770037312959555,45510
1770037313002330,45490
1770037313045303,45450
1770037313089728,45500
1770037313132132,45530
1770037313175172,45540
1770037313217619,45560
1770037313260633,45530
1770037313303552,45530
1770037313346739,45490
1770037313389654,45480
1770037313432766,45450
1770037313475095,45440
1770037313517592,45480
1770037313560146,45590
1770037313603443,45390
1770037313646171,45380
1770037313690201,45410
1770037313733037,45400
1770037313775696,45390
1770037313818197,45430
1770037313860790,45390
1770037313903487,45350
1770037313945962,45350
1770037313988996,45340
1770037314031983,45360
1770037314074551,45350
1770037314117281,45390
1770037314160181,45280
1770037314202821,45400
1770037314245703,45480
1770037314290852,45430
1770037314333682,45390
1770037314376582,45410
1770037314419080,45390
1770037314461475,45450
1770037314504199,45450
1770037314546535,45540
1770037314589744,45560
1770037314632731,45510
1770037314675142,45520
1770037314718284,45540
1770037314761271,45470
1770037314804232,45480
1770037314846998,45510
1770037314891556,45520
1770037314934463,45460
1770037314977632,45540
1770037315020811,45510
1770037315063825,45490
1770037315106892,45480
1770037315150014,45460
1770037315193108,45470
1770037315236054,45450
1770037315279050,45440
1770037315321744,45440
1770037315364800,45420
1770037315407930,45490
1770037315451899,45380
1770037315494510,45350
1770037315537184,45310
1770037315580195,45480
1770037315623150,45400
1770037315665642,45330
1770037315708573,45360
1770037315751448,45270
1770037315794663,45340
1770037315837133,45390
1770037315880107,45390
1770037315922667,45380
1770037315965064,45410
1770037316008199,45460
1770037316052609,45500
1770037316095661,45400
1770037316138771,45440
1770037316181253,45470
1770037316224143,45540
1770037316266712,45480
1770037316309502,45520
1770037316352199,45550
1770037316394983,45460
1770037316437874,45530
1770037316480455,45500
1770037316523117,45500
1770037316565847,45570
1770037316608541,45480
1770037316653119,45510
1770037316696122,45490
1770037316738915,45490
1770037316781386,45520
1770037316824486,45500
1770037316867520,45440
1770037316910105,45380
1770037316953027,45430
1770037316996203,45410
1770037317039114,45410
1770037317081641,45350
1770037317124570,45380
1770037317167768,45320
1770037317213626,45350
1770037317256355,45270
1770037317299330,45350
1770037317342236,45350
1770037317385145,45310
1770037317427996,45300
1770037317470942,45300
1770037317513481,45340
1770037317556029,45330
1770037317598941,45400
1770037317641890,45560
1770037317684840,45310
1770037317727682,45400
1770037317774178,45430
1770037317817313,45470
1770037317859724,45460
1770037317902563,45520
1770037317945123,45400
1770037317988138,45500
1770037318031032,45490
1770037318073748,45560
1770037318116744,45520
1770037318159818,45520
1770037318202470,45550
1770037318245338,45560
1770037318288450,45490
1770037318334868,45490
1770037318377880,45510
1770037318420920,45490
1770037318463768,45530
1770037318506209,45480
1770037318549229,45450
1770037318592082,45430
1770037318635053,45430
1770037318678116,45580
1770037318721189,45470
1770037318764232,45380
1770037318806821,45360
1770037318849477,45410
1770037318895135,45330
1770037318937806,45380
1770037318980989,45360
1770037319024116,45400
1770037319067053,45340
1770037319109736,45330
1770037319152750,45290
1770037319195705,45350
1770037319238239,45310
1770037319281207,45400
1770037319324185,45300
1770037319367052,45340
1770037319409867,45320
1770037319455811,45380
1770037319498459,45450
1770037319540745,45400
1770037319583092,45440
1770037319625553,45450
