unix_timestamp,active_power (mW)
1770039409971499,45890
1770039410014096,43660
1770039410062132,45580
1770039410105114,45990
1770039410147673,45930
1770039410190914,45870
1770039410233967,45950
1770039410277200,45880
1770039410320076,45940
1770039410362963,45900
1770039410405682,45950
1770039410448737,45940
1770039410491541,45970
1770039410533974,45880
1770039410576500,45980
1770039410620910,45980
1770039410663896,45990
1770039410706907,46030
1770039410749784,45900
1770039410792579,45920
1770039410835429,45950
1770039410878026,45980
1770039410920479,45960
1770039410963548,46040
1770039411006282,46020
1770039411049157,45970
1770039411092518,46020
1770039411134924,46020
1770039411180746,46000
1770039411223922,46060
1770039411266753,46000
1770039411309265,45970
1770039411352362,46010
1770039411395245,45940
1770039411437809,45880
1770039411480790,45900
1770039411523830,45880
1770039411566704,45890
1770039411609874,45910
1770039411653038,45910
1770039411696135,45940
1770039411740614,45780
1770039411783199,45830
1770039411826109,45790
1770039411869264,45780
1770039411912196,45750
1770039411954950,45810
1770039411997703,45770
1770039412040683,45840
1770039412083790,45930
1770039412126476,45820
1770039412169340,45900
1770039412212397,45910
1770039412255372,45970
1770039412300428,45820
1770039412343185,45870
1770039412385768,45900
1770039412428901,45880
1770039412471879,45920
1770039412514874,45920
1770039412557795,45930
1770039412600928,45930
1770039412644208,45920
1770039412687267,46000
1770039412729834,45970
1770039412772841,46110
1770039412816002,45920
1770039412860245,45940
1770039412903219,45860
1770039412946175,45910
1770039412989299,45870
1770039413031892,45860
1770039413074793,45840
1770039413117097,45830
1770039413160104,45860
1770039413202986,45960
1770039413245278,45810
1770039413288428,45780
1770039413331344,45770
1770039413373916,45750
1770039413420030,45810
1770039413463207,45900
1770039413506318,45840
1770039413549426,45890
1770039413592051,45930
1770039413634562,45910
1770039413677682,46000
1770039413720662,45930
1770039413763863,46080
1770039413806733,45960
1770039413849773,45980
1770039413892677,45970
1770039413935604,45990
1770039413979964,45930
1770039414022729,45950
1770039414065521,45900
1770039414108529,45960
1770039414151591,45950
1770039414194232,45990
1770039414237193,46060
1770039414280326,46000
1770039414323264,45910
1770039414365792,45890
1770039414408940,45930
1770039414452047,45900
1770039414494927,45890
1770039414539694,45850
1770039414582409,45830
1770039414625334,45830
1770039414668326,45790
1770039414711283,45810
1770039414754172,45650
1770039414797278,45860
1770039414840186,45790
1770039414882976,45780
1770039414925449,45850
1770039414968654,45780
1770039415011623,45830
1770039415054394,45860
1770039415099434,45870
1770039415142230,45880
1770039415185150,45930
1770039415228303,45950
1770039415271150,45950
1770039415314017,45930
1770039415357230,45920
1770039415399903,45870
1770039415442247,45950
1770039415485117,45910
1770039415528270,45980
1770039415571439,46030
1770039415613997,45950
1770039415659764,46000
1770039415702684,45970
1770039415745713,46020
1770039415788882,46060
1770039415831792,46030
1770039415874802,45980
1770039415917137,45880
1770039415960137,45850
1770039416003173,45810
1770039416045943,45820
1770039416089099,45860
1770039416132188,45850
1770039416175171,45880
1770039416219159,45890
1770039416262177,45790
1770039416305191,45750
1770039416348186,45790
1770039416391182,45710
1770039416434208,45830
1770039416477109,45900
1770039416520159,45810
1770039416563150,45860
1770039416606079,45810
1770039416649216,45940
1770039416692244,45880
1770039416738931,45870
1770039416781231,45910
1770039416824349,46150
1770039416867478,45840
1770039416910176,45900
1770039416953182,45890
1770039416996080,45890
1770039417039266,45910
1770039417082187,45980
1770039417125395,45910
1770039417168477,45900
1770039417211735,45910
1770039417254290,45990
1770039417299007,45950
1770039417341338,45970
1770039417384381,45990
1770039417427289,46010
1770039417469977,46020
1770039417513156,45970
1770039417556123,45960
1770039417598553,45930
1770039417641305,46010
1770039417684297,45990
1770039417727360,45970
1770039417770145,45930
1770039417813336,45970
1770039417858823,45990
1770039417901248,45840
1770039417944473,45860
1770039417986761,45880
1770039418029446,45960
1770039418072680,45890
1770039418115669,45900
1770039418158211,45750
1770039418201173,45790
1770039418244288,45740
1770039418287496,45740
1770039418330713,45700
1770039418373948,45810
1770039418418608,45780
1770039418461050,45740
1770039418504187,45820
1770039418547046,45810
1770039418589868,45830
1770039418632444,45800
1770039418675038,45850
1770039418717741,45850
1770039418760630,45860
1770039418803183,46000
1770039418846048,45940
1770039418888829,46070
1770039418931062,45980
1770039418973824,46050
1770039419018683,46000
1770039419061036,45970
1770039419103959,45980
1770039419146971,46050
1770039419189659,45990
1770039419232823,45990
1770039419276102,45970
1770039419319252,45910
1770039419362275,45930
1770039419405291,45910
1770039419448279,45960
1770039419491559,45920
1770039419538544,45930
1770039419581626,45960
1770039419624794,45910
1770039419667909,45930
1770039419710395,45950
1770039419753479,45940
1770039419796499,45900
1770039419839787,45930
1770039419882548,45960
1770039419925099,46020
1770039419968072,45890
1770039420010771,45920
1770039420053236,45890
1770039420098399,45820
1770039420141138,45850
1770039420183564,45840
1770039420226418,45810
1770039420269211,45900
1770039420312115,45920
1770039420354944,45830
1770039420397571,45910
1770039420440297,45830
1770039420482896,45970
1770039420525444,45860
1770039420568280,45900
1770039420610794,45930
1770039420653194,45970
1770039420698515,46000
1770039420741524,45980
1770039420783871,46060
1770039420826874,46020
1770039420869370,46000
1770039420912559,46050
1770039420955711,46010
1770039420998393,45950
1770039421041310,45920
1770039421084536,45930
1770039421127713,45890
1770039421170142,45850
1770039421213311,45810
1770039421257988,45860
1770039421300909,45870
1770039421344162,45820
1770039421387316,45870
1770039421430105,45830
1770039421472969,45780
1770039421516073,45750
1770039421559321,45700
1770039421602485,45840
1770039421645707,45750
1770039421688991,45750
1770039421731464,45750
1770039421778116,45790
1770039421821146,45700
1770039421864343,45820
1770039421906832,45840
1770039421949361,45990
1770039421992489,45820
1770039422035436,45860
1770039422078645,45930
1770039422120985,45950
1770039422164064,45890
1770039422207152,45920
1770039422250672,45950
1770039422293276,45960
1770039422337998,46020
1770039422381105,46010
