unix_timestamp,active_power (mW)
1770039898264592,45200
1770039898307301,36390
1770039898350456,46240
1770039898393322,45320
1770039898435576,45360
1770039898478163,45260
1770039898521026,45180
1770039898563954,45200
1770039898606680,45330
1770039898649505,45290
1770039898692343,45250
1770039898738397,45240
1770039898781264,45230
1770039898824429,45240
1770039898867458,45250
1770039898910038,45270
1770039898953093,45340
1770039898996151,45240
1770039899038935,45230
1770039899082010,45230
1770039899125098,45190
1770039899167477,45450
1770039899210618,45290
1770039899253768,45220
1770039899298177,45220
1770039899341233,45250
1770039899384193,45210
1770039899427029,45300
1770039899469682,45290
1770039899512299,45290
1770039899554674,45220
1770039899597926,45260
1770039899640727,45220
1770039899683936,45280
1770039899727077,45300
1770039899769647,45320
1770039899812691,45220
1770039899857746,45220
1770039899900607,45240
1770039899943693,45230
1770039899986582,45260
1770039900029153,45200
1770039900072278,45320
1770039900115425,45230
1770039900158138,45260
1770039900201156,45310
1770039900243980,45280
1770039900287057,45290
1770039900329974,45300
1770039900373044,45210
1770039900417514,45200
1770039900460590,45210
1770039900503439,45210
1770039900546056,45290
1770039900589035,45280
1770039900631876,45220
1770039900674665,45170
1770039900717791,45220
1770039900760845,45200
1770039900803951,45220
1770039900846601,45270
1770039900889695,45360
1770039900932086,45290
1770039900977231,45190
1770039901020227,45250
1770039901063049,45200
1770039901105653,45290
1770039901148779,45290
1770039901191942,45390
1770039901234914,45260
1770039901277478,45220
1770039901320600,45140
1770039901363703,45260
1770039901406540,45290
1770039901449293,45250
1770039901492352,45240
1770039901536897,45220
1770039901579889,45190
1770039901622476,45240
1770039901665244,45230
1770039901708294,45320
1770039901751206,45270
1770039901794041,45290
1770039901837351,45240
1770039901880346,45240
1770039901922576,45240
1770039901965254,45160
1770039902008241,45200
1770039902051097,45260
1770039902096583,45280
1770039902139679,45310
1770039902182426,45220
1770039902225470,45400
1770039902268626,45180
1770039902311746,45250
1770039902354789,45220
1770039902397848,45340
1770039902440862,45320
1770039902483326,45240
1770039902526286,45220
1770039902569482,45220
1770039902616274,45240
1770039902659344,45260
1770039902701892,45280
1770039902744800,45270
1770039902787786,45170
1770039902830391,45260
1770039902873629,45170
1770039902916601,45270
1770039902959020,45240
1770039903002123,45350
1770039903045383,45290
1770039903088494,45300
1770039903131396,45390
1770039903176182,45320
1770039903219046,45470
1770039903261403,45180
1770039903304440,45340
1770039903347492,45330
1770039903390462,45310
1770039903433410,45330
1770039903476608,45310
1770039903519703,45310
1770039903562930,45220
1770039903605818,45190
1770039903648944,45300
1770039903691353,45300
1770039903735776,45300
1770039903778880,45290
1770039903821519,45250
1770039903864557,45270
1770039903907367,45240
1770039903949966,45280
1770039903992629,45400
1770039904035545,45360
1770039904078136,45320
1770039904121089,45440
1770039904164063,45390
1770039904206611,45390
1770039904249042,45350
1770039904295588,45330
1770039904338319,45450
1770039904381281,45430
1770039904424404,45430
1770039904467494,45460
1770039904510155,45430
1770039904553272,45380
1770039904596416,45390
1770039904639493,45360
1770039904682272,45450
1770039904725268,45490
1770039904770007,45510
1770039904815238,45480
1770039904858103,45340
1770039904901249,45370
1770039904944558,45360
1770039904987674,45410
1770039905030815,45420
1770039905073342,45440
1770039905115800,45410
1770039905158916,45330
1770039905201496,45320
1770039905243928,45280
1770039905287038,45450
1770039905329875,45360
1770039905374979,45330
1770039905417766,45290
1770039905460626,45220
1770039905503673,45310
1770039905546503,45390
1770039905589629,45410
1770039905632682,45340
1770039905675322,45320
1770039905717870,45270
1770039905760734,45260
1770039905803722,45260
1770039905846353,45360
1770039905889589,45390
1770039905934574,45320
1770039905977010,45250
1770039906019912,45250
1770039906062899,45230
1770039906105232,45280
1770039906148350,45290
1770039906191412,45280
1770039906234439,45260
1770039906277579,45250
1770039906320690,45330
1770039906363560,45210
1770039906406383,45350
1770039906449340,45320
1770039906494314,45250
1770039906537463,45190
1770039906580214,45170
1770039906623380,45250
1770039906666501,45200
1770039906709226,45280
1770039906752351,45320
