unix_timestamp,active_power (mW)
1770648914564317,47350
1770648914607500,47990
1770648914650600,47360
1770648914693079,47430
1770648914736043,47420
1770648914782109,47470
1770648914824937,47360
1770648914868101,47330
1770648914911160,47380
1770648914954135,47210
1770648914997036,47280
1770648915040089,47260
1770648915083043,47150
1770648915126195,47140
1770648915168847,47210
1770648915211952,47180
1770648915254985,47200
1770648915297644,47280
1770648915341933,47140
1770648915385147,47100
1770648915428088,47200
1770648915471053,47240
1770648915513735,47280
1770648915556864,47270
1770648915599972,47310
1770648915642945,47240
1770648915685565,47310
1770648915728576,47350
1770648915771672,47360
1770648915814796,47250
1770648915857785,47590
1770648915902097,47470
1770648915945157,47460
1770648915988063,47430
1770648916031130,47420
1770648916074134,47430
1770648916117031,47470
1770648916160074,47450
1770648916202972,47430
1770648916246106,47410
1770648916289060,47320
1770648916332163,47350
1770648916374733,47330
1770648916417391,47360
1770648916461916,47280
1770648916505047,47340
1770648916548192,47260
1770648916591141,47170
1770648916633579,47150
1770648916676712,47120
1770648916719790,47090
1770648916762873,47160
1770648916805831,47260
1770648916848933,47150
1770648916891983,47260
1770648916935040,47230
1770648916977554,47270
1770648917021823,47280
1770648917065032,47330
1770648917108093,47420
1770648917151162,47390
1770648917193631,47410
1770648917236657,47460
1770648917279729,47470
1770648917322890,47410
1770648917365862,47450
1770648917408934,47380
1770648917451929,47380
1770648917495143,47370
1770648917541828,47350
1770648917584999,47400
1770648917628256,47360
1770648917671383,47350
1770648917714520,47310
1770648917757550,47340
1770648917800620,47290
1770648917843695,47160
1770648917886553,47040
1770648917929596,47120
1770648917972693,47120
1770648918015810,47130
1770648918061738,47140
1770648918104896,47170
1770648918147985,47220
1770648918190542,47200
1770648918233709,47170
1770648918276767,47200
1770648918319850,47170
1770648918362952,47280
1770648918405510,47230
1770648918448719,47230
1770648918491864,47260
1770648918534882,47390
1770648918581679,47340
1770648918624842,47350
1770648918668086,47280
1770648918710963,47320
1770648918753457,47360
1770648918796677,47250
1770648918839736,47360
1770648918882911,47350
1770648918926505,47330
1770648918969586,47280
1770648919012560,47220
1770648919055778,47260
1770648919101531,47210
1770648919144663,47200
1770648919187771,47270
1770648919230776,47270
1770648919273713,47270
1770648919316840,47320
1770648919360090,47240
1770648919403068,47180
1770648919445953,47240
1770648919488965,47220
1770648919532155,47170
1770648919575033,47260
1770648919621567,47260
1770648919664603,47260
1770648919707611,47320
1770648919750748,47300
1770648919793837,47320
1770648919836875,47330
1770648919879981,47330
1770648919923044,47260
1770648919965999,47220
1770648920009124,47190
1770648920052285,47260
1770648920095237,47220
1770648920141453,47180
1770648920184522,47130
1770648920227812,47220
1770648920270985,47130
1770648920314170,47230
1770648920357096,47220
1770648920400245,47200
1770648920443112,47260
1770648920485939,47320
1770648920528956,47230
1770648920571244,47250
1770648920614343,47310
1770648920657419,47360
1770648920701384,47370
1770648920744407,47340
1770648920787393,47370
1770648920830257,47320
1770648920872976,47320
1770648920915940,47230
1770648920958442,47290
1770648921001509,47220
1770648921044766,47240
1770648921088045,47170
1770648921131196,47120
1770648921173561,47200
1770648921216509,47180
1770648921261211,47230
1770648921304161,47280
1770648921347263,47250
1770648921390251,47200
1770648921433335,47270
1770648921476352,47140
1770648921519395,47260
1770648921562366,47230
1770648921605570,47280
1770648921648748,47210
1770648921691717,47290
1770648921734556,47340
1770648921777316,47380
1770648921821434,47330
1770648921864535,47320
1770648921907551,47350
1770648921950734,47290
1770648921993622,47390
1770648922036700,47380
1770648922079794,47300
1770648922122889,47330
1770648922165784,47240
1770648922208830,47220
1770648922251825,47150
1770648922294827,47060
1770648922341066,47130
1770648922383953,47180
1770648922427151,47200
1770648922470262,47290
1770648922513237,47200
1770648922556366,47290
1770648922599188,47300
1770648922642134,47410
1770648922685527,47320
1770648922728478,47270
1770648922771475,47330
1770648922814458,47320
1770648922861185,47320
1770648922904212,47370
1770648922947386,47390
1770648922989800,47230
1770648923032651,47380
1770648923075671,47320
1770648923118847,47150
1770648923161888,47120
1770648923204788,47160
1770648923247734,47180
1770648923290621,47210
1770648923332975,47200
1770648923376063,47230
1770648923420943,47190
1770648923464160,47330
1770648923507009,47260
1770648923549925,47380
1770648923592777,47350
1770648923635914,47440
1770648923678987,47260
1770648923721718,47330
1770648923764823,47330
1770648923807935,47430
1770648923850915,47430
1770648923893911,47320
1770648923940900,47330
1770648923983970,47190
1770648924026827,47380
1770648924069861,47220
1770648924112946,47240
1770648924156097,47160
1770648924199171,47160
1770648924242069,47220
1770648924285121,47240
1770648924328140,47240
1770648924371158,47290
1770648924414216,47300
1770648924460794,47320
1770648924503896,47370
1770648924546793,47380
1770648924589817,47360
1770648924632772,47310
1770648924675708,47430
1770648924718854,47430
1770648924761887,47370
1770648924804947,47450
1770648924848035,47480
1770648924891042,47410
1770648924933798,47470
1770648924980748,47350
1770648925023934,47330
1770648925067090,47320
1770648925110290,47270
1770648925153506,47280
1770648925196677,47240
1770648925239900,47170
1770648925282745,47280
1770648925325810,47220
1770648925368920,47210
1770648925411988,47240
1770648925455104,47330
1770648925500687,47340
1770648925543761,47360
1770648925586911,47300
1770648925629930,47220
1770648925672947,47420
1770648925715993,47290
1770648925759051,47270
1770648925802061,47260
1770648925845100,47190
1770648925887994,47180
1770648925931078,47210
1770648925974017,47200
1770648926020526,47040
1770648926063596,47120
1770648926106649,47110
1770648926149751,47200
1770648926192844,47230
1770648926235789,47230
1770648926278887,47220
1770648926321884,47240
1770648926365005,47360
1770648926408147,47310
1770648926450820,47290
1770648926493934,47350
1770648926540495,47320
1770648926583568,47350
1770648926626424,47360
1770648926669449,47290
1770648926712488,47370
1770648926755628,47270
1770648926798635,47340
1770648926841754,47370
1770648926884705,47300
1770648926927749,47310
1770648926970833,47290
1770648927013837,47220
1770648927060415,47240
1770648927103535,47280
1770648927146501,47240
1770648927189669,47160
1770648927232680,47150
1770648927275693,47210
1770648927318858,47130
1770648927361502,47120
1770648927404627,47120
1770648927447731,47080
1770648927490647,47120
1770648927533816,47150
1770648927580448,47110
1770648927623556,47090
1770648927666785,47100
1770648927709951,47120
1770648927753189,47080
1770648927796123,47190
1770648927839136,47120
1770648927882064,47130
1770648927924925,47140
1770648927968123,47130
1770648928011077,47130
1770648928054181,47190
1770648928100349,47690
1770648928143416,47150
1770648928186588,47230
1770648928229618,47310
1770648928272771,47190
1770648928315895,47260
1770648928358784,47220
1770648928401372,47300
1770648928444539,47300
1770648928487768,47400
1770648928530979,47250
1770648928574118,47380
1770648928620372,47320
1770648928663527,47300
1770648928706143,47320
1770648928749182,47430
1770648928792085,47290
1770648928834888,47350
1770648928878115,47360
1770648928921178,47270
1770648928964240,47350
1770648929007263,47360
1770648929050190,47380
1770648929093108,47350
1770648929136074,47390
1770648929180312,47410
1770648929223189,47280
1770648929266162,47310
1770648929309220,47310
1770648929352079,47350
1770648929394989,47350
1770648929438154,47390
1770648929481005,47380
1770648929524050,47410
1770648929567010,47450
1770648929609891,47440
1770648929652748,47390
1770648929695995,47510
1770648929740342,47470
1770648929783577,47520
1770648929826676,47440
1770648929868947,47400
1770648929912164,47470
1770648929955284,47380
1770648929998232,47400
1770648930041413,47360
1770648930084470,47400
1770648930127498,47430
