unix_timestamp,active_power (mW)
1770649484280180,50450
1770649484326403,50440
1770649484369410,50500
1770649484412559,50450
1770649484455728,50430
1770649484498878,50490
1770649484541644,50330
1770649484584876,50410
1770649484627913,50350
1770649484670875,50310
1770649484713826,50350
1770649484756799,50350
1770649484799913,50300
1770649484845642,50240
1770649484888625,50300
1770649484931610,50350
1770649484974680,50350
1770649485017873,50380
1770649485060731,50340
1770649485103975,50350
1770649485146998,50400
1770649485189905,50370
1770649485233051,50460
1770649485276208,50430
1770649485319394,50290
1770649485365218,50460
1770649485408323,50440
1770649485451212,50500
1770649485493881,50530
1770649485537039,50440
1770649485580181,50470
1770649485623322,50370
1770649485666311,50480
1770649485709261,50400
1770649485752440,50450
1770649485795598,50450
1770649485838723,50370
1770649485884567,50490
1770649485927550,50390
1770649485970725,50290
1770649486013904,50320
1770649486057012,50250
1770649486099632,50320
1770649486142734,50330
1770649486185808,50330
1770649486228884,50330
1770649486271874,50360
1770649486314973,50320
1770649486357955,50500
1770649486403968,50410
1770649486447098,50350
1770649486490286,50610
1770649486532871,50480
1770649486575862,50440
1770649486618890,50890
1770649486661470,51090
1770649486704680,50760
1770649486747836,50470
1770649486790768,50540
1770649486833950,50580
1770649486877026,50620
1770649486923482,50490
1770649486966519,50550
1770649487008979,50430
1770649487051873,50480
1770649487095010,50740
1770649487138125,51200
1770649487181239,50900
1770649487224324,50970
1770649487267588,50550
1770649487310782,50470
1770649487353808,50510
1770649487397042,50410
1770649487442957,50390
1770649487485994,50380
1770649487529001,50390
1770649487572112,50400
1770649487615090,50340
1770649487658239,50470
1770649487701359,50460
1770649487744541,50450
1770649487787508,50420
1770649487830506,50290
1770649487873681,50500
1770649487915886,50490
1770649487962302,50480
1770649488005447,50490
1770649488048621,50540
1770649488091794,50470
1770649488134672,50440
1770649488177706,50480
1770649488220665,50480
1770649488263723,50490
1770649488306943,50560
1770649488350084,50580
1770649488392953,50470
1770649488435983,50570
1770649488481809,50600
1770649488524995,50610
1770649488568116,50500
1770649488611315,50560
1770649488654466,50440
1770649488697589,50540
