unix_timestamp,active_power (mW)
1770650941549434,48250
1770650941592820,48600
1770650941635912,48400
1770650941678973,48350
1770650941722242,48400
1770650941765185,48450
1770650941808330,48410
1770650941851518,48450
1770650941894720,48410
1770650941939917,48500
1770650941983034,48480
1770650942026174,48470
1770650942069088,48460
1770650942112018,48530
1770650942154787,48430
1770650942197904,48460
1770650942240974,48490
1770650942284112,48390
1770650942327256,48390
1770650942370310,48320
1770650942413385,48340
1770650942459835,48300
1770650942502568,48350
1770650942545535,48300
1770650942588582,48240
1770650942631570,48280
1770650942674813,48180
1770650942718013,48230
1770650942760871,48280
1770650942804066,48220
1770650942847285,48230
1770650942890407,48250
1770650942932958,48160
1770650942979854,48310
1770650943022965,48400
1770650943065968,48420
1770650943109157,48470
1770650943152129,48400
1770650943195159,48520
1770650943237837,48470
1770650943280920,48580
1770650943323978,48530
1770650943366986,48480
1770650943410038,48500
1770650943452809,48500
1770650943496056,48460
1770650943540026,48480
1770650943583147,48310
1770650943625782,48390
1770650943668833,48350
1770650943711810,48390
1770650943754590,48370
1770650943797511,48370
1770650943840546,48280
1770650943883557,48330
1770650943926753,48300
1770650943969475,48270
1770650944012392,48300
1770650944055338,48260
1770650944099944,48220
1770650944143077,48240
1770650944185878,48320
1770650944228867,48280
1770650944271972,48320
1770650944314969,48260
1770650944357866,48210
1770650944401052,48280
1770650944444076,48190
1770650944487102,48370
1770650944530128,48420
1770650944572904,48430
1770650944616130,48420
1770650944660124,48490
1770650944703288,48450
1770650944746448,48450
1770650944789641,48450
1770650944832647,48450
1770650944875452,48390
1770650944918642,48360
1770650944961781,48370
1770650945004967,48390
1770650945047985,48490
1770650945091073,48410
1770650945134314,48360
1770650945180093,48410
1770650945223229,48460
1770650945266388,48410
1770650945309464,48360
1770650945352502,48380
1770650945395408,48340
1770650945438466,48390
1770650945480975,48340
1770650945524004,48360
1770650945567221,48360
1770650945610260,48360
1770650945653238,48340
1770650945700170,48290
1770650945743421,48280
1770650945786580,48250
1770650945829466,48260
1770650945872600,48240
1770650945915585,48220
1770650945958749,48200
1770650946001830,48240
1770650946044840,48160
1770650946088040,48110
1770650946130931,48220
1770650946173987,48200
1770650946220235,48170
1770650946263441,48180
1770650946306264,48280
1770650946349450,48170
1770650946392568,48270
1770650946435579,48310
1770650946478743,48380
1770650946521843,48230
1770650946564823,48260
1770650946608099,48340
1770650946651186,48430
1770650946694166,48460
1770650946740351,48380
1770650946783397,48340
1770650946826416,48290
1770650946869453,48340
1770650946912553,48350
1770650946955261,48310
1770650946998507,48330
1770650947041632,48300
1770650947084808,48230
1770650947127818,48380
1770650947170961,48300
1770650947213973,48260
1770650947260442,48260
1770650947303451,48230
1770650947346441,48150
1770650947389623,48240
1770650947432629,48130
1770650947475811,48230
1770650947518764,48290
1770650947561415,48310
1770650947604400,48310
1770650947647499,48470
1770650947690462,48420
1770650947733386,48410
1770650947776563,48380
1770650947820695,48380
1770650947863816,48400
1770650947906689,48360
1770650947949614,48480
1770650947992770,48400
1770650948035704,48490
1770650948078890,48560
1770650948122083,48560
1770650948164919,48520
1770650948208007,48550
1770650948251020,48520
1770650948294000,48470
1770650948340776,48540
1770650948383924,48430
1770650948426750,48460
1770650948469785,48460
1770650948512835,48630
1770650948555953,48500
1770650948599057,48440
1770650948642179,48530
1770650948685133,48440
1770650948728179,48490
1770650948771153,48490
1770650948814383,48640
1770650948860979,48580
1770650948904088,48410
1770650948946984,48540
1770650948990108,48450
1770650949033045,48390
1770650949076146,48370
1770650949119349,48390
1770650949162545,48260
1770650949205486,48240
1770650949248403,48190
1770650949291042,48190
1770650949334107,48210
1770650949376454,48220
1770650949420919,48230
1770650949464110,48050
1770650949506736,48280
1770650949549530,48310
1770650949592727,48350
1770650949635900,48410
1770650949678975,48410
1770650949722107,48370
1770650949764969,48360
1770650949808015,48360
1770650949851012,48460
1770650949894034,48510
1770650949936958,48490
1770650949981331,48560
1770650950024351,48580
1770650950067537,48520
1770650950110544,48410
1770650950153696,48520
1770650950196911,48510
1770650950239892,48450
1770650950283002,48440
1770650950326145,48520
1770650950369155,48380
1770650950412296,48360
1770650950454783,48440
1770650950501299,48390
1770650950544243,48500
1770650950586995,48430
1770650950630157,48480
1770650950673145,48430
1770650950716330,48380
1770650950759457,48350
1770650950802429,48400
1770650950845548,48380
1770650950888477,48350
1770650950931558,48520
1770650950974516,48330
1770650951017260,48310
1770650951061548,48270
1770650951104700,48270
1770650951147859,48420
1770650951190823,48430
1770650951233686,48480
1770650951276889,48420
1770650951319992,48380
1770650951363009,48400
1770650951405918,48470
1770650951448486,48410
1770650951491412,48450
1770650951534177,48450
1770650951577347,48430
1770650951621809,48620
1770650951664797,48540
1770650951707910,48530
1770650951750818,48560
1770650951793547,48430
1770650951836508,48430
1770650951879519,48410
1770650951922448,48330
1770650951965509,48400
