unix_timestamp,active_power (mW)
1770651698298186,49300
1770651698340630,49650
1770651698383663,49210
1770651698426833,49420
1770651698472332,49540
1770651698515468,49350
1770651698558446,49370
1770651698601478,49640
1770651698644488,49330
1770651698687654,49300
1770651698730342,49250
1770651698773466,49320
1770651698816514,49190
1770651698859547,49160
1770651698902284,49250
1770651698944820,49200
1770651698987813,49120
1770651699032410,49030
1770651699075450,49050
1770651699118327,49070
1770651699161249,49160
1770651699204217,49160
1770651699247225,49100
1770651699290253,49210
1770651699333458,49210
1770651699376464,49140
1770651699419321,49130
1770651699462184,49140
1770651699504724,49180
1770651699547735,49160
1770651699592702,49230
1770651699635509,49260
1770651699678444,49220
1770651699721578,49230
1770651699764477,49280
1770651699807414,49300
1770651699850489,49250
1770651699893682,49290
1770651699936697,49270
1770651699979790,49310
1770651700023015,49350
1770651700066121,49360
1770651700108685,49380
1770651700152914,49270
1770651700195944,49370
1770651700238925,49340
1770651700281937,49240
1770651700325064,49240
1770651700368265,49270
1770651700411584,49230
1770651700454627,49230
1770651700498011,49310
1770651700541109,49350
1770651700584164,49280
1770651700627179,49220
1770651700673129,49200
1770651700716184,49210
1770651700758730,49150
1770651700801140,49110
1770651700844072,49160
1770651700887098,49150
1770651700930074,49100
1770651700972957,49140
1770651701015826,49070
1770651701058827,49110
1770651701101699,49180
1770651701144784,49090
1770651701187857,49250
1770651701233362,49170
1770651701276447,49200
1770651701319531,49180
1770651701362550,49180
1770651701405699,49190
1770651701448729,49230
1770651701492005,49300
1770651701534843,49290
1770651701577588,49410
1770651701620560,49360
1770651701663436,49370
1770651701706585,49370
1770651701753513,49350
1770651701796079,49330
1770651701839100,49320
1770651701882141,49220
1770651701925650,49400
1770651701968887,49260
1770651702011993,49260
1770651702054947,49210
1770651702098097,49230
1770651702141328,49280
1770651702184576,49210
1770651702227821,49210
1770651702273655,49160
1770651702316822,49170
1770651702359853,49170
1770651702402824,49190
1770651702445889,49180
1770651702488847,49120
1770651702531913,49300
1770651702575262,49140
1770651702617925,49130
1770651702660927,49110
1770651702703859,49150
1770651702746907,49250
1770651702793662,49200
1770651702836511,49260
1770651702879535,49250
1770651702922734,49340
1770651702966114,49300
1770651703009068,49220
1770651703051997,49270
1770651703095097,49300
1770651703138214,49300
1770651703181217,49200
1770651703224334,49360
1770651703267491,49330
1770651703314147,49350
1770651703357266,49370
1770651703400395,49320
1770651703443601,49290
1770651703486464,49310
1770651703528965,49240
1770651703571901,49240
1770651703614901,49220
1770651703657885,49170
1770651703700717,49250
1770651703743706,49220
1770651703786840,49150
1770651703830141,49170
1770651703874004,49150
1770651703917099,49160
1770651703960018,49200
1770651704002920,49210
1770651704045817,49190
1770651704088959,49190
1770651704131991,49130
