unix_timestamp,active_power (mW)
1770652220086571,49650
1770652220129294,49690
1770652220172196,49270
1770652220215087,49350
1770652220257998,49340
1770652220301148,49690
1770652220344409,49630
1770652220390994,49630
1770652220434046,49580
1770652220477030,49670
1770652220520136,49820
1770652220563045,49580
1770652220605904,49680
1770652220648273,49650
1770652220691036,49640
1770652220734060,49590
1770652220777242,49510
1770652220820188,49730
1770652220862887,49730
1770652220905407,49680
1770652220950837,49710
1770652220993724,49700
1770652221036829,49700
1770652221079725,49300
1770652221123020,49240
1770652221166060,49300
1770652221209065,49310
1770652221252302,49330
1770652221295301,49400
1770652221338259,49630
1770652221380878,49760
1770652221423917,49720
1770652221466413,49770
1770652221510851,49800
1770652221553909,49760
1770652221596776,49750
1770652221639887,49640
1770652221682769,49590
1770652221725945,49550
1770652221768920,49600
1770652221812099,49600
1770652221855027,49560
1770652221897658,49600
1770652221940843,49600
1770652221984094,49600
1770652222030582,49690
1770652222073807,49650
1770652222116915,49670
1770652222159792,49480
1770652222202757,49540
1770652222246041,49430
1770652222288909,49440
1770652222331953,49450
1770652222374935,49470
1770652222418026,49460
1770652222460968,49470
1770652222503766,49400
1770652222550723,49500
1770652222593871,49470
1770652222637084,49540
1770652222680041,49510
1770652222723189,49500
1770652222766249,49420
1770652222809225,49310
1770652222852126,49310
1770652222895194,49320
1770652222938282,49340
1770652222981322,49340
1770652223024301,49420
1770652223070719,49330
1770652223113167,49380
1770652223156404,49370
1770652223199599,49340
1770652223242819,49350
1770652223286102,49380
1770652223329219,49280
1770652223372311,49270
1770652223414961,49360
1770652223457725,49410
1770652223500800,49400
1770652223543896,49320
1770652223590664,49370
1770652223633294,49340
1770652223676256,49290
1770652223719162,49330
1770652223762072,49310
1770652223804861,49420
1770652223848143,49300
1770652223891213,49340
1770652223934070,49320
1770652223976992,49440
1770652224020226,49350
1770652224063428,49340
1770652224106360,49320
1770652224150663,49360
1770652224193833,49320
1770652224237006,49240
1770652224280199,49330
1770652224323095,49300
1770652224366203,49280
1770652224408782,49320
1770652224451841,49320
1770652224494930,49350
1770652224538082,49330
1770652224581245,49340
1770652224624145,49430
1770652224670659,49290
1770652224713638,49340
1770652224756800,49340
1770652224799787,49350
1770652224842735,49430
1770652224885841,49400
1770652224928926,49380
1770652224971896,49420
1770652225014999,49390
1770652225057711,49450
1770652225100836,49390
1770652225143836,49440
1770652225186709,49410
1770652225230544,49430
1770652225273795,49430
1770652225316562,49410
1770652225359344,49450
1770652225402358,49310
1770652225445439,49430
1770652225488362,49430
1770652225531636,49470
1770652225574521,49420
1770652225617583,49370
1770652225660776,49370
1770652225703803,49410
1770652225750690,49340
1770652225793064,49400
1770652225836256,49340
1770652225879447,49380
1770652225922267,49310
1770652225965231,49300
1770652226008269,49380
1770652226051219,49360
1770652226093630,49410
1770652226136701,49390
1770652226179652,49300
1770652226222602,49400
1770652226265772,49320
1770652226310523,49330
1770652226353718,49330
1770652226396831,49320
1770652226439929,49250
1770652226482982,49410
1770652226525886,49400
1770652226568945,49550
1770652226612013,49480
1770652226655000,49590
1770652226697553,49510
1770652226740574,49460
1770652226783721,49500
1770652226830672,49460
1770652226873722,49480
1770652226917015,49480
1770652226960069,49450
1770652227003114,49510
1770652227045862,49440
1770652227089046,49480
1770652227132315,49450
1770652227175603,49370
1770652227218255,49490
1770652227261301,49530
1770652227303941,49410
1770652227350628,49460
1770652227393648,49530
1770652227436683,49370
1770652227479810,49700
1770652227522602,49680
1770652227565641,49700
1770652227608724,49770
1770652227651926,49710
1770652227695164,49670
1770652227738195,49680
1770652227780725,49660
1770652227823588,49680
1770652227870502,49700
1770652227913227,49710
1770652227956501,49720
1770652227999629,49760
1770652228042710,49750
1770652228085641,49630
1770652228128761,49630
1770652228171745,49520
1770652228214758,49540
1770652228257772,49660
1770652228300961,49640
1770652228344071,49630
1770652228390460,49640
1770652228433383,49620
1770652228476406,49540
1770652228519236,49600
1770652228562208,49380
1770652228605358,49390
1770652228648497,49390
1770652228691667,49420
1770652228734774,49440
1770652228777804,49440
1770652228820812,49350
1770652228863949,49430
1770652228910517,49440
1770652228953265,49380
1770652228996211,49400
1770652229039186,49320
1770652229082247,49370
1770652229124796,49370
1770652229167877,49350
1770652229210790,49400
1770652229253917,49410
1770652229297016,49330
1770652229340264,49350
1770652229383238,49370
1770652229430239,49350
1770652229473141,49230
1770652229516286,49400
1770652229559052,49410
1770652229601960,49740
1770652229645143,49550
1770652229688018,49380
1770652229730826,49360
1770652229774082,49360
1770652229817001,49430
1770652229860225,49420
1770652229903395,49480
1770652229950261,49470
1770652229993356,49460
1770652230036265,49390
1770652230079405,49440
1770652230122254,49470
1770652230165215,49370
1770652230208299,49490
1770652230251240,49470
1770652230294191,49480
1770652230336880,49470
1770652230379832,49490
1770652230422996,49430
1770652230466010,49420
1770652230510232,49510
1770652230553357,49470
1770652230596309,49410
1770652230638686,49360
1770652230681727,49440
1770652230724861,49410
1770652230768077,49370
1770652230811221,49350
1770652230854243,49360
1770652230897325,49430
1770652230940572,49390
1770652230983790,49440
1770652231030310,49350
1770652231072977,49390
1770652231116156,49370
1770652231159370,49280
1770652231202239,49380
1770652231244764,49330
1770652231287793,49410
1770652231330681,49380
1770652231373721,49390
1770652231416950,49440
1770652231460194,49440
1770652231503341,49410
1770652231545869,49340
1770652231590045,49440
1770652231632923,49460
1770652231675860,49260
1770652231718573,49440
1770652231761552,49440
1770652231804714,49370
1770652231847695,49390
1770652231890798,49380
1770652231933792,49450
1770652231976798,49400
1770652232019775,49460
1770652232062860,49500
1770652232105817,49450
1770652232150203,49440
1770652232193283,49490
1770652232236192,49420
1770652232279385,49460
1770652232321834,49450
1770652232364879,49350
1770652232408021,49420
1770652232450865,49430
1770652232494046,49470
1770652232537126,49500
1770652232580149,49480
1770652232623349,49360
1770652232670177,49380
1770652232713322,49380
1770652232756404,49330
1770652232799263,49400
1770652232841853,49390
1770652232885034,49370
1770652232928203,49380
1770652232971480,49330
1770652233014351,49450
1770652233056905,49380
1770652233100108,49390
1770652233143232,49380
1770652233190099,49330
1770652233233300,49390
1770652233276546,49350
1770652233319695,49380
1770652233362276,49500
1770652233405433,52070
1770652233447958,49330
1770652233491117,49310
1770652233534075,49430
1770652233577226,49350
1770652233620383,49400
1770652233663373,49410
1770652233710264,49830
1770652233753321,49410
1770652233796400,49420
1770652233839510,49360
1770652233882511,49370
1770652233924955,49400
1770652233968029,49380
1770652234010993,49400
1770652234053923,49430
1770652234096874,49480
1770652234139804,49440
1770652234182694,49420
1770652234225847,49410
1770652234270223,49430
1770652234313027,49370
1770652234356268,49330
1770652234399363,49510
1770652234442238,49400
1770652234484896,49570
1770652234528046,49490
