unix_timestamp,active_power (mW)
1770653360118864,50170
1770653360161517,49950
1770653360204577,49920
1770653360247605,49940
1770653360290553,49910
1770653360333566,49870
1770653360376992,49880
1770653360420260,49920
1770653360463049,49910
1770653360506038,49910
1770653360548952,50010
1770653360591948,49870
1770653360637517,49900
1770653360680667,49910
1770653360723456,49970
1770653360766687,49880
1770653360809605,49860
1770653360852710,49840
1770653360895700,49860
1770653360938742,49920
1770653360981654,49940
1770653361024973,49830
1770653361068134,49800
1770653361111330,49860
1770653361157459,49930
1770653361200289,49770
1770653361243520,49860
1770653361286700,49880
1770653361329381,49840
1770653361372338,49850
1770653361415379,49780
1770653361458465,49790
1770653361501635,49880
1770653361544920,49800
1770653361588115,49810
1770653361631191,49850
1770653361677424,49900
1770653361720386,49780
1770653361763467,49820
1770653361806394,49820
1770653361849495,49870
1770653361892599,49840
1770653361935665,49850
1770653361978595,49870
1770653362021108,49900
1770653362064175,49730
1770653362107274,49880
1770653362150358,49860
1770653362197635,49880
1770653362240876,49760
1770653362284047,49800
1770653362327163,49830
1770653362370316,49860
1770653362413554,49850
1770653362456634,49790
1770653362499647,50000
1770653362542387,49830
1770653362585351,49790
1770653362628651,49820
1770653362671785,49870
1770653362717650,49870
1770653362760793,49840
1770653362804024,49850
1770653362847026,49840
1770653362889997,49900
1770653362933188,49820
1770653362976422,49870
1770653363019348,49860
1770653363062567,49920
1770653363105515,49940
1770653363148575,49820
1770653363191542,49790
1770653363237552,49860
1770653363280635,49890
1770653363323710,49850
1770653363366835,49910
1770653363409770,49850
1770653363452858,49900
1770653363496003,49830
1770653363539110,49820
1770653363582312,49820
1770653363625073,49810
1770653363668342,49870
1770653363711519,49910
1770653363757727,49900
1770653363800762,49650
1770653363843689,49850
1770653363886695,49850
1770653363929795,49820
1770653363972731,49830
1770653364015912,49850
1770653364058993,49860
1770653364101627,49710
1770653364144681,49910
1770653364187523,49890
1770653364230578,49870
1770653364273631,49860
1770653364317647,49880
1770653364360617,49870
1770653364403713,49850
1770653364446713,49850
1770653364489946,49850
1770653364533066,50060
1770653364576271,49810
1770653364619456,49860
1770653364662593,49890
1770653364705585,49910
1770653364748804,49860
1770653364791847,49890
1770653364837882,49970
1770653364880988,49870
1770653364924085,49860
1770653364967177,49920
1770653365010266,49900
1770653365053325,49840
1770653365096405,49880
1770653365139560,49890
1770653365182796,49850
1770653365225742,49890
1770653365268885,49800
1770653365312089,49860
1770653365357965,49830
1770653365400811,49820
1770653365443858,49820
1770653365486710,49760
1770653365529600,49820
1770653365572759,49760
1770653365615623,49820
1770653365658472,49730
1770653365700966,49830
1770653365744053,49770
1770653365787057,49800
1770653365830315,49800
1770653365873515,49770
1770653365917881,49790
1770653365961081,49780
1770653366004224,49900
1770653366047373,49780
1770653366090343,49860
1770653366132751,49700
1770653366175687,49800
1770653366218542,49850
1770653366260924,49810
1770653366303932,49880
1770653366347005,49790
1770653366389970,49840
1770653366432868,49930
1770653366477997,49860
1770653366520950,49980
1770653366563963,49930
1770653366607132,49920
1770653366650314,49830
1770653366693362,49850
1770653366735841,49870
1770653366778981,49800
1770653366821578,49870
1770653366864819,49840
1770653366907931,49800
1770653366951032,49840
1770653366994122,49900
1770653367038096,49840
1770653367081041,49890
1770653367124118,49950
1770653367167090,49820
1770653367210048,49950
1770653367253164,49880
1770653367296337,49910
1770653367338883,49900
1770653367382069,49900
1770653367424979,49840
1770653367468070,49840
1770653367510941,49880
1770653367553598,49790
1770653367598267,49870
1770653367640597,49800
1770653367683577,49820
1770653367726706,49870
1770653367769834,49800
1770653367812927,49630
1770653367855978,49840
1770653367899157,49790
1770653367942031,49810
1770653367984919,49740
1770653368028166,49800
1770653368070999,49790
1770653368114262,49850
1770653368158196,49760
1770653368201349,49680
1770653368244265,49730
1770653368287369,49750
1770653368330388,49840
1770653368372803,49760
1770653368415756,49760
1770653368458633,49760
1770653368501788,49780
1770653368544561,49790
1770653368587536,49740
1770653368630668,49870
1770653368672925,49850
1770653368718354,49950
1770653368761473,49880
1770653368804617,49980
1770653368847551,49930
1770653368890071,49870
1770653368933039,49820
1770653368976082,49830
1770653369019010,49850
1770653369062246,49820
1770653369105452,49880
1770653369148552,49810
1770653369191676,49820
1770653369238443,49830
1770653369280905,49800
1770653369324100,49810
1770653369367241,49800
1770653369410228,49820
1770653369453406,49890
1770653369496319,49870
1770653369539187,49900
1770653369582245,49830
1770653369625218,49910
1770653369668424,49920
1770653369711485,49900
1770653369758425,49880
1770653369801657,49900
1770653369844721,49970
1770653369887787,49790
1770653369930963,49810
1770653369974212,49900
1770653370017397,49800
1770653370060005,49800
1770653370103430,49830
1770653370146135,49820
1770653370188995,49830
1770653370232194,49890
1770653370278624,49810
1770653370321569,49790
1770653370364710,49930
1770653370407764,49810
1770653370450692,49810
1770653370493579,50030
1770653370536659,49850
1770653370579674,49830
1770653370622783,49860
1770653370665758,49940
1770653370708982,49810
1770653370752132,49810
1770653370798621,49780
1770653370841570,49900
1770653370884622,49860
1770653370927619,49940
1770653370970764,49920
