unix_timestamp,active_power (mW)
1770653733815524,49180
1770653733858182,49480
1770653733901251,49270
1770653733944467,49360
1770653733987545,49190
1770653734030100,49230
1770653734073225,49150
1770653734116375,49250
1770653734159299,49260
1770653734202431,49190
1770653734245448,49250
1770653734291183,49100
1770653734334122,49140
1770653734377191,49210
1770653734420281,49190
1770653734463293,49340
1770653734506402,49160
1770653734548904,49330
1770653734591953,49160
1770653734635384,49210
1770653734678354,49260
1770653734721468,49300
1770653734764685,49200
1770653734810869,49290
1770653734853860,49170
1770653734896811,49260
1770653734939966,49230
1770653734982803,49270
1770653735025422,49120
1770653735068469,49280
1770653735111537,49240
1770653735154607,49220
1770653735197715,49200
1770653735240830,49280
1770653735283969,49180
1770653735330526,49190
1770653735373672,49190
1770653735416837,49230
1770653735460083,49240
1770653735503229,49270
1770653735546378,49220
1770653735589304,49250
1770653735632416,49240
1770653735675539,49330
1770653735718573,49210
1770653735761680,49220
1770653735804901,49320
1770653735850248,49270
1770653735893402,49240
1770653735936500,49230
1770653735979498,49210
1770653736022580,49190
1770653736065017,49270
1770653736108071,49310
1770653736151122,49210
1770653736193708,49070
1770653736236767,49200
1770653736279876,49220
1770653736322714,49220
1770653736365662,49230
1770653736409945,49250
1770653736453082,49190
1770653736496239,49310
1770653736539254,49240
1770653736582195,49250
1770653736625383,49250
1770653736668609,49200
1770653736711842,49220
1770653736754853,49210
1770653736797525,49150
1770653736839965,49090
1770653736883032,49260
1770653736929573,49200
1770653736972745,49270
1770653737015859,49210
1770653737058725,49220
1770653737101752,49130
1770653737144669,49210
1770653737187676,49240
1770653737230885,49210
1770653737273857,49260
1770653737316807,49240
1770653737359863,49220
1770653737402909,49160
1770653737449320,49240
1770653737492408,49210
1770653737535415,49200
1770653737578404,49220
1770653737620820,49200
1770653737663757,49190
1770653737706721,49250
1770653737749693,49200
1770653737792738,49230
1770653737835508,49270
1770653737878651,49270
1770653737921432,49210
1770653737964360,49210
1770653738009059,49240
1770653738052140,49240
1770653738095253,49290
1770653738138115,49210
1770653738181264,49230
1770653738224251,49200
1770653738267384,49140
1770653738310107,49290
1770653738353202,49240
1770653738396187,49270
1770653738439079,49330
1770653738482086,49250
1770653738528742,49310
1770653738571840,49250
1770653738615032,49240
1770653738657615,49130
1770653738700471,49260
1770653738743123,49250
1770653738785888,49300
1770653738828875,49210
1770653738872114,49210
1770653738914949,49160
1770653738957736,49280
1770653739000858,49230
1770653739043917,49240
1770653739088459,49230
1770653739131490,49210
1770653739174447,49240
1770653739217514,49190
1770653739260450,49250
1770653739303688,49180
1770653739346709,49200
1770653739389769,49210
1770653739432752,49220
1770653739475726,49160
1770653739518558,49240
1770653739561363,49190
1770653739608176,49170
1770653739651332,49180
1770653739694466,49190
1770653739737698,49210
1770653739780884,49310
1770653739823441,49200
1770653739866518,49200
1770653739909605,49200
1770653739952732,49210
1770653739995734,49270
1770653740038276,49230
1770653740080802,49240
1770653740123653,49270
1770653740167942,49260
1770653740211073,49170
1770653740254282,49210
1770653740297362,49230
1770653740340253,49240
1770653740383126,49180
1770653740425659,49220
1770653740468785,49210
1770653740511969,49260
1770653740555195,49400
1770653740598377,49170
1770653740641580,49220
1770653740687644,49140
1770653740730840,49200
1770653740773984,49320
1770653740817184,49250
1770653740860384,49240
1770653740903587,49170
1770653740946708,49170
1770653740989803,49190
1770653741032815,49210
1770653741075763,49230
1770653741118832,49280
1770653741161762,49190
1770653741207458,49190
1770653741250251,49170
1770653741293259,49080
1770653741336285,49170
1770653741379167,49350
1770653741422303,49210
1770653741465520,49130
1770653741508215,49200
1770653741551293,49260
1770653741594359,49250
1770653741636725,49180
1770653741679685,49190
1770653741722778,49140
1770653741767265,49140
1770653741810307,49210
1770653741853439,49220
1770653741896652,49250
1770653741939622,49270
1770653741982626,49260
1770653742025126,49140
1770653742068259,49170
1770653742111277,49150
1770653742154451,49230
1770653742197551,49180
1770653742240191,49220
1770653742286962,49210
1770653742329992,49240
1770653742373038,49150
1770653742416079,49090
1770653742459172,49100
1770653742501775,49110
1770653742544644,49250
1770653742587747,49230
1770653742630669,49260
1770653742673784,49300
1770653742716972,49140
1770653742760170,49180
1770653742806671,49150
1770653742849190,49170
1770653742892289,49130
1770653742935436,49220
1770653742978001,49120
1770653743021002,49290
1770653743063975,49290
1770653743106973,49220
1770653743150113,49190
1770653743193270,49220
1770653743236258,49100
1770653743279322,49150
1770653743322420,49180
1770653743366477,49240
1770653743409670,49230
1770653743452094,49270
1770653743495105,49310
1770653743537728,49260
1770653743580766,49260
1770653743623804,49210
1770653743666566,49070
1770653743709483,49130
1770653743752726,49220
1770653743795778,49200
1770653743838674,49270
1770653743881770,49310
1770653743926379,49250
1770653743969507,49120
1770653744012580,49140
1770653744055710,49190
1770653744098678,49110
1770653744141803,49180
1770653744184806,49120
1770653744227808,49030
1770653744270509,49230
1770653744313499,49290
1770653744356469,49250
1770653744399607,49310
1770653744446201,49170
1770653744488892,49310
1770653744531832,49140
1770653744574837,49130
1770653744617774,49180
1770653744660973,49170
1770653744704108,49280
1770653744747238,49240
1770653744790306,49270
1770653744832969,49250
1770653744876067,49260
1770653744919126,49210
1770653744961650,49220
1770653745005883,49010
1770653745049648,49190
1770653745091816,49180
1770653745134235,49190
1770653745176413,49280
1770653745219446,49280
1770653745262193,49340
1770653745305349,49220
1770653745348546,49260
1770653745391636,49200
1770653745434274,49220
1770653745476818,49240
1770653745520021,49250
1770653745565819,49180
1770653745608899,49210
1770653745651988,49080
1770653745694965,49110
1770653745737735,49250
1770653745780740,49160
1770653745823762,49210
1770653745866684,49200
1770653745909796,52350
1770653745952786,48830
1770653745995877,49260
1770653746038982,49090
1770653746081532,49100
1770653746125609,49190
1770653746168637,49250
1770653746211684,49350
1770653746254371,49280
1770653746297493,49230
1770653746340474,49300
1770653746383573,49270
1770653746426838,49230
1770653746469411,49220
1770653746512503,49290
1770653746555053,49160
1770653746597592,49110
1770653746640774,49100
1770653746685406,49150
1770653746728482,49190
1770653746771412,49180
1770653746814261,49250
1770653746857364,49250
1770653746900277,49580
1770653746943215,49190
1770653746986322,49170
1770653747029275,49190
1770653747072374,49390
1770653747115341,49490
1770653747158433,49230
1770653747200978,49160
1770653747245338,49250
1770653747288527,49230
1770653747331639,49210
1770653747374251,49280
1770653747417383,49270
1770653747460624,49170
1770653747503791,49150
1770653747546753,49220
1770653747589377,49150
1770653747632339,49240
1770653747675468,49220
1770653747718581,49190
1770653747765110,49140
1770653747808253,49190
1770653747851313,49230
1770653747893586,49170
1770653747936756,49170
1770653747979837,49240
1770653748022689,49150
1770653748065687,49110
1770653748108760,49090
1770653748151649,49160
1770653748194511,49160
1770653748237552,49060
1770653748280641,49120
1770653748324995,49140
1770653748368098,49170
1770653748411098,49220
1770653748453811,49200
1770653748496713,49230
1770653748539928,49370
1770653748582772,49210
1770653748625810,49200
1770653748668836,49310
1770653748712022,49260
1770653748755307,49270
1770653748798424,49240
1770653748844981,49210
1770653748887956,49170
1770653748930914,49230
1770653748973907,49220
1770653749016874,49200
1770653749059824,49180
