unix_timestamp,active_power (mW)
1770648394228738,45030
1770648394271382,45280
1770648394313837,45000
1770648394357060,45110
1770648394400239,45160
1770648394443353,45220
1770648394486340,45270
1770648394528829,45210
1770648394571925,45130
1770648394615085,45230
1770648394657640,45170
1770648394700652,45190
1770648394747062,45190
1770648394789882,45200
1770648394832836,45140
1770648394876078,45190
1770648394919220,45150
1770648394962018,45180
1770648395005198,45100
1770648395048141,45120
1770648395091072,45100
1770648395133977,45070
1770648395177056,44970
1770648395220118,45120
1770648395266554,45070
1770648395309596,45030
1770648395352513,44990
1770648395395588,45020
1770648395438037,45000
1770648395480951,45020
1770648395524156,45070
1770648395567281,45050
1770648395610279,44980
1770648395652986,45080
1770648395695943,44990
1770648395739127,45070
1770648395782300,45140
1770648395826340,45160
1770648395869470,45200
1770648395912626,45180
1770648395955769,45120
1770648395998773,45160
1770648396041505,45100
1770648396084489,45120
1770648396127508,45110
1770648396170442,45190
1770648396213556,45200
1770648396256562,45180
1770648396299714,45200
1770648396346107,45140
1770648396388848,45200
1770648396432014,45150
1770648396475191,45180
1770648396518408,45330
1770648396561412,45230
1770648396604416,45140
1770648396647346,45140
1770648396690340,45110
1770648396733459,45130
1770648396776514,45250
1770648396819596,45110
1770648396865799,45150
1770648396908987,45150
1770648396952169,45030
1770648396995264,45180
1770648397038398,45190
1770648397081014,45260
1770648397124220,45180
1770648397167291,45210
1770648397210523,45130
1770648397253010,45190
1770648397295960,45150
1770648397339052,45150
1770648397385462,45240
1770648397428538,45230
1770648397471507,45270
1770648397514560,45160
1770648397557634,45200
1770648397600780,45620
1770648397643900,45840
1770648397686988,45100
1770648397729653,45220
1770648397772863,45260
1770648397815941,45230
1770648397858894,45200
1770648397905340,45230
1770648397948360,45240
1770648397991544,45180
1770648398034750,45200
1770648398077881,45200
1770648398120860,45240
1770648398164002,45210
1770648398207092,45130
1770648398250133,45190
1770648398293206,45260
1770648398336359,45250
1770648398379200,45180
1770648398424990,45240
1770648398468152,45340
1770648398511142,45190
1770648398554173,45210
1770648398597147,45310
1770648398640208,45230
1770648398683044,45210
1770648398725738,45220
1770648398768763,45310
1770648398811839,45260
1770648398854771,45240
1770648398897965,45170
1770648398944820,45220
1770648398987918,45190
1770648399031008,45270
1770648399074123,45350
1770648399117167,45240
1770648399160193,45140
1770648399203237,45190
1770648399246278,45210
1770648399289451,45290
1770648399332506,45290
1770648399375657,45210
1770648399418775,45260
1770648399464561,45210
1770648399507512,45210
1770648399550440,45270
1770648399593573,45270
1770648399636231,45170
1770648399679363,45190
1770648399722404,45120
1770648399765483,45120
1770648399808764,45120
1770648399851771,45140
1770648399894986,45140
1770648399938197,45110
1770648399984191,45070
1770648400027237,45160
1770648400070237,45190
1770648400112716,45120
1770648400155831,45290
1770648400198918,45120
1770648400241533,45150
1770648400284515,45160
1770648400327636,45250
1770648400370504,45160
1770648400413333,45160
1770648400456422,45220
1770648400499353,45250
1770648400543943,45160
1770648400586989,45130
1770648400629507,45180
1770648400672478,45140
1770648400715512,45090
1770648400758514,45210
1770648400801380,45250
1770648400844511,45190
1770648400887414,45220
1770648400930514,45160
1770648400973449,45230
1770648401016876,45200
1770648401063758,45160
1770648401106746,45130
1770648401149633,45170
1770648401192687,45210
1770648401235745,45210
1770648401279004,45150
1770648401322113,45150
1770648401365085,45090
1770648401408107,45180
1770648401450635,45110
1770648401493447,45180
1770648401536488,45190
1770648401579683,45130
1770648401623532,45100
1770648401666242,45150
1770648401709191,45120
1770648401751927,45100
1770648401794923,45170
1770648401837942,45180
1770648401881280,45290
1770648401924442,45090
1770648401967466,45240
1770648402010433,45100
1770648402053223,45170
1770648402096210,45200
1770648402139310,45170
1770648402183260,45160
1770648402226384,45120
1770648402269341,45130
1770648402312399,45150
1770648402355404,45160
1770648402398435,45220
1770648402441325,45180
1770648402484357,45330
1770648402527459,45120
1770648402570310,45170
1770648402613194,45250
1770648402655667,45170
1770648402698738,45150
1770648402743113,45150
1770648402786264,45320
1770648402829539,45160
1770648402872621,45120
1770648402915793,45130
1770648402958826,45190
1770648403001834,45120
1770648403044766,45120
1770648403087943,45120
1770648403131077,45200
1770648403174042,45170
1770648403217119,45220
1770648403262992,45140
1770648403306056,45230
1770648403349207,45150
1770648403392123,45150
1770648403435232,45170
1770648403478537,45110
1770648403520968,45180
1770648403564209,45180
1770648403607396,45260
1770648403650492,45150
1770648403693439,45180
1770648403736590,45190
1770648403782758,45110
1770648403825802,45330
1770648403869063,45070
1770648403912231,45210
1770648403955189,45170
1770648403998268,45180
1770648404041150,45170
1770648404084107,45120
1770648404127138,45200
1770648404170088,45190
1770648404212851,45190
1770648404255829,45170
1770648404302549,45090
1770648404345605,45140
1770648404388613,45100
1770648404431684,45150
1770648404474748,45150
1770648404517342,45320
1770648404560338,45200
1770648404603415,45240
1770648404646526,45170
1770648404689605,45180
1770648404732635,45110
1770648404775867,45070
1770648404822353,45100
1770648404865024,45100
1770648404908215,45120
1770648404951164,45180
1770648404994341,45160
1770648405037483,45070
1770648405080427,45070
1770648405123566,44950
1770648405166227,45020
1770648405209340,45040
1770648405252551,45080
1770648405295538,45050
1770648405342118,45040
1770648405385241,45170
1770648405428475,45090
1770648405471506,45110
1770648405514041,45170
1770648405557036,45030
1770648405600099,45040
1770648405643015,45020
1770648405686250,45050
1770648405729054,45050
1770648405772085,45020
1770648405815171,45130
1770648405862000,45170
1770648405905149,45200
1770648405948243,45160
1770648405991246,45620
1770648406034443,45150
1770648406077554,45130
1770648406120414,45080
1770648406163464,45090
1770648406206471,45150
1770648406248910,45190
1770648406291924,45130
1770648406335025,45190
1770648406381849,45170
1770648406425011,45130
1770648406468182,45290
1770648406510938,45170
1770648406553853,45200
1770648406596920,45280
1770648406639844,45130
1770648406682705,45140
1770648406725629,45200
1770648406768502,45200
1770648406811488,45220
1770648406854455,45170
1770648406897398,45190
1770648406941684,45230
1770648406984639,45180
1770648407027612,45160
1770648407070381,45130
1770648407113615,45130
1770648407156489,45160
1770648407199303,45130
1770648407241731,45220
1770648407284252,45200
1770648407327139,45200
1770648407370293,45190
1770648407413475,45120
1770648407456704,45120
1770648407501403,45020
1770648407544556,45030
1770648407587571,45110
1770648407630603,45090
1770648407673612,45190
1770648407716485,45140
1770648407759504,45010
1770648407802590,45030
1770648407845609,45080
1770648407888639,45040
1770648407931826,44930
1770648407974970,45070
1770648408021216,45120
1770648408064167,45060
1770648408107200,45170
1770648408150185,45220
1770648408193059,45120
1770648408236125,45090
1770648408279165,45080
1770648408322112,45000
1770648408365197,45050
1770648408407754,44990
1770648408450681,45060
1770648408492952,45110
1770648408535842,45060
1770648408580879,45060
1770648408624111,45020
1770648408667148,44970
1770648408710046,44930
1770648408753008,44930
1770648408796055,44870
1770648408839122,45060
1770648408882137,44980
1770648408924945,45030
1770648408968026,45050
1770648409011057,45120
1770648409053929,45070
1770648409100741,45070
1770648409143866,45070
1770648409186828,45060
1770648409229610,45050
1770648409272693,45080
1770648409315691,45060
1770648409358920,45120
1770648409402008,45130
1770648409444918,45100
1770648409488007,45150
1770648409531083,45150
1770648409573937,45150
1770648409620553,45080
1770648409663512,45100
1770648409706567,45070
1770648409749009,45100
1770648409791993,45100
1770648409835043,45140
1770648409878124,45190
1770648409921301,45170
1770648409964419,45180
1770648410007559,45090
1770648410050592,45160
1770648410093578,45200
1770648410140434,45110
1770648410183285,45170
1770648410226309,45230
1770648410269227,45160
1770648410312446,45210
1770648410355305,45230
1770648410398493,45220
1770648410441361,45160
1770648410484518,45300
1770648410527634,45120
1770648410570672,45230
1770648410614187,45340
1770648410660295,45230
1770648410703390,45250
1770648410746549,45170
1770648410789336,45200
1770648410832267,45200
1770648410875347,45140
1770648410918264,45220
1770648410961154,45250
1770648411004259,45190
1770648411047456,45150
1770648411090382,45240
