unix_timestamp,active_power (mW)
1770651937721574,49510
1770651937764254,49770
1770651937807287,49960
1770651937850461,49840
1770651937893210,49800
1770651937936290,49850
1770651937979439,49720
1770651938022001,49830
1770651938065054,49660
1770651938108157,49280
1770651938151224,49240
1770651938194453,49390
1770651938239649,49350
1770651938282653,49360
1770651938325324,49410
1770651938368430,49350
1770651938411582,49350
1770651938454209,49390
1770651938496719,49420
1770651938540024,49400
1770651938583003,49340
1770651938625576,49380
1770651938668708,49310
1770651938711738,49690
1770651938754320,49760
1770651938799606,49710
1770651938842442,49280
1770651938885563,49280
1770651938928636,49250
1770651938971691,49360
1770651939014696,49340
1770651939057855,49360
1770651939100808,49340
1770651939143950,49300
1770651939186936,49300
1770651939230019,49250
1770651939272898,49340
1770651939319802,49300
1770651939362655,49270
1770651939405084,49340
1770651939448089,49350
1770651939491075,49380
1770651939533722,49410
1770651939576885,49380
1770651939619788,49300
1770651939662598,49260
1770651939705910,49270
1770651939748988,49410
1770651939792002,49230
1770651939835002,49190
1770651939880098,49320
1770651939923092,49320
1770651939966094,49270
1770651940009166,49340
1770651940052115,49260
1770651940095188,49380
1770651940138212,49380
1770651940180878,49290
1770651940224036,49270
1770651940266903,49280
1770651940310089,49300
1770651940353257,49290
1770651940396205,49240
1770651940440242,49320
1770651940483484,49300
1770651940526593,49430
1770651940569571,49320
1770651940612783,49280
1770651940655945,49310
1770651940698991,49260
1770651940741725,49180
1770651940784717,49200
1770651940827638,49210
1770651940870640,49270
1770651940913503,49250
1770651940960289,49280
1770651941003363,49270
1770651941046468,49270
1770651941089647,49320
1770651941132702,49240
1770651941175912,49260
1770651941218911,49210
1770651941261814,49280
1770651941304938,49190
1770651941348051,49250
1770651941391139,49160
1770651941434149,49140
1770651941480562,49270
1770651941523719,49240
1770651941566606,49280
1770651941609641,49170
1770651941652984,49220
1770651941695989,49190
1770651941739178,49150
1770651941782379,49140
1770651941824970,49240
1770651941868042,49210
1770651941911154,49270
1770651941953885,49290
1770651942000831,49200
1770651942043963,49220
1770651942087006,49280
1770651942129893,49230
1770651942172862,49170
1770651942215760,49210
1770651942258581,49160
1770651942301477,49200
1770651942344663,49230
1770651942387560,49250
1770651942430441,49300
1770651942473034,49270
1770651942516187,49210
1770651942561003,49140
1770651942604140,49120
1770651942647011,49230
1770651942690076,49170
1770651942732679,49240
1770651942775778,49150
1770651942818494,49290
1770651942861095,49270
1770651942904126,49220
1770651942947092,49220
1770651942990616,49180
1770651943033478,49120
1770651943076576,49170
1770651943121209,49290
1770651943164376,49200
1770651943207623,49250
1770651943250419,49180
1770651943293390,49200
1770651943336657,49120
1770651943379640,49110
1770651943422695,49080
1770651943465489,49190
1770651943508577,49230
1770651943551086,49270
1770651943594171,49240
1770651943637133,49130
1770651943681574,49160
1770651943724624,49160
1770651943767589,49170
1770651943810448,49280
1770651943853369,49160
1770651943896554,49260
1770651943939706,49190
1770651943982624,49190
1770651944025674,49170
1770651944068788,49270
1770651944112003,49250
1770651944155161,49160
1770651944201714,49210
1770651944244719,49220
1770651944287867,49220
1770651944330761,49260
1770651944373483,49170
1770651944416489,49130
1770651944459564,49100
1770651944502562,49330
1770651944545767,49210
1770651944588736,49230
1770651944631854,49210
1770651944674887,49260
1770651944718062,49210
1770651944762058,49250
1770651944804747,48950
1770651944847781,49210
1770651944890443,49200
1770651944932665,49240
1770651944975575,49260
1770651945018490,49190
1770651945061640,49280
1770651945104574,49220
1770651945147506,49170
1770651945189983,49100
1770651945233135,49150
1770651945276222,49170
1770651945322219,49200
1770651945365419,49200
1770651945408699,49310
1770651945451754,49270
1770651945494778,49230
1770651945537349,49140
1770651945580496,49140
1770651945623760,49050
1770651945666665,49180
1770651945709510,49210
1770651945752693,49240
1770651945795915,49290
1770651945842453,49220
1770651945885972,49190
1770651945928909,49130
1770651945972069,49160
1770651946015019,49210
1770651946058198,49220
1770651946101438,49270
1770651946143916,49260
1770651946187004,49220
1770651946229715,49240
1770651946272601,49110
1770651946315606,49200
1770651946362709,49180
1770651946405611,49180
1770651946448648,49200
1770651946491697,49730
1770651946534828,49320
1770651946577934,49270
1770651946621044,49150
1770651946664321,49190
1770651946707479,49070
1770651946750098,49160
1770651946793204,49180
1770651946836198,49180
1770651946882958,49520
1770651946926093,49290
1770651946969301,49180
1770651947012397,49280
1770651947055503,49230
1770651947098659,49080
1770651947141628,49170
1770651947184800,49180
1770651947227807,49190
1770651947270950,49270
1770651947314174,49230
1770651947356822,49200
1770651947403205,49170
1770651947445928,49190
1770651947488857,49110
1770651947532024,49180
1770651947575269,49150
1770651947618285,49250
1770651947660754,49190
1770651947703937,49210
1770651947746541,49200
1770651947789580,49210
1770651947832592,49210
1770651947875456,49200
1770651947918611,49100
1770651947963439,49280
1770651948006531,49180
1770651948049118,49230
