unix_timestamp,active_power (mW)
1770653621589099,50090
1770653621632070,49970
1770653621674992,49810
1770653621718142,49830
1770653621761386,49780
1770653621804223,49840
1770653621847300,49850
1770653621890253,49770
1770653621933348,49880
1770653621976440,49840
1770653622019536,49840
1770653622062543,49780
1770653622107362,49770
1770653622150505,49740
1770653622192806,49830
1770653622235855,49790
1770653622278955,49810
1770653622322035,49830
1770653622365222,49780
1770653622408291,49830
1770653622451285,49810
1770653622494451,49860
1770653622537371,50030
1770653622580512,49940
1770653622626981,49960
1770653622670123,49750
1770653622713247,49820
1770653622756297,49800
1770653622799252,49940
1770653622842382,49880
1770653622885335,49900
1770653622928686,49830
1770653622971758,49840
1770653623014685,49940
1770653623057531,49920
1770653623100849,49930
1770653623146781,49860
1770653623189877,49860
1770653623232858,49850
1770653623276154,49760
1770653623319145,49820
1770653623361776,49770
1770653623405032,49800
1770653623447313,49850
1770653623490298,49850
1770653623533507,49820
1770653623576720,49910
1770653623619816,49880
1770653623666584,49770
1770653623709770,49860
1770653623752709,49820
1770653623795823,49890
1770653623838847,49890
1770653623881520,49800
1770653623924527,49920
1770653623967494,49830
1770653624010300,49780
1770653624053197,49810
1770653624096356,49680
1770653624139455,49840
1770653624186357,49730
1770653624229500,49840
1770653624272653,49750
1770653624315770,49860
1770653624358710,49820
1770653624401515,49880
1770653624444705,49910
1770653624487687,49870
1770653624530759,49940
1770653624573709,49880
1770653624616836,49860
1770653624659768,49830
1770653624706197,49820
1770653624749354,49860
1770653624792265,49840
1770653624835291,49740
1770653624878348,50970
1770653624921471,51700
1770653624964453,49680
1770653625007582,49810
1770653625050694,49820
1770653625093848,49890
1770653625136826,49850
1770653625179170,49790
1770653625221834,49790
1770653625266063,49830
1770653625309108,49830
1770653625352338,49850
1770653625394822,49850
1770653625437959,49880
1770653625480877,49800
1770653625523819,49830
1770653625566961,49800
1770653625610075,49820
1770653625653212,49790
1770653625696228,49740
1770653625739332,49900
1770653625785871,49900
1770653625829009,49880
1770653625872159,49810
1770653625915373,49800
1770653625958564,49800
1770653626000963,49820
1770653626044171,49800
1770653626087340,49810
1770653626130305,49850
1770653626173368,49880
1770653626216352,49790
1770653626259437,49700
1770653626305558,49740
1770653626348745,49790
1770653626391512,49810
1770653626434663,49830
1770653626477549,49910
1770653626520645,49950
1770653626563621,49840
1770653626606663,49770
1770653626649781,49630
1770653626692759,49920
1770653626735834,49860
1770653626778869,49970
1770653626825300,49880
1770653626868436,49940
1770653626911500,49950
1770653626954556,49930
1770653626996889,49770
1770653627039888,49770
1770653627082899,49850
1770653627125543,49830
1770653627168685,49840
1770653627211813,49810
1770653627254697,49840
1770653627297592,49910
1770653627340693,49860
1770653627385186,49810
1770653627428172,49870
1770653627471032,49800
1770653627513721,49940
1770653627556709,49920
1770653627599502,49870
1770653627642445,49800
1770653627685622,49800
1770653627728742,49830
1770653627771918,49790
1770653627814886,49800
1770653627857676,49800
1770653627900622,49810
1770653627944702,49830
1770653627987795,49790
1770653628030701,49730
1770653628073629,50120
1770653628116730,49720
1770653628159568,49860
1770653628202138,49880
1770653628245187,50020
1770653628288372,49880
1770653628331424,49850
1770653628374115,49780
1770653628416861,49890
1770653628459703,49870
1770653628504422,49760
1770653628547538,49890
1770653628590648,49690
1770653628633687,49870
1770653628676697,49990
1770653628719642,49910
1770653628762362,49900
1770653628804836,49840
1770653628847921,49790
1770653628890843,49770
1770653628933392,49860
1770653628976564,49890
1770653629019777,49940
1770653629064097,49950
1770653629107185,49850
1770653629150356,49740
1770653629193331,49810
1770653629236393,49860
1770653629279408,49970
1770653629322431,49930
1770653629365521,49830
1770653629408188,49890
1770653629451067,49780
1770653629493659,49720
1770653629536679,49760
1770653629579966,49820
1770653629623867,49870
1770653629666872,49920
1770653629709912,49920
1770653629752997,49760
1770653629796199,49770
1770653629839256,49860
1770653629882256,49830
1770653629925370,49890
1770653629968486,49890
1770653630010976,49850
1770653630054174,49770
1770653630096831,49730
1770653630143469,49870
1770653630186632,49890
1770653630229768,49910
1770653630272733,49920
1770653630315857,49790
1770653630359003,49530
1770653630401556,49820
1770653630444643,49840
1770653630487597,49910
1770653630530365,50060
1770653630573428,49890
1770653630616113,49780
1770653630659296,49680
1770653630703176,49810
1770653630746187,49970
1770653630789210,50010
1770653630832322,49950
1770653630875485,49840
1770653630918070,49770
1770653630961165,49750
1770653631004139,49800
1770653631047222,49890
1770653631090503,49970
1770653631132896,49950
1770653631175974,49900
1770653631218973,49840
1770653631262998,49820
1770653631306077,50540
1770653631349181,50160
1770653631392179,49880
1770653631435141,49870
1770653631477911,49920
1770653631520942,49960
1770653631563812,49980
1770653631606818,49900
1770653631649885,49920
1770653631692851,49930
1770653631735993,49910
1770653631778506,49860
1770653631822787,49950
1770653631865834,49840
1770653631909059,49890
1770653631952120,49880
1770653631995130,49880
1770653632038076,49870
1770653632080960,49750
1770653632123987,49920
1770653632167084,49870
1770653632210202,49890
1770653632252715,49830
1770653632295618,49940
1770653632342422,49860
1770653632384830,49800
1770653632427996,49790
1770653632471059,49850
1770653632513697,50020
1770653632556828,49920
1770653632599960,49870
1770653632643195,49830
1770653632686209,49790
1770653632729208,49850
1770653632772329,49940
1770653632815512,49940
1770653632861924,49810
1770653632905018,49830
1770653632948242,49970
1770653632991428,49950
1770653633034674,49920
1770653633077408,49810
1770653633120600,49870
1770653633163936,49930
1770653633206967,49990
1770653633249905,50010
1770653633292995,49970
1770653633336056,49890
1770653633381573,49790
1770653633424759,49870
1770653633467851,49960
1770653633510832,49920
1770653633553854,49860
1770653633596764,49710
1770653633639837,49800
1770653633682849,49830
1770653633725879,49910
1770653633768950,49880
1770653633811972,49900
1770653633855209,49860
1770653633901252,49790
1770653633944352,49860
1770653633986802,49890
1770653634029643,49920
1770653634072596,49870
1770653634115688,49750
1770653634158711,49750
1770653634201715,49860
1770653634244639,49900
1770653634287631,49930
1770653634330724,49820
1770653634373350,49830
1770653634415943,49770
1770653634460982,49910
1770653634504028,50050
1770653634547202,49870
1770653634590354,49830
1770653634633314,49820
1770653634676497,49840
1770653634719597,49850
1770653634762742,49920
1770653634805630,49910
1770653634848793,49800
1770653634891958,49800
1770653634935187,49750
1770653634980563,49870
1770653635023765,49880
1770653635066861,49780
1770653635109878,49760
1770653635152869,49840
1770653635195852,49890
1770653635238844,49870
1770653635282087,49800
1770653635325194,49780
1770653635368114,49780
1770653635411193,49830
1770653635453335,49880
1770653635500224,49880
1770653635543349,49860
1770653635586417,49750
1770653635629073,49860
1770653635672167,49840
1770653635714707,49920
1770653635757815,49920
1770653635800854,49810
1770653635843824,49760
1770653635886669,49770
1770653635929640,49850
1770653635972789,49910
1770653636015864,49870
1770653636059936,49710
1770653636102854,49760
1770653636145740,49920
1770653636188641,49860
1770653636231775,49850
1770653636274585,49750
1770653636317727,49790
1770653636360598,49800
1770653636403782,49790
1770653636446668,49820
1770653636489592,49690
1770653636532582,49830
1770653636579480,49760
1770653636622651,49890
1770653636665641,49850
1770653636708641,49840
1770653636751417,49810
1770653636794517,49900
1770653636837557,49840
1770653636880623,49860
1770653636923728,49840
1770653636966688,49810
1770653637009203,49890
1770653637052334,49840
1770653637099206,49830
1770653637142292,49820
1770653637184996,49750
1770653637228174,49860
1770653637271066,49860
1770653637314186,49830
1770653637357166,49770
1770653637400254,49870
1770653637442988,49940
1770653637486117,49860
