unix_timestamp,active_power (mW)
1770654298456650,49250
1770654298499943,49700
1770654298542963,49210
1770654298585966,49200
1770654298631498,49370
1770654298674567,49200
1770654298717550,49240
1770654298760570,49210
1770654298803552,49240
1770654298846670,49150
1770654298889601,49230
1770654298932728,49160
1770654298975769,49250
1770654299018836,49300
1770654299061552,49160
1770654299104571,49220
1770654299151295,49230
1770654299194351,49190
1770654299237544,49150
1770654299280575,49180
1770654299323663,49180
1770654299366909,49200
1770654299410008,49160
1770654299452887,49180
1770654299496045,49190
1770654299539236,49190
1770654299582408,49140
1770654299625076,49120
1770654299670977,49160
1770654299713672,49170
1770654299756592,49210
1770654299799823,49240
1770654299842609,49160
1770654299885801,49090
1770654299928565,49100
1770654299971624,49110
1770654300014313,49210
1770654300057325,49040
1770654300100485,49190
1770654300143636,49220
1770654300186822,49090
1770654300230862,49160
1770654300273487,49210
1770654300316578,49150
1770654300359641,49100
1770654300402493,49190
1770654300445487,49130
1770654300488503,49130
1770654300531622,49170
1770654300574502,49290
1770654300617668,49180
1770654300660819,49230
1770654300704020,49090
1770654300750537,49160
1770654300793526,48930
1770654300836523,49140
1770654300879608,49210
1770654300922537,49190
1770654300965071,49200
1770654301008205,49250
1770654301051434,49200
1770654301094651,49200
1770654301137643,49260
1770654301180643,49190
1770654301223638,49170
1770654301270319,49140
1770654301313480,49220
1770654301356702,49230
1770654301399877,49200
1770654301442536,49250
1770654301485214,49230
1770654301528169,49190
1770654301570974,49080
1770654301614111,49200
1770654301657138,49220
1770654301700163,49210
1770654301743061,49160
1770654301786313,49190
1770654301830296,49170
1770654301873377,49210
1770654301916572,49220
1770654301959760,49150
1770654302002693,49200
1770654302045675,49220
1770654302088682,49630
1770654302131773,49110
1770654302174935,49180
1770654302218079,49270
1770654302261029,49220
1770654302304139,49170
1770654302349951,49200
1770654302393022,49190
1770654302436219,49110
1770654302479416,49110
1770654302522571,49310
1770654302565569,49140
1770654302608693,49200
1770654302651742,49210
1770654302694731,49090
1770654302737922,49110
1770654302780936,49150
1770654302824008,49170
1770654302869762,49190
1770654302912830,49170
1770654302955967,49270
1770654302999184,49280
1770654303041824,49140
1770654303084928,49160
1770654303128098,49210
1770654303171311,49090
1770654303214485,49160
1770654303257615,49160
1770654303300600,49210
1770654303343592,49210
1770654303389519,49210
1770654303432513,49130
1770654303475599,49190
1770654303518256,49120
1770654303561392,49150
1770654303604537,49230
1770654303647512,49150
1770654303690610,49210
1770654303732830,49160
1770654303776009,49160
1770654303818791,49150
1770654303861875,49100
1770654303904973,49150
1770654303949253,49250
1770654303992363,49220
1770654304035100,49160
1770654304078252,49210
1770654304121298,49040
1770654304164365,49240
1770654304207209,49240
1770654304250418,49140
1770654304292968,49010
1770654304336040,49150
1770654304379214,49170
1770654304422422,49250
1770654304468898,49170
1770654304511970,49270
1770654304554931,49190
1770654304598072,49210
1770654304640549,49210
1770654304683477,49170
1770654304726521,49140
1770654304769738,49130
1770654304812873,48990
1770654304855845,49150
1770654304899029,49210
1770654304942118,49150
1770654304988700,49170
1770654305031824,49180
1770654305074847,49140
1770654305117869,49190
1770654305160960,49220
1770654305204111,49210
1770654305247101,49200
1770654305290207,49200
1770654305333798,49160
1770654305376972,49180
1770654305420040,49050
1770654305462991,49190
1770654305508442,49210
1770654305551522,49230
1770654305594233,49200
1770654305637326,49190
1770654305679548,49170
1770654305722717,49190
1770654305765616,49120
1770654305808561,49170
1770654305851609,49180
1770654305894655,49210
1770654305937557,49090
1770654305980530,49120
1770654306023629,49160
1770654306068058,49180
1770654306111165,49170
1770654306153878,49220
1770654306196881,49080
1770654306239992,49130
1770654306282626,49190
1770654306325725,49190
1770654306368863,49180
1770654306412164,49180
1770654306455220,49150
1770654306498459,49130
1770654306541615,49320
1770654306587851,49130
1770654306630921,49350
1770654306674121,49220
1770654306717333,49190
1770654306760554,49200
1770654306803573,49230
1770654306846488,49180
1770654306888957,49150
1770654306931960,49180
1770654306974977,49200
1770654307017921,49220
1770654307060865,49220
1770654307107629,49120
1770654307150917,49210
1770654307193990,49270
1770654307237092,49210
1770654307280070,49290
1770654307323217,49260
1770654307365846,49270
1770654307408935,49290
1770654307452123,49190
1770654307495001,49260
1770654307538112,49260
1770654307581288,49200
1770654307627479,49240
1770654307670466,49130
1770654307712907,49180
1770654307755850,49180
1770654307798880,49160
1770654307841918,49160
1770654307885013,49190
1770654307928181,49120
1770654307971250,49170
1770654308014224,49170
1770654308057375,49130
1770654308099965,49140
1770654308143040,49120
1770654308187018,49160
1770654308230201,49080
1770654308273294,49150
1770654308316262,49140
1770654308359404,49230
1770654308402349,49180
1770654308445941,49170
1770654308489029,49110
1770654308532055,49150
1770654308575074,49330
1770654308618056,49250
1770654308661136,49230
1770654308707022,49140
1770654308750062,49250
1770654308793288,49140
1770654308836493,49210
1770654308879571,49270
1770654308922543,49180
1770654308965532,49230
1770654309008532,49200
1770654309051635,49160
1770654309094850,49140
1770654309138008,49120
1770654309181252,49200
1770654309226675,49140
1770654309269692,49150
1770654309312661,49150
1770654309355668,49150
1770654309398593,49070
1770654309441058,49130
1770654309484141,49130
1770654309527031,49130
1770654309570155,49270
1770654309613255,49140
1770654309655514,49160
1770654309698472,49100
1770654309741356,49190
1770654309786483,49220
1770654309829543,49640
1770654309872651,49130
1770654309915614,49190
1770654309958388,49260
1770654310001523,49220
1770654310044527,49220
1770654310087636,49160
1770654310130563,49210
1770654310173668,49170
1770654310216863,49230
1770654310260029,49260
1770654310306297,49240
1770654310348673,49210
1770654310391849,49260
1770654310435051,49210
1770654310477565,49270
1770654310520671,49250
1770654310563754,49220
1770654310606775,49140
1770654310649897,49250
1770654310693113,49170
1770654310736271,49200
1770654310779318,49120
1770654310825890,49120
1770654310869023,49140
1770654310912233,49140
1770654310955317,49220
1770654310998241,49130
1770654311041144,49120
1770654311084319,49220
1770654311127562,49200
1770654311170613,49170
1770654311213695,49200
1770654311256944,49440
1770654311300034,50010
1770654311345816,49270
1770654311388989,49250
1770654311432172,49300
1770654311475131,49280
1770654311517710,49260
1770654311560768,49330
1770654311603972,49270
1770654311647123,49340
1770654311690247,49290
1770654311733473,49320
1770654311776420,49260
1770654311819562,49240
1770654311865601,49230
1770654311908388,49280
1770654311951538,49180
1770654311994750,49250
1770654312037682,49280
1770654312080765,49190
1770654312123903,49260
1770654312166782,49190
1770654312209715,49210
1770654312252752,49220
1770654312295922,49260
1770654312338918,49090
1770654312385342,49200
1770654312428355,49210
1770654312471418,49300
