unix_timestamp,active_power (mW)
1770218573332564,40630
1770218573376682,40750
1770218573419952,40570
1770218573462307,40490
1770218573504608,40570
1770218573547816,40650
1770218573590799,40630
1770218573633923,40590
1770218573676850,40530
1770218573719812,40530
1770218573762804,40610
1770218573805780,40680
1770218573848769,40600
1770218573891697,40550
1770218573937087,40530
1770218573980191,40600
1770218574023139,40590
1770218574066377,40730
1770218574108890,40530
1770218574151794,40600
1770218574194593,40580
1770218574237579,40550
1770218574280712,40580
1770218574323737,40490
1770218574366812,40590
1770218574410012,40580
1770218574453064,40530
1770218574497180,40520
1770218574540276,40450
1770218574583171,40450
1770218574626103,40470
1770218574669687,40550
1770218574712757,41000
1770218574755792,40430
1770218574798822,40590
1770218574841826,40640
1770218574884675,40620
1770218574927718,40610
1770218574970503,40580
1770218575017351,40490
1770218575060498,40540
1770218575103432,40630
1770218575145900,40710
1770218575188999,40660
1770218575232040,40600
1770218575275141,40570
1770218575318213,40610
1770218575361164,40680
1770218575404272,40560
1770218575447205,40600
1770218575490252,40620
1770218575533413,40600
1770218575577693,40610
1770218575620909,40470
1770218575664099,40530
1770218575707090,40530
1770218575749560,40580
1770218575792832,40660
1770218575836011,40550
1770218575879099,40590
1770218575921698,40590
1770218575964649,40560
1770218576007787,40620
1770218576050876,40490
1770218576097953,40610
1770218576141012,40510
1770218576184229,40640
1770218576227408,40500
1770218576270400,40510
1770218576313588,40520
1770218576356568,40530
1770218576399694,40520
1770218576442726,40560
1770218576486000,40670
1770218576529091,40580
1770218576572209,40590
1770218576618015,40550
1770218576661194,40480
1770218576704498,40520
1770218576747330,40800
1770218576790374,40590
1770218576833830,40590
1770218576877023,40590
1770218576920000,40620
1770218576962977,40500
1770218577006119,40540
1770218577048635,40550
1770218577091791,40610
1770218577138405,41330
1770218577181508,40880
1770218577224493,40630
1770218577267675,40600
1770218577310682,40540
1770218577353727,40620
1770218577396681,40570
1770218577439578,40550
1770218577482644,40550
1770218577525560,40610
1770218577568493,40570
1770218577611651,40600
1770218577658665,40590
1770218577701698,40490
1770218577744599,40570
1770218577787726,40670
1770218577830770,40490
1770218577873895,40610
1770218577916785,40570
1770218577959918,40520
1770218578002905,40620
1770218578045989,40540
1770218578089110,40800
1770218578132238,40640
1770218578178736,40630
1770218578221864,40600
1770218578264854,40600
1770218578307853,40560
1770218578350937,40560
1770218578394029,40600
1770218578436731,40670
1770218578479925,40660
1770218578522947,40660
1770218578566091,40600
1770218578608726,40630
1770218578651776,40620
1770218578694685,40660
1770218578739050,40650
1770218578782266,40790
1770218578825477,40600
1770218578868402,40580
1770218578911492,40660
1770218578954561,40610
1770218578997316,40620
1770218579040325,40600
1770218579083198,40560
1770218579126359,40590
1770218579169565,40600
1770218579212817,40510
1770218579259433,40490
1770218579302456,40530
1770218579345015,40530
1770218579388203,40640
1770218579431251,40500
1770218579474040,40540
1770218579516614,40550
1770218579559834,40520
1770218579603047,40510
1770218579645736,40590
1770218579688729,40630
1770218579731665,40530
1770218579774461,40510
1770218579819682,40510
1770218579862701,40540
1770218579905217,40510
1770218579948162,40490
1770218579991357,40530
1770218580034426,40460
1770218580077466,40710
1770218580120495,40620
1770218580163628,40660
1770218580206847,40740
1770218580249793,40580
1770218580292960,40550
1770218580339771,40560
1770218580382958,40560
1770218580425837,40570
1770218580469020,40560
1770218580511912,40510
1770218580554483,40520
1770218580597637,40570
1770218580640788,40530
1770218580683765,40550
1770218580726684,40550
1770218580769841,40640
1770218580813071,40590
1770218580860045,40600
1770218580903125,40620
1770218580946023,40530
1770218580988814,40630
1770218581031759,40570
1770218581074693,40600
1770218581117862,40600
1770218581160318,40610
1770218581203239,40590
1770218581246254,40530
1770218581289341,40620
1770218581332402,40600
1770218581375570,40560
1770218581420326,40550
1770218581463481,40560
1770218581506437,40540
1770218581549645,40560
1770218581592703,40570
1770218581635637,40580
1770218581678677,40540
1770218581721722,40560
1770218581764723,40580
1770218581807864,40570
1770218581850773,40540
1770218581893781,40550
1770218581940554,40580
1770218581983636,40610
1770218582026697,40650
1770218582069884,40610
1770218582113113,40520
1770218582156319,40520
1770218582199519,40520
1770218582242738,40560
1770218582285718,40540
1770218582328559,40500
1770218582371565,40610
1770218582414715,40530
1770218582460986,40560
1770218582503936,40500
1770218582546938,40560
1770218582589789,40610
1770218582632891,40520
1770218582675918,40540
1770218582718975,40540
1770218582762028,40550
1770218582804740,40590
1770218582847630,40570
1770218582890785,40660
1770218582933529,40630
1770218582976642,40660
1770218583021113,40480
1770218583064243,40530
1770218583107353,40540
1770218583150315,40580
1770218583193535,40630
1770218583236563,40540
1770218583279693,40630
1770218583322733,40560
1770218583365743,40530
1770218583408743,40590
1770218583451873,40540
1770218583494901,40580
1770218583541298,40500
1770218583584348,40540
1770218583627328,40530
1770218583670039,40540
1770218583713068,40620
1770218583756228,40580
1770218583799203,40790
1770218583842454,40540
1770218583885566,40630
1770218583928530,40540
1770218583971641,40650
1770218584014621,40610
1770218584061552,40570
1770218584104679,40730
1770218584147760,40530
1770218584190803,40620
1770218584233779,40540
1770218584276886,40740
1770218584319912,41450
1770218584362987,40790
1770218584405978,40680
1770218584449098,40620
1770218584492098,40570
1770218584535264,40620
1770218584581851,40550
1770218584624731,40570
1770218584667749,40630
1770218584710587,40670
1770218584753171,40690
1770218584796377,40630
1770218584839505,40570
1770218584882218,40640
1770218584925398,40720
1770218584968528,40750
1770218585011699,40590
1770218585054668,40520
1770218585097695,40620
1770218585141893,40510
1770218585184968,40540
1770218585227952,40540
1770218585270956,40500
1770218585313977,40640
1770218585356805,40610
1770218585399642,40720
1770218585442679,40590
1770218585485774,40660
1770218585528797,40660
1770218585571807,40670
1770218585614826,40560
1770218585657888,40580
1770218585702083,40630
1770218585745047,40630
1770218585788047,40680
1770218585831273,40710
1770218585874265,40700
1770218585917810,40630
1770218585961037,40650
1770218586004014,40640
1770218586047097,40660
1770218586090133,40720
1770218586133343,40600
1770218586176431,40570
1770218586222283,40590
1770218586265466,40560
1770218586308718,40550
1770218586351762,40590
1770218586394749,40590
1770218586437844,40500
1770218586480876,40590
1770218586523992,40500
1770218586567185,40540
1770218586610222,40560
1770218586653232,40650
1770218586696178,40610
1770218586742284,40660
1770218586784770,40600
1770218586827832,40620
1770218586870677,40590
1770218586913297,40560
1770218586956481,40580
1770218586999372,40920
1770218587042478,40580
1770218587085272,40660
1770218587128301,40570
1770218587171260,40550
1770218587214320,40520
1770218587257333,40580
1770218587302440,40580
1770218587345630,40630
1770218587388604,40510
1770218587431725,40580
1770218587474938,40530
1770218587517986,40510
1770218587560912,40580
1770218587603905,40590
1770218587646753,40630
1770218587689909,40600
1770218587732860,40590
1770218587775739,40600
1770218587822550,40650
1770218587865729,40630
1770218587908566,40600
1770218587951738,40660
1770218587994684,40620
1770218588037827,40590
1770218588080737,40630
1770218588123948,40580
1770218588167063,40560
1770218588209614,40670
1770218588252576,40570
1770218588295811,40550
1770218588342677,40540
1770218588385785,40490
1770218588428701,40540
1770218588471746,40560
1770218588514675,40490
1770218588557792,40560
1770218588600724,40510
1770218588643658,40560
1770218588686799,40580
1770218588729383,40590
1770218588772600,40630
1770218588815625,40620
1770218588862682,40700
1770218588905151,40600
1770218588948220,40550
1770218588991107,40620
1770218589033772,40710
1770218589076883,40620
1770218589119787,40610
1770218589163274,40570
1770218589205997,40580
1770218589249128,40610
1770218589292058,40600
1770218589335012,40580
1770218589378210,40540
1770218589422893,40530
1770218589466309,40630
1770218589509543,40590
1770218589552609,40610
1770218589595731,40610
1770218589638768,40630
1770218589681491,40620
1770218589724618,40630
1770218589767710,40620
1770218589810724,40600
1770218589853989,40500
1770218589896958,40540
1770218589943028,40570
1770218589986163,40550
1770218590029340,40570
1770218590072475,40600
1770218590115543,40600
1770218590158573,40550
1770218590201471,40530
1770218590244656,40540
1770218590287719,40540
1770218590330682,40470
1770218590373547,40560
1770218590416559,40680
1770218590462944,40570
1770218590506009,40490
1770218590549072,40560
1770218590592145,40590
1770218590635261,40630
1770218590678264,40670
1770218590721436,40650
1770218590764571,40600
1770218590807751,40570
1770218590850633,40650
1770218590893521,40580
1770218590936735,40580
1770218590982972,40550
1770218591026058,40630
1770218591069128,40750
1770218591112185,40580
1770218591155280,40580
1770218591198262,40560
1770218591241401,40580
1770218591284388,40560
1770218591327525,40560
1770218591370584,40610
1770218591413563,40600
1770218591456971,40610
1770218591502926,41140
1770218591546021,40520
1770218591589017,40570
1770218591632086,40590
1770218591675150,40650
1770218591718128,40620
1770218591760779,40660
