unix_timestamp,active_power (mW)
1770220057859518,42280
1770220057902442,38710
1770220057944942,42800
1770220057988102,42250
1770220058034612,42350
1770220058077714,42450
1770220058120778,42280
1770220058163728,42290
1770220058206761,42350
1770220058249967,42330
1770220058293182,42310
1770220058336135,42260
1770220058379179,43290
1770220058421950,42910
1770220058464879,42430
1770220058508018,42380
1770220058554095,42220
1770220058597163,42270
1770220058640139,42370
1770220058683169,42150
1770220058726201,42210
1770220058769103,42230
1770220058811898,42310
1770220058854888,42270
1770220058897608,42300
1770220058940667,42270
1770220058983682,42270
1770220059026608,42270
1770220059073708,42290
1770220059116933,42420
1770220059160077,42270
1770220059203065,42400
1770220059246054,42290
1770220059289214,42330
1770220059332129,42370
1770220059375246,42470
1770220059418100,42400
1770220059461017,42450
1770220059504106,42430
1770220059547359,42570
1770220059593459,42410
1770220059636621,42410
1770220059679703,42420
1770220059722638,42360
1770220059765712,42380
1770220059808678,42310
1770220059851739,42310
1770220059894626,42380
1770220059937661,42400
1770220059980665,42340
1770220060023617,42400
1770220060066632,42330
1770220060113187,42370
1770220060156207,42380
1770220060199137,42450
1770220060242117,42400
1770220060284647,42350
1770220060327589,42340
1770220060370688,42390
1770220060413625,42320
1770220060456721,42360
1770220060499718,42360
1770220060542783,42270
1770220060585825,42300
1770220060632785,42310
1770220060675869,42390
1770220060719018,42310
1770220060762218,42270
1770220060805175,42290
1770220060848272,42310
1770220060891326,42290
1770220060934333,42400
1770220060976797,42410
1770220061020040,42340
1770220061063135,42290
1770220061105992,42320
1770220061152458,42320
1770220061195646,42320
1770220061238772,42380
1770220061281981,42320
1770220061325014,42340
1770220061368085,42290
1770220061411203,42360
1770220061454369,42350
1770220061497480,42270
1770220061540478,42320
1770220061583604,42500
1770220061626796,42250
1770220061672190,42310
1770220061715287,42310
1770220061758173,42400
1770220061801236,42230
1770220061844089,42300
1770220061887026,42220
1770220061930118,42330
1770220061973066,42370
1770220062016111,42400
1770220062059012,42380
1770220062102163,42400
1770220062145288,42260
1770220062191794,42300
1770220062234917,42320
1770220062277962,42360
1770220062320624,42310
1770220062363667,42310
1770220062406695,42330
1770220062449209,42340
1770220062492331,42340
1770220062535342,42290
1770220062578283,42350
1770220062621249,42330
1770220062664352,42330
1770220062707540,42250
1770220062751559,42230
1770220062794696,42300
1770220062837735,42350
1770220062880726,42350
1770220062923885,42260
1770220062966723,42350
1770220063009722,42270
1770220063052814,42330
1770220063095879,43080
1770220063138771,42140
1770220063181898,42300
1770220063224885,42350
1770220063271246,42300
1770220063314274,42260
1770220063357318,42320
1770220063400359,42330
1770220063443411,42270
1770220063486445,42330
1770220063529674,42330
1770220063572836,42330
1770220063615960,42480
1770220063658944,42290
1770220063702070,42320
1770220063745257,42320
1770220063790968,42440
1770220063834040,42360
1770220063876956,42260
1770220063920084,42320
1770220063963021,42340
1770220064006079,42360
1770220064048644,42380
1770220064091730,42330
1770220064134715,42400
1770220064177860,42330
1770220064220979,42420
1770220064263929,42300
1770220064310653,42360
1770220064353767,42300
1770220064396794,42370
1770220064439857,42320
1770220064483014,42270
1770220064526235,42280
1770220064569282,42340
1770220064612203,42350
1770220064655192,42380
1770220064698169,42430
1770220064741124,42300
1770220064784186,42270
1770220064830440,42340
1770220064873491,42370
1770220064916439,42340
1770220064959450,42320
1770220065002361,42380
1770220065045247,42250
1770220065088056,42300
1770220065131090,42300
1770220065174173,42370
1770220065217229,42330
1770220065260175,42340
1770220065303151,42350
1770220065350090,42250
1770220065392791,42260
1770220065435742,42230
1770220065478767,42420
1770220065522023,42200
1770220065565207,42290
