unix_timestamp,active_power (mW)
1770220427617440,42880
1770220427660431,28130
1770220427703456,44650
1770220427746375,44790
1770220427789580,44580
1770220427832479,44590
1770220427875649,44610
1770220427918566,44520
1770220427961440,44560
1770220428004611,44560
1770220428047532,44570
1770220428090782,44630
1770220428137577,44780
1770220428180702,44660
1770220428223625,44640
1770220428266760,44590
1770220428309967,44510
1770220428353166,44600
1770220428396220,44540
1770220428439266,44570
1770220428482483,44630
1770220428525438,44570
1770220428568498,44520
1770220428611461,45140
1770220428657572,44560
1770220428700432,44550
1770220428743532,44510
1770220428786478,44610
1770220428829531,44560
1770220428872491,44600
1770220428915609,44600
1770220428958569,44620
1770220429001461,44540
1770220429044400,44540
1770220429087521,44610
1770220429130539,44640
1770220429173581,44570
1770220429217620,44520
1770220429260602,44520
1770220429303551,44540
1770220429346620,44520
1770220429389661,44550
1770220429432700,44550
1770220429475729,44500
1770220429518868,44520
1770220429562067,44530
1770220429605025,44580
1770220429648131,44590
1770220429691069,44540
1770220429737529,44510
1770220429780665,44550
1770220429823561,44530
1770220429866569,44530
1770220429909560,44560
1770220429952481,44540
1770220429995676,44470
1770220430038625,44480
1770220430081767,44650
1770220430124720,44590
1770220430167815,44460
1770220430210995,44680
1770220430257560,44580
1770220430300543,44510
1770220430342883,44540
1770220430385548,44450
1770220430428464,44490
1770220430471515,44490
1770220430514521,44520
1770220430557385,44490
1770220430600688,44480
1770220430643612,44540
1770220430686639,44510
1770220430729564,44530
1770220430772755,44540
1770220430817449,44510
1770220430860633,44420
1770220430903529,44540
1770220430946625,44530
1770220430989608,44510
1770220431032725,44550
1770220431075814,44510
1770220431118872,44610
1770220431161940,44520
1770220431204946,44550
1770220431248140,44530
1770220431291355,44540
1770220431337450,44570
1770220431380485,44590
1770220431423460,44490
1770220431466303,44570
1770220431509525,44520
1770220431552449,44570
1770220431595619,44540
1770220431638792,44510
1770220431681897,44510
1770220431724859,44600
1770220431768101,44590
1770220431811087,44540
1770220431857545,44510
1770220431900571,44490
1770220431943518,44590
1770220431986233,44590
1770220432029244,44510
1770220432072419,44490
1770220432115438,44660
1770220432158486,44490
1770220432201611,44660
1770220432244592,44610
1770220432287606,44720
1770220432330565,44570
1770220432377419,44520
1770220432420481,44530
1770220432463427,44530
1770220432506351,44490
1770220432549539,44570
1770220432592411,44580
1770220432635535,44570
1770220432678600,44570
1770220432721221,45050
1770220432764233,44490
1770220432807334,44490
1770220432850311,44570
1770220432893470,44570
1770220432937451,44590
1770220432980519,44550
1770220433023368,44620
1770220433066195,44610
1770220433109250,44590
1770220433152406,44610
1770220433195546,44550
1770220433238464,44560
1770220433281324,44600
1770220433324386,44550
1770220433367334,44530
1770220433410448,44500
1770220433457501,44560
1770220433500569,44550
1770220433543519,44550
1770220433586277,44540
1770220433629238,44590
1770220433672334,44540
1770220433715329,44570
1770220433758351,44550
1770220433801390,44510
1770220433844470,44520
1770220433887465,44600
1770220433930541,44830
1770220433977495,44550
1770220434020590,44560
1770220434063519,44490
1770220434106714,44680
1770220434149886,44450
1770220434192935,44550
1770220434235993,44570
1770220434279123,44560
1770220434321672,44630
1770220434364804,44530
1770220434408013,44490
1770220434450895,44550
1770220434497491,44550
1770220434540564,44420
1770220434583499,44410
1770220434626588,44520
1770220434669508,44470
1770220434712614,44430
1770220434755651,44810
1770220434798794,44570
1770220434841945,44420
1770220434884915,44470
1770220434927990,44500
1770220434970973,44410
1770220435017381,44450
1770220435060340,44470
1770220435103380,44460
1770220435146358,44510
1770220435189413,44530
1770220435232431,44470
1770220435275272,44550
1770220435318429,44560
1770220435361391,44540
1770220435404508,44490
1770220435447619,44510
1770220435490576,44510
1770220435537352,44400
1770220435580493,44510
1770220435623355,44450
1770220435666364,44440
1770220435709517,44450
1770220435752592,44480
1770220435795609,44440
1770220435838767,44400
1770220435881976,44400
1770220435924948,44400
1770220435968082,44440
1770220436011309,44420
1770220436057437,44610
1770220436100515,44500
1770220436143438,44480
1770220436186538,44560
1770220436229574,44480
1770220436272600,44470
1770220436315634,44440
1770220436358751,44680
1770220436401643,44480
1770220436444802,44480
1770220436487858,44530
1770220436530867,44470
1770220436577436,44470
1770220436620538,44520
1770220436663496,44560
1770220436706567,44470
1770220436749535,44450
1770220436792600,44630
1770220436835681,44450
1770220436878689,44520
1770220436921707,44500
1770220436964555,44490
1770220437007637,44490
1770220437050540,44530
1770220437097384,44520
1770220437140640,44530
1770220437183799,44510
1770220437227004,44460
1770220437270261,44470
1770220437313445,44550
1770220437356634,44510
1770220437399490,44490
1770220437442430,44430
1770220437485549,44540
1770220437528510,44480
1770220437571604,44510
1770220437617425,44450
1770220437660469,44550
1770220437703656,44520
1770220437746614,44450
1770220437789697,44510
1770220437832597,44540
1770220437875470,44540
1770220437918352,44460
1770220437961500,44500
1770220438004448,44510
1770220438047376,44510
1770220438090570,44630
1770220438137372,44440
1770220438180504,44490
1770220438223446,44430
1770220438266369,44510
1770220438309511,44480
1770220438352616,44440
1770220438395531,44610
1770220438438347,44540
1770220438480909,44490
1770220438524094,44450
1770220438566919,44500
1770220438609916,44420
1770220438653027,44500
1770220438697450,44490
1770220438740581,44460
1770220438783694,44440
1770220438826695,44450
1770220438869801,44370
1770220438912647,44390
1770220438955544,44520
1770220438998517,44390
1770220439041665,44410
1770220439084643,44400
1770220439127643,44440
1770220439170709,44330
1770220439217436,44360
1770220439260444,44450
1770220439303436,44400
1770220439346264,44440
1770220439389458,44390
1770220439432464,44330
1770220439475465,44400
1770220439518409,44300
1770220439561433,44300
1770220439604498,44310
1770220439647519,44370
1770220439690504,44400
1770220439737368,44320
1770220439780433,44330
1770220439823504,44420
1770220439866636,44410
1770220439909560,44450
1770220439952715,44300
1770220439995626,44300
1770220440038822,44310
1770220440082005,44310
1770220440124656,44490
1770220440167597,44200
1770220440210559,44460
1770220440257423,44370
1770220440300518,44350
1770220440342938,44330
1770220440386000,44360
1770220440429118,44490
1770220440472317,44360
