unix_timestamp,active_power (mW)
1770221997550748,43140
1770221997593565,33160
1770221997636493,46370
1770221997679529,42600
1770221997722644,43200
1770221997765857,43130
1770221997808914,43070
1770221997851912,43100
1770221997894823,43080
1770221997937339,43100
1770221997981615,43100
1770221998024744,43070
1770221998067726,43260
1770221998110838,43000
1770221998153638,43020
1770221998196640,43020
1770221998239753,43100
1770221998282694,43070
1770221998325492,43110
1770221998368523,43110
1770221998411565,43040
1770221998454785,43100
1770221998501637,43110
1770221998544702,43060
1770221998587641,43070
1770221998630808,43040
1770221998673408,43190
1770221998716549,43110
1770221998759778,43150
1770221998802731,43030
1770221998845996,43130
1770221998889098,43130
1770221998932243,43170
1770221998975411,43160
1770221999021687,43130
1770221999064771,43150
1770221999107990,43050
1770221999150901,43080
1770221999194007,43140
1770221999236853,43170
1770221999279956,43180
1770221999322959,43140
1770221999366020,43160
1770221999409039,43200
1770221999451970,43130
1770221999494896,43100
1770221999541755,43130
1770221999584852,43070
1770221999628026,43120
1770221999670827,43130
1770221999713758,43120
1770221999757029,43130
1770221999800145,43140
1770221999843012,43130
1770221999885906,43120
1770221999928826,43150
1770221999971969,43080
1770222000014414,43120
1770222000057668,43090
1770222000101677,43180
1770222000144773,43230
1770222000187738,43020
1770222000230945,43220
1770222000273842,43150
1770222000317038,43100
1770222000360155,43060
1770222000403089,43090
1770222000446197,43110
1770222000489108,43080
1770222000532089,43120
1770222000575585,43040
1770222000621675,43060
1770222000664888,43060
1770222000708012,43110
1770222000750893,43060
1770222000794003,43110
1770222000837005,43110
1770222000880172,43090
1770222000923206,43100
1770222000965938,43070
1770222001008993,43130
1770222001051907,43900
1770222001094923,43260
1770222001141627,43170
1770222001184769,43050
1770222001227735,43090
1770222001270865,43150
1770222001314046,43140
1770222001356919,43180
1770222001400052,43080
1770222001442991,43110
1770222001486088,43160
1770222001528998,43180
1770222001572144,43180
1770222001615212,43160
1770222001661598,43090
1770222001704769,43150
1770222001748004,43100
1770222001791131,43130
1770222001834382,43110
1770222001877509,43080
1770222001920597,43120
1770222001963549,43140
1770222002006188,43110
1770222002048629,43050
1770222002091743,43150
1770222002134669,43230
1770222002181535,43070
1770222002224717,43120
1770222002267837,43040
1770222002310756,43110
1770222002354055,43030
1770222002397104,43120
1770222002440056,43070
1770222002483171,43100
1770222002525698,43090
1770222002568565,43070
1770222002611431,43090
1770222002654623,43090
1770222002701529,43160
1770222002744736,43150
1770222002787776,43190
1770222002830705,43260
1770222002873776,43160
1770222002916719,43210
1770222002959699,43240
1770222003002939,43270
1770222003045993,43230
1770222003088939,43360
1770222003131921,43280
1770222003174941,43350
1770222003221666,43310
1770222003264692,43190
1770222003307936,43290
1770222003350771,43240
1770222003393809,43280
1770222003436938,43250
1770222003479908,43270
1770222003522958,43360
1770222003566118,43220
1770222003609523,43230
1770222003652631,43350
1770222003695605,43300
1770222003741449,43210
1770222003784637,43250
1770222003827728,48420
1770222003870707,43370
1770222003913805,43280
1770222003956760,43240
1770222003999987,43170
1770222004043066,43160
1770222004085937,43230
1770222004129176,43410
1770222004172168,43210
1770222004215162,43250
1770222004261330,43340
1770222004304408,43220
1770222004347352,43170
1770222004390391,43260
1770222004433323,43220
1770222004476487,43220
1770222004519488,43160
1770222004562634,43170
1770222004605540,43160
1770222004648591,43230
1770222004691721,43230
1770222004734715,43200
1770222004781305,43140
1770222004824421,43130
1770222004867624,43220
1770222004910761,43230
1770222004953827,43250
1770222004996830,43190
1770222005040075,43280
1770222005083287,43310
1770222005126441,43420
1770222005169415,43420
1770222005212553,43260
1770222005255767,43250
1770222005301204,43250
1770222005343971,43240
1770222005387033,43310
1770222005429960,43270
1770222005472952,43250
1770222005515931,43270
1770222005558926,43300
1770222005602007,43310
1770222005644936,43280
1770222005688102,43240
1770222005731054,43220
1770222005774123,43280
1770222005821114,43300
1770222005864142,43270
1770222005907167,43310
1770222005949835,43270
1770222005992822,43260
1770222006035956,43230
1770222006079041,43420
