unix_timestamp,active_power (mW)
1770222585447743,43030
1770222585490655,32780
1770222585533201,46100
1770222585576175,42480
1770222585619189,43000
1770222585662130,43080
1770222585705123,43050
1770222585748280,43150
1770222585791567,43180
1770222585834592,43120
1770222585881020,43120
1770222585924191,43060
1770222585967329,43070
1770222586010479,42990
1770222586053586,43080
1770222586096687,43070
1770222586139617,43220
1770222586182693,43020
1770222586225635,43110
1770222586268850,43080
1770222586312015,43090
1770222586354987,43200
1770222586401171,43130
1770222586444174,43070
1770222586486814,43020
1770222586530013,43050
1770222586573002,42990
1770222586616082,43060
1770222586659063,43000
1770222586702238,43150
1770222586745206,43140
1770222586788453,43390
1770222586831483,43140
1770222586874480,43120
1770222586917097,43140
1770222586961361,43050
1770222587004463,42970
1770222587047728,43030
1770222587090926,43100
1770222587134087,43110
1770222587177085,43130
1770222587220250,43190
1770222587263317,43160
1770222587306384,43130
1770222587349314,43070
1770222587392535,43030
1770222587435499,43010
1770222587481575,42990
1770222587524691,42940
1770222587567607,43010
1770222587610672,42990
1770222587653680,43070
1770222587696855,43140
1770222587740093,43090
1770222587783223,43110
1770222587826196,43020
1770222587869372,43130
1770222587912556,43060
1770222587955592,43150
1770222588001574,43060
1770222588044586,43030
1770222588087624,43150
1770222588130525,42880
1770222588173370,42930
1770222588216285,43020
1770222588259417,43040
1770222588302533,43120
1770222588345588,43140
1770222588388484,43120
1770222588431765,43010
1770222588474763,43000
1770222588517865,42920
1770222588561828,43060
1770222588605012,43030
1770222588647985,43020
1770222588691194,43160
1770222588734367,43160
1770222588777482,43130
1770222588820526,43280
1770222588863538,43070
1770222588906247,43030
1770222588949350,42990
1770222588992328,43070
1770222589035302,43060
1770222589082106,43070
1770222589125262,43090
1770222589168423,43140
1770222589211591,43170
1770222589254621,43160
1770222589297673,43030
1770222589340755,43130
1770222589383864,43040
1770222589427017,42920
1770222589470195,42980
1770222589513120,42930
1770222589556331,42950
1770222589602131,42890
1770222589645327,42910
1770222589688232,42860
1770222589731244,42870
1770222589774312,42950
1770222589817246,43110
1770222589860404,43130
1770222589903514,43130
1770222589946179,43140
1770222589989156,42990
1770222590032262,43010
1770222590075219,43000
1770222590118324,43120
1770222590162416,42960
1770222590205568,43240
1770222590248498,43110
1770222590291538,43150
1770222590334428,43150
1770222590377478,43130
1770222590420574,43100
1770222590463538,43060
1770222590506554,43020
1770222590549313,43050
1770222590592482,43020
1770222590635476,42990
1770222590678637,43100
1770222590722729,43140
1770222590765481,43030
1770222590808682,43160
1770222590851592,43310
1770222590894624,43140
1770222590937317,43140
1770222590980472,43090
1770222591023364,43070
1770222591066282,42950
1770222591109418,42980
1770222591152353,43040
1770222591195485,43040
1770222591238458,43020
1770222591282828,43460
1770222591325896,42990
1770222591368988,43000
1770222591411993,42940
1770222591455173,43070
1770222591498099,43050
1770222591541239,43090
1770222591584394,43170
1770222591627413,43150
1770222591670542,42980
1770222591713566,42950
1770222591756464,42960
1770222591802851,42920
1770222591846085,42980
1770222591889273,43030
1770222591932279,43140
1770222591975397,43160
1770222592018280,43160
1770222592061242,43110
1770222592104442,43150
1770222592147440,43260
1770222592190473,43080
1770222592233515,43140
1770222592276562,43060
1770222592323203,43010
1770222592366219,43180
1770222592409138,43090
1770222592452113,43040
1770222592495203,43150
1770222592538441,43110
1770222592581423,43100
1770222592624462,43080
1770222592667497,43150
1770222592710635,43160
1770222592753432,43120
1770222592796479,43140
1770222592843192,43090
1770222592885956,43210
1770222592929178,43170
1770222592972399,43120
1770222593015484,43050
1770222593058469,43040
1770222593101686,43050
1770222593144589,42970
1770222593187469,42940
1770222593230627,42930
1770222593273526,42890
1770222593316662,42970
1770222593363199,42920
1770222593406324,42910
1770222593449357,42810
1770222593492478,42890
1770222593535635,42960
1770222593578632,42880
1770222593621686,42940
1770222593664736,43050
1770222593707859,43170
1770222593750956,43140
1770222593794007,43100
1770222593837165,43150
1770222593883350,43390
1770222593926541,42900
1770222593969607,42960
1770222594012595,42950
1770222594055444,42900
1770222594098305,42990
1770222594141404,43080
1770222594184390,42860
1770222594227369,42880
1770222594270525,42860
1770222594313114,42940
1770222594356226,44870
1770222594399247,43490
1770222594443468,43170
1770222594486696,43100
1770222594529606,43230
1770222594572706,43160
1770222594615752,43200
1770222594658788,43180
1770222594701665,43040
1770222594744710,43050
1770222594787823,43060
1770222594831030,43080
1770222594873935,43040
1770222594916770,43150
1770222594963525,43180
1770222595006398,43050
1770222595049513,42990
1770222595092394,43070
1770222595135537,43050
1770222595178412,42980
1770222595221624,42950
1770222595264704,42910
1770222595307704,42930
1770222595350549,42950
1770222595393518,42990
1770222595436490,43260
1770222595479553,42970
1770222595523607,42860
1770222595566703,42970
1770222595609583,42970
1770222595652760,42920
1770222595695661,43030
1770222595738594,43060
1770222595781496,43100
1770222595824666,43030
1770222595867803,43200
1770222595911208,43130
1770222595954345,43170
1770222595997545,43150
1770222596043672,43200
1770222596086854,43260
1770222596130130,43130
1770222596173290,43090
1770222596216484,43220
1770222596259691,43080
1770222596302682,43130
1770222596345638,43100
1770222596388670,43140
1770222596431802,43080
1770222596474751,43060
1770222596517615,43050
1770222596563758,43080
1770222596606845,43160
1770222596649996,43210
1770222596692966,43100
1770222596736060,43140
1770222596778900,43160
1770222596822154,43010
1770222596865356,43070
1770222596908525,43100
1770222596951566,43050
1770222596994660,43020
1770222597037513,43220
1770222597083642,43100
1770222597126689,43010
1770222597169271,42970
1770222597212529,43010
1770222597255604,43030
1770222597298578,42960
1770222597341467,43000
1770222597384591,43050
1770222597427601,42940
1770222597470702,43070
1770222597513719,43000
1770222597556771,42920
1770222597599691,43020
1770222597643656,42950
1770222597686762,42920
1770222597729665,42920
1770222597772690,42930
1770222597815662,42960
1770222597858582,42890
1770222597901670,42900
1770222597944672,42940
1770222597987579,42880
1770222598030685,42820
1770222598073556,42870
1770222598116649,43050
1770222598163552,42850
1770222598206708,42860
1770222598249600,42860
1770222598292669,42890
1770222598335677,42840
1770222598378763,42880
1770222598421846,42870
1770222598465026,42840
1770222598508133,42840
1770222598551393,42900
1770222598594502,42930
1770222598637448,42900
1770222598683586,42880
