unix_timestamp,active_power (mW)
1770223230019005,41990
1770223230061605,34150
1770223230104714,43160
1770223230147771,43640
1770223230190923,43530
1770223230234153,43510
1770223230277113,43610
1770223230320320,44050
1770223230363527,43530
1770223230406635,43550
1770223230449325,43490
1770223230492462,43550
1770223230537489,43440
1770223230580694,43480
1770223230623883,43560
1770223230667068,43530
1770223230709975,43490
1770223230753073,43550
1770223230796086,43520
1770223230839049,43520
1770223230882093,43510
1770223230925313,43530
1770223230968447,43650
1770223231011687,43520
1770223231057503,43560
1770223231100591,43680
1770223231143627,43560
1770223231186672,43650
1770223231229204,43690
1770223231272353,43580
1770223231315321,43670
1770223231358482,43610
1770223231401428,43560
1770223231444464,43640
1770223231487447,43650
1770223231530539,43650
1770223231577575,43610
1770223231620728,43630
1770223231663887,43690
1770223231706964,43720
1770223231749975,43680
1770223231793110,43730
1770223231836151,43700
1770223231879240,43720
1770223231922488,43940
1770223231965589,43670
1770223232008598,43800
1770223232051758,43740
1770223232097624,43860
1770223232140682,43810
1770223232183594,43640
1770223232226758,43750
1770223232269690,43690
1770223232312795,43720
1770223232355787,44070
1770223232398872,43650
1770223232441826,43670
1770223232485023,43570
1770223232528247,43660
1770223232571099,43680
1770223232617582,43600
1770223232660765,43600
1770223232703883,43570
1770223232747096,43630
1770223232789983,43670
1770223232832824,43640
1770223232875715,43610
1770223232918609,43750
1770223232961617,43610
1770223233004630,43590
1770223233047593,43630
1770223233090509,43680
1770223233137695,43600
1770223233180803,43530
1770223233223963,43550
1770223233266885,43520
1770223233309983,43530
1770223233353077,43470
1770223233396097,43530
1770223233439086,43550
1770223233482241,43530
1770223233525301,43500
1770223233568225,43560
1770223233611240,43560
1770223233657694,43620
1770223233700875,43540
1770223233743990,43630
1770223233787005,43660
1770223233830115,43730
1770223233872652,43690
1770223233915760,43770
1770223233958787,43940
1770223234001912,43810
1770223234044949,43760
1770223234088027,43710
1770223234131306,43880
1770223234177862,43710
1770223234221023,43700
1770223234264208,43660
1770223234307152,43590
1770223234350280,43610
1770223234393461,43610
1770223234436632,43540
1770223234479617,43550
1770223234522753,43430
1770223234565982,43540
1770223234608544,43520
1770223234651728,43470
1770223234697937,43460
1770223234740979,43470
1770223234783779,43490
1770223234826790,44780
1770223234869964,44040
1770223234912712,43750
1770223234955721,43670
1770223234998231,43620
1770223235041323,43720
1770223235084340,43670
1770223235127623,43890
1770223235170704,43700
1770223235213840,43720
1770223235258001,43750
1770223235301111,43760
1770223235343944,43770
1770223235386778,43840
1770223235429942,43830
1770223235472988,43840
1770223235516018,43820
1770223235558974,43720
1770223235601766,43780
1770223235644811,43790
1770223235687812,43820
1770223235730849,43780
1770223235777953,43810
1770223235821477,43740
1770223235864550,43730
1770223235907690,43750
1770223235950773,43690
1770223235993327,43850
1770223236036485,43720
1770223236079733,43620
1770223236122610,43750
1770223236165603,43520
1770223236208795,43570
1770223236251926,43520
1770223236298088,43550
1770223236340483,43550
1770223236383337,43550
1770223236426326,43970
1770223236468830,43500
1770223236511970,43610
1770223236555223,43670
1770223236598101,43710
1770223236641224,43750
1770223236684216,43780
1770223236727144,43770
1770223236770228,43810
1770223236813086,43740
1770223236858214,43710
1770223236901356,43700
1770223236944303,43810
1770223236987323,43710
1770223237030184,43720
1770223237073198,43740
1770223237116255,43840
1770223237159062,43740
1770223237202055,43820
1770223237245379,43530
1770223237288403,43540
1770223237331336,43580
1770223237378231,43550
1770223237421123,43570
1770223237464310,43610
1770223237507441,43660
1770223237550726,43700
1770223237593430,43810
1770223237636438,43720
1770223237679499,43770
1770223237722609,43830
1770223237765546,43770
1770223237808694,43720
1770223237851643,43760
1770223237898525,43740
1770223237941278,43680
1770223237984500,43730
1770223238027611,43760
1770223238070527,43690
1770223238113651,43870
1770223238156615,43600
1770223238199752,43620
1770223238242756,43550
1770223238285808,43590
1770223238328865,43590
1770223238371973,43540
1770223238418397,43530
1770223238461606,43570
1770223238504768,43550
1770223238547851,43490
1770223238590892,43500
1770223238634120,43560
1770223238677268,43550
1770223238719975,43560
1770223238763031,43620
1770223238805973,43720
1770223238849087,43700
1770223238892125,43730
1770223238938614,43750
1770223238981676,43780
1770223239024685,43650
1770223239067897,43690
1770223239110900,43710
1770223239154029,43670
1770223239197231,43670
1770223239240268,43670
1770223239283291,43840
1770223239326218,43830
1770223239369298,43850
1770223239412289,43880
1770223239458756,43740
1770223239501891,43760
1770223239545154,43710
1770223239588103,43760
1770223239631151,43720
1770223239674410,43770
1770223239717571,43760
1770223239760546,43700
1770223239803752,43610
1770223239846938,43670
1770223239889543,43540
1770223239932648,43670
1770223239978798,43590
1770223240021935,43520
1770223240064901,43700
1770223240108021,43560
1770223240151019,43490
1770223240194024,43550
1770223240237039,43680
1770223240280123,43610
1770223240323083,43660
1770223240366125,43710
1770223240408827,43760
1770223240452007,43750
1770223240498862,43780
1770223240542023,44000
1770223240584983,43610
1770223240627844,43610
1770223240670793,43650
1770223240713903,43690
1770223240756748,43650
1770223240799672,43630
1770223240842657,43690
1770223240885421,43780
1770223240928359,43820
1770223240971338,43880
1770223241014353,43790
1770223241059094,43770
1770223241102015,43780
1770223241145093,43790
1770223241188072,43680
1770223241231095,48570
1770223241274203,55750
1770223241317164,43210
1770223241360121,43730
1770223241403207,43580
1770223241446255,43630
1770223241489324,43690
1770223241532315,43580
1770223241579134,43700
1770223241622183,43720
1770223241665122,43610
1770223241708032,43570
1770223241751314,43650
1770223241794463,43750
1770223241837504,43690
1770223241880624,43770
1770223241923677,43750
1770223241966654,43710
1770223242009809,43660
1770223242052789,43760
1770223242099240,43850
1770223242142390,43920
1770223242185517,43660
1770223242228521,43730
1770223242271704,43790
1770223242314669,43640
1770223242357429,43610
1770223242400633,43600
1770223242443788,43570
1770223242486820,43560
1770223242529968,43560
1770223242572934,43590
1770223242619365,43720
1770223242662414,43660
1770223242705360,43670
1770223242748300,43740
1770223242791449,43770
1770223242834522,43710
1770223242877669,43740
1770223242920562,43710
1770223242963537,43780
1770223243006663,43780
1770223243049538,43790
1770223243092714,43830
1770223243139591,43850
1770223243182517,43820
1770223243225631,43850
1770223243268828,43830
1770223243311763,43720
1770223243354835,43740
1770223243397858,43710
1770223243440959,43710
1770223243483830,43690
1770223243527007,43680
1770223243569951,43570
1770223243612932,43590
1770223243659644,43540
1770223243702688,43550
1770223243745706,43560
1770223243788821,43540
1770223243831787,43460
1770223243874805,43580
1770223243917912,43680
1770223243960950,43670
1770223244003932,43760
1770223244046927,43700
1770223244089811,43700
1770223244133027,43800
1770223244179919,43890
1770223244223030,43680
1770223244265795,43700
1770223244308923,43710
1770223244352096,43850
1770223244395035,43800
1770223244437842,43770
1770223244480935,43660
1770223244523874,43750
1770223244566908,43810
1770223244609959,43780
1770223244653123,44150
1770223244696007,43800
1770223244740133,43620
1770223244783184,43680
1770223244825835,43610
1770223244868883,43640
1770223244912092,43630
1770223244955099,43620
1770223244997889,43550
1770223245041031,43500
1770223245083993,43560
1770223245127029,43570
1770223245169954,43640
1770223245212827,43690
1770223245255872,43730
1770223245300176,43690
1770223245342687,43570
1770223245385873,43610
1770223245428822,43560
1770223245472047,43590
1770223245515272,43630
1770223245558189,43680
1770223245601363,43680
1770223245644485,43800
1770223245687556,43710
1770223245730382,43750
1770223245773363,43650
1770223245816417,43730
1770223245860547,43690
1770223245903669,43790
1770223245946860,43760
1770223245989795,43750
1770223246032917,43830
1770223246075867,43730
1770223246118804,43920
1770223246161632,43690
1770223246204682,43610
1770223246247639,43900
1770223246290658,43750
