unix_timestamp,active_power (mW)
1770224961947301,44100
1770224961990174,28710
1770224962033071,46800
1770224962076257,43960
1770224962119160,44110
1770224962162018,44210
1770224962204938,44210
1770224962247993,43990
1770224962291107,44040
1770224962337539,44020
1770224962380642,44030
1770224962423794,43970
1770224962466749,44220
1770224962509844,44110
1770224962552806,44010
1770224962595814,44130
1770224962638797,44140
1770224962681764,44140
1770224962724700,44180
1770224962767591,44120
1770224962810720,44110
1770224962857669,44050
1770224962900712,44060
1770224962943800,44020
1770224962986813,44060
1770224963029823,44120
1770224963072935,44090
1770224963115776,44090
1770224963158770,44100
1770224963201550,44210
1770224963244582,44140
1770224963287654,44150
1770224963330520,44110
1770224963373470,44100
1770224963417759,44000
1770224963460652,44050
1770224963503846,44100
1770224963546768,44000
1770224963589842,44130
1770224963632629,43980
1770224963675618,44000
1770224963718498,44000
1770224963761725,44110
1770224963804686,44020
1770224963847506,44100
1770224963890548,44080
1770224963933520,44180
1770224963977972,44180
1770224964020944,44150
1770224964063962,44190
1770224964106971,44230
1770224964150064,44320
1770224964193173,44240
1770224964236212,44160
1770224964279174,44250
1770224964322268,44130
1770224964365262,44150
1770224964408192,44060
1770224964451380,44090
1770224964498151,44280
1770224964541272,44260
1770224964584510,44110
1770224964627741,44080
1770224964670622,44030
1770224964713275,44020
1770224964756263,44000
1770224964799263,44000
1770224964842418,44020
1770224964885440,44090
1770224964928562,44220
1770224964971688,44180
1770224965018410,44070
1770224965061490,44110
1770224965104555,44140
1770224965147538,44060
1770224965190427,44130
1770224965232808,44080
1770224965275756,44090
1770224965318753,44020
1770224965361298,44140
1770224965404432,44140
1770224965447280,44180
1770224965489891,44050
1770224965532710,44110
1770224965578605,44100
1770224965621697,44000
1770224965664901,44080
1770224965707845,44050
1770224965750858,44070
1770224965793821,44070
1770224965836746,44130
1770224965879839,44120
1770224965922774,44130
1770224965965338,44050
1770224966008499,44110
1770224966051543,44160
1770224966094647,44120
1770224966138642,44110
1770224966181730,44150
1770224966224641,44140
1770224966267737,44080
1770224966310760,43980
1770224966353701,44050
1770224966396786,44050
1770224966439807,44050
1770224966482814,44090
1770224966525820,44140
1770224966568675,44840
1770224966611792,44300
1770224966658854,44050
1770224966702053,44040
1770224966745115,43990
1770224966788205,44050
1770224966831341,44030
1770224966874274,44090
1770224966916722,44160
1770224966959876,44120
1770224967002753,44190
1770224967045697,44520
1770224967088698,44080
1770224967131824,44020
1770224967174850,44190
1770224967219090,44030
1770224967262203,44100
1770224967305224,44100
1770224967348441,44140
1770224967391558,44140
1770224967434539,44210
1770224967477746,44030
1770224967520594,44100
1770224967563781,44030
1770224967606833,44050
1770224967649931,44080
1770224967692944,44100
1770224967739312,44030
1770224967782518,44140
1770224967825007,44070
1770224967868099,44150
1770224967910737,44100
1770224967953762,44100
1770224967996832,44020
1770224968039812,43980
1770224968082506,44090
1770224968125543,44100
1770224968168476,44320
1770224968211445,44090
1770224968254533,44120
1770224968299691,44030
1770224968342363,44070
1770224968385361,44020
1770224968428426,44070
1770224968471464,44070
1770224968514553,44200
1770224968557402,44150
1770224968600483,44300
1770224968643454,44270
1770224968686496,44140
1770224968729667,44030
1770224968772915,44130
1770224968819844,44080
1770224968862817,44090
1770224968905155,44080
1770224968948350,44060
1770224968991673,44110
1770224969034767,44070
1770224969077781,44090
1770224969121034,44010
1770224969164180,44110
1770224969206776,44090
1770224969249670,44060
1770224969292817,44160
1770224969335839,44080
1770224969380200,44160
1770224969423179,44110
1770224969466253,44070
1770224969509334,44010
1770224969552590,44060
1770224969595497,44100
1770224969638639,44130
1770224969681252,44130
1770224969724145,44100
1770224969767160,44050
1770224969810226,44100
1770224969853184,44020
1770224969896312,44030
1770224969940463,44150
1770224969983530,44150
1770224970026425,44040
1770224970069633,44110
1770224970112792,44110
1770224970155705,44230
1770224970198590,44100
1770224970241481,44130
1770224970284461,44070
1770224970327624,44130
1770224970370729,44120
1770224970413747,44190
1770224970460605,44060
1770224970503716,44030
1770224970546724,44040
1770224970589896,44080
1770224970632840,44090
1770224970676064,44310
1770224970719126,44100
1770224970762138,44050
1770224970805256,44130
1770224970848184,44020
1770224970891181,44040
1770224970934043,44100
1770224970976849,44040
1770224971020954,44120
1770224971063981,44140
1770224971106869,44170
1770224971150166,44190
1770224971193248,44110
1770224971236234,44010
1770224971279463,44020
1770224971322697,44060
1770224971365648,44100
1770224971408777,44110
1770224971451727,44130
1770224971494889,44200
1770224971541108,44240
1770224971584240,44120
1770224971627378,44190
1770224971670449,44110
1770224971713585,44090
1770224971756501,44110
1770224971799688,44170
1770224971842829,44200
1770224971885758,44190
1770224971928739,44140
1770224971971985,44140
1770224972015164,44140
1770224972061355,44110
1770224972104423,44200
1770224972147343,44170
1770224972190295,44220
1770224972233444,44260
1770224972276445,44170
1770224972319481,44120
1770224972362502,44160
1770224972405099,44100
1770224972448241,44080
1770224972491179,44140
1770224972534252,44230
1770224972577220,44180
1770224972621622,44160
1770224972664768,44140
1770224972707766,44340
1770224972750818,44110
1770224972793770,44070
1770224972836753,44140
1770224972879788,44310
1770224972922618,44120
1770224972965187,44160
1770224973008188,44160
1770224973051367,44130
1770224973094546,44170
1770224973137530,44140
1770224973181918,44140
1770224973225008,44230
1770224973267831,44170
1770224973310783,44180
1770224973353723,44140
1770224973396741,44130
1770224973439941,44120
1770224973483113,44180
1770224973526261,44210
1770224973569257,44220
1770224973612381,44180
1770224973655521,44080
1770224973702202,44090
1770224973745356,44150
1770224973788247,44190
1770224973831420,44200
1770224973874308,44250
1770224973917281,44240
1770224973960317,44240
1770224974003346,44140
1770224974046451,44040
1770224974089404,44050
1770224974132363,44350
1770224974175536,44130
1770224974222422,44190
1770224974265633,44120
1770224974308901,44040
1770224974351935,44120
1770224974395026,44050
1770224974438205,44090
1770224974481133,44190
1770224974524261,44230
1770224974567172,44270
1770224974610112,44210
1770224974653269,44130
1770224974696493,44020
1770224974742721,44350
1770224974785821,44170
1770224974828740,44250
1770224974871637,44190
1770224974914593,44190
1770224974957556,44170
1770224975000562,44080
1770224975043575,44130
1770224975086756,44090
1770224975129632,44100
1770224975172743,44200
1770224975215817,44220
1770224975262984,44080
1770224975306115,44060
1770224975348689,44130
1770224975391826,44160
1770224975434799,44140
1770224975477320,44230
1770224975520266,44260
1770224975563333,44200
1770224975606339,44180
1770224975649509,44190
1770224975692453,44060
1770224975735657,44060
1770224975778735,44150
1770224975823207,44170
1770224975866363,44200
1770224975909359,44160
