unix_timestamp,active_power (mW)
1770293180654423,40440
1770293180697113,40890
1770293180740196,40420
1770293180783063,40350
1770293180826087,40370
1770293180869110,40300
1770293180912397,40400
1770293180955473,40390
1770293180998469,40340
1770293181041583,40390
1770293181086466,40360
1770293181129565,40360
1770293181172698,40430
1770293181215854,40420
1770293181258800,40420
1770293181301703,40340
1770293181344564,40390
1770293181387733,40440
1770293181430980,40580
1770293181474196,40380
1770293181517316,40380
1770293181560253,40380
1770293181606418,40440
1770293181649274,40430
1770293181692393,40440
1770293181735330,40440
1770293181778292,40450
1770293181821435,40380
1770293181864409,40340
1770293181907401,40430
1770293181950413,40360
1770293181993300,40370
1770293182036209,40360
1770293182079346,40360
1770293182122280,40380
1770293182166718,40400
1770293182209760,40400
1770293182252933,40440
1770293182295863,40380
1770293182338956,40280
1770293182381821,40370
1770293182424724,40320
1770293182467821,40270
1770293182510841,40270
1770293182553994,40360
1770293182597149,40350
1770293182640300,40330
1770293182686615,40330
1770293182729355,40350
1770293182772459,40290
1770293182815403,40350
1770293182858488,40320
1770293182900817,40270
1770293182943965,40340
1770293182987046,40290
1770293183029643,40320
1770293183072820,40330
1770293183115766,40320
1770293183158867,40340
1770293183201939,40350
1770293183246634,40370
1770293183289724,40360
1770293183332922,40330
1770293183376089,40480
1770293183418994,40360
1770293183461983,40540
1770293183505102,40470
1770293183548091,40400
1770293183591209,40480
1770293183634420,40370
1770293183677407,40460
1770293183720555,40420
1770293183766722,40430
1770293183809820,40290
1770293183852777,40320
1770293183895886,40480
1770293183939115,40460
1770293183982266,40400
1770293184025330,40460
1770293184068323,40410
1770293184111470,40390
1770293184154452,40440
1770293184197470,40410
1770293184240498,40400
1770293184286590,40380
1770293184329587,40390
1770293184372585,40330
1770293184415730,40370
1770293184459062,40300
1770293184501884,40300
1770293184545097,40300
1770293184588309,40260
1770293184631339,40260
1770293184674298,40300
1770293184717294,40410
1770293184760429,40400
1770293184806698,40450
1770293184849775,40380
1770293184892766,40490
1770293184935843,40490
1770293184978785,40500
1770293185022055,40460
1770293185065176,40420
1770293185108107,40380
1770293185151697,40340
1770293185195346,40380
1770293185238688,40420
1770293185281257,40400
1770293185326736,40480
1770293185369611,40450
1770293185412624,40370
1770293185455757,40380
1770293185498861,40550
1770293185542020,40470
1770293185584843,40410
1770293185628033,40430
1770293185671147,40330
1770293185714139,40460
1770293185757228,40430
1770293185800340,40370
1770293185846631,40400
1770293185889700,40400
1770293185932842,40380
1770293185975958,40390
1770293186019059,40310
1770293186062072,40430
1770293186104579,40340
1770293186147766,40390
1770293186190919,40410
1770293186233953,40460
1770293186277099,40410
1770293186320249,40340
1770293186366817,40340
1770293186409991,40460
1770293186453226,40450
1770293186496419,40400
1770293186539421,40480
1770293186582454,40390
1770293186625510,40380
1770293186668618,40480
1770293186711765,40460
1770293186754723,40440
1770293186797937,40570
1770293186841127,40370
1770293186886940,40430
1770293186929608,40480
1770293186972743,40450
1770293187015813,40340
1770293187058654,40360
1770293187101850,40370
1770293187144850,40420
1770293187187886,40470
1770293187230838,40500
1770293187273841,40480
1770293187316695,40450
1770293187359679,40500
1770293187402956,40430
1770293187446890,40440
1770293187489958,40540
1770293187532959,40610
1770293187575941,40340
1770293187618896,40390
1770293187662061,40390
1770293187705094,40290
1770293187748169,40340
1770293187791261,40350
1770293187833830,40320
1770293187876999,40260
1770293187920027,40350
1770293187966894,40290
1770293188010035,40340
1770293188053264,40440
1770293188096457,40420
1770293188139718,40380
1770293188182855,40360
1770293188226058,40410
1770293188269176,40410
1770293188312339,40420
1770293188355366,40440
1770293188398275,40430
1770293188441230,40410
1770293188487124,40390
1770293188529700,40310
1770293188572732,40400
1770293188615796,40310
1770293188658765,40400
1770293188701895,40390
1770293188744996,40350
1770293188787889,40380
1770293188830860,40430
1770293188873633,40390
1770293188916667,40370
1770293188959790,40360
1770293189002803,40400
1770293189047013,40380
1770293189089844,40360
1770293189133028,40340
1770293189176217,40450
1770293189219323,40480
1770293189262272,40460
1770293189305298,40320
1770293189348375,40430
1770293189391298,40440
1770293189434311,40400
1770293189477281,40350
1770293189520146,40450
1770293189566887,40580
1770293189609999,40450
1770293189652953,40410
1770293189696157,40400
1770293189739373,40320
1770293189782311,40410
1770293189825375,40390
1770293189868313,40430
1770293189911430,40340
1770293189954395,40460
1770293189997555,40370
1770293190040764,40390
1770293190086868,40370
1770293190129606,40420
1770293190172595,40410
1770293190215785,40430
1770293190258897,40340
1770293190301838,40410
1770293190344850,40410
1770293190387867,40340
1770293190430887,40440
1770293190473989,40350
1770293190516599,40460
1770293190560143,40450
1770293190606939,40450
1770293190650138,40420
1770293190693272,40430
1770293190736195,40450
1770293190779347,40390
1770293190822183,40380
1770293190864577,40520
1770293190907497,40430
1770293190950594,40370
1770293190993305,40410
1770293191036466,40400
1770293191079466,40360
1770293191122477,40320
1770293191167013,40490
1770293191210104,40440
1770293191253150,40470
1770293191296202,40470
1770293191339326,40420
1770293191382244,40530
1770293191425347,40390
1770293191468330,40340
1770293191511151,40610
1770293191554307,40400
1770293191597385,40350
1770293191640405,40430
1770293191686966,40470
1770293191729430,40470
1770293191772268,40460
1770293191815441,40360
1770293191858374,40400
1770293191901207,40450
1770293191944289,40290
1770293191987374,40410
1770293192030454,40410
1770293192073457,40370
1770293192116330,40430
1770293192159552,40360
1770293192202733,40320
1770293192246813,40380
1770293192289905,40320
1770293192332807,40320
1770293192375785,40420
1770293192418913,40340
1770293192461975,40350
1770293192504804,40420
1770293192547773,40400
1770293192590750,40430
1770293192633743,41300
1770293192676799,40770
1770293192719990,40460
1770293192766871,40460
1770293192810041,40380
1770293192853120,40440
1770293192896319,40440
1770293192939252,40460
1770293192982038,40480
1770293193025138,40370
1770293193068122,40440
1770293193111145,40410
1770293193154104,40440
1770293193197053,40390
1770293193240074,40440
1770293193286742,40420
1770293193330001,40440
1770293193372668,40610
1770293193415803,40400
1770293193458885,40400
1770293193501962,40390
1770293193544912,40320
1770293193588153,40390
1770293193631304,40390
1770293193674313,40410
1770293193717013,40510
1770293193760070,40390
1770293193806722,40380
1770293193849742,40390
1770293193892747,40410
1770293193935099,40350
1770293193978285,40450
1770293194021267,40420
1770293194064404,40440
1770293194107319,40440
1770293194150180,40440
1770293194193380,40620
1770293194236376,40440
1770293194279339,40490
1770293194322365,40410
1770293194366709,40450
1770293194409773,40360
1770293194452894,40460
1770293194495796,40480
1770293194538964,40440
1770293194582033,40490
1770293194625069,40460
1770293194668085,40420
1770293194711140,40460
1770293194754321,40450
1770293194797266,40400
1770293194840407,40400
1770293194886725,40430
1770293194929407,40440
1770293194972300,40500
1770293195015376,40370
1770293195058310,40390
1770293195101437,40440
1770293195144337,40490
1770293195187262,40360
1770293195230465,40530
1770293195273565,40300
1770293195316981,40400
1770293195360028,40460
1770293195406577,40520
1770293195449646,40360
1770293195492611,40560
1770293195535766,40350
1770293195578933,40410
1770293195622153,40430
1770293195665334,40450
1770293195708469,40370
1770293195751546,40600
1770293195794640,40440
1770293195837736,40460
1770293195880661,40430
1770293195926572,40420
1770293195969554,40440
1770293196012737,40450
1770293196055779,40430
1770293196098881,40460
1770293196142068,40380
1770293196185199,40460
1770293196228333,40430
1770293196271439,40390
1770293196314562,40390
1770293196357731,40430
1770293196400849,40450
1770293196446418,40400
1770293196489563,40360
1770293196532755,40450
1770293196575872,40420
1770293196618904,40390
1770293196661992,40490
1770293196705201,40470
1770293196748448,40390
1770293196791328,40410
1770293196834332,40390
1770293196877277,40460
1770293196920517,40410
1770293196966344,40480
1770293197009417,40400
1770293197052569,40410
1770293197095610,40490
1770293197138665,40470
1770293197181835,40390
1770293197225021,40440
1770293197268070,40480
1770293197311257,40420
1770293197354390,40460
1770293197397325,40450
1770293197440346,40550
1770293197486271,40440
1770293197529425,40480
1770293197572603,40410
1770293197615842,40360
1770293197659010,40450
1770293197702229,40510
1770293197745393,40510
1770293197788566,41200
1770293197831596,40330
1770293197874342,40390
1770293197917394,40470
1770293197960354,40270
1770293198006194,40350
1770293198049254,40400
1770293198092487,40430
1770293198135692,40360
1770293198178908,40410
1770293198222049,40420
1770293198264943,40420
1770293198308033,40400
1770293198351123,40420
1770293198394218,40430
1770293198437429,40400
1770293198480300,40410
1770293198526093,40420
1770293198569206,40390
1770293198612348,40520
1770293198655386,40380
1770293198698348,40470
1770293198741301,40350
1770293198784199,40370
1770293198827345,40460
1770293198870331,40410
1770293198912751,40400
1770293198955841,40460
1770293198998848,40430
1770293199042010,40440
1770293199085990,40350
1770293199129110,40390
