unix_timestamp,active_power (mW)
1770294546101970,41990
1770294546144204,39320
1770294546187421,41610
1770294546230496,41970
1770294546273527,42000
1770294546316588,42020
1770294546359656,41970
1770294546402676,41850
1770294546445651,42000
1770294546488587,41960
1770294546535051,41940
1770294546577819,41920
1770294546620791,41880
1770294546663912,41960
1770294546707033,42000
1770294546750180,41930
1770294546793346,41930
1770294546836470,41970
1770294546879367,41910
1770294546922208,41970
1770294546964622,41940
1770294547007992,42020
1770294547054686,41820
1770294547097466,41920
1770294547140617,41920
1770294547183485,42020
1770294547226550,42020
1770294547269570,41940
1770294547312613,41980
1770294547355732,41940
1770294547398678,41960
1770294547441682,42290
1770294547484738,41930
1770294547527823,42050
1770294547574315,41890
1770294547617419,42000
1770294547660474,41990
1770294547703566,41950
1770294547746550,41930
1770294547789374,41930
1770294547832277,42030
1770294547875460,42050
1770294547918554,41920
1770294547961495,41950
1770294548004561,41990
1770294548047595,41890
1770294548093963,41970
1770294548137105,41940
1770294548180227,41990
1770294548223184,41870
1770294548266247,41960
1770294548309205,41920
1770294548352253,42010
1770294548395403,41960
1770294548438283,41930
1770294548481480,41950
1770294548524593,42060
1770294548567584,41970
1770294548613725,42030
1770294548656765,42090
1770294548699693,42110
1770294548742742,42050
1770294548785699,42030
1770294548828502,41990
1770294548871639,42000
1770294548914598,42020
1770294548957643,42070
1770294549000605,42060
1770294549043712,42030
1770294549086576,41980
1770294549133547,42030
1770294549176610,41980
1770294549219706,41990
1770294549262825,41990
1770294549305864,41980
1770294549348924,42060
1770294549392117,41960
1770294549435005,42070
1770294549478100,42170
1770294549521300,42140
1770294549564486,42070
1770294549607722,41910
1770294549653137,41910
1770294549696202,42030
1770294549739373,41990
1770294549782462,41970
1770294549825651,41900
1770294549868583,42020
1770294549910878,41970
1770294549953871,41940
1770294549996959,41940
1770294550040017,41970
1770294550083064,41930
1770294550126222,41920
1770294550172740,41940
1770294550215812,41900
1770294550259046,41950
1770294550302138,41860
1770294550345056,41860
1770294550388102,41920
1770294550430999,41960
1770294550474190,41980
1770294550517213,41930
1770294550560548,41960
1770294550603616,42020
1770294550646626,41960
1770294550692485,41970
1770294550735572,42030
1770294550778345,41970
1770294550821163,42070
1770294550864179,42020
1770294550907350,42010
1770294550950346,41990
1770294550992632,41940
1770294551035789,41990
1770294551078860,42010
1770294551121334,41980
1770294551164576,41960
1770294551207581,41960
1770294551252027,41920
1770294551295202,41930
1770294551338305,41970
1770294551381421,42070
1770294551424402,41880
1770294551467572,41920
1770294551510435,42080
1770294551553608,42150
1770294551596451,42060
1770294551639451,42030
1770294551682461,42020
1770294551725331,41980
1770294551771879,41970
1770294551814972,41950
1770294551858023,41960
1770294551901025,42020
1770294551944066,42000
1770294551987034,42000
1770294552030170,42020
1770294552073277,42030
1770294552116252,41900
1770294552159371,42010
1770294552202358,41990
1770294552244635,41960
1770294552291402,41910
1770294552334372,41950
1770294552377437,41910
1770294552420966,41990
1770294552464224,41930
1770294552507264,41910
1770294552550102,41970
1770294552592586,41900
1770294552635703,41950
1770294552678618,41910
1770294552721239,41950
1770294552764272,41930
1770294552811550,42000
1770294552854635,42050
1770294552897725,41950
1770294552940768,42050
1770294552983793,42020
1770294553026807,41920
1770294553069784,42000
1770294553112795,42020
1770294553155909,42030
1770294553198823,42040
1770294553241959,41990
1770294553285066,41930
1770294553331271,41950
1770294553374348,42090
1770294553417324,41960
1770294553460431,41950
1770294553503360,42050
1770294553546402,41960
1770294553589477,42130
1770294553632415,42020
1770294553675757,41960
1770294553718845,42000
1770294553762067,41950
1770294553805219,41980
1770294553850667,41940
1770294553893665,41900
1770294553936656,41930
1770294553979750,41900
1770294554023033,41890
1770294554066242,41970
1770294554108663,41930
1770294554152159,41920
1770294554195133,42020
1770294554238211,42040
1770294554281422,41980
1770294554324335,41970
1770294554370404,42040
1770294554414000,41990
1770294554456617,42000
1770294554499555,42010
1770294554542556,41940
1770294554585600,41990
1770294554628741,41990
1770294554671678,42030
1770294554714553,42000
1770294554757757,41950
1770294554800900,42070
1770294554844065,42050
1770294554890272,41960
1770294554933339,42000
1770294554976626,42040
1770294555019650,42020
1770294555062788,41980
1770294555105730,42000
1770294555148910,41980
1770294555192122,42010
1770294555235285,41990
1770294555278343,42000
1770294555321277,41950
1770294555364428,41960
1770294555409930,42080
1770294555453075,41970
1770294555496106,42110
1770294555539342,41900
1770294555582524,41990
1770294555625468,42090
1770294555668566,41990
1770294555711710,41910
1770294555754621,41990
1770294555797852,41990
1770294555840670,42010
1770294555883683,42040
1770294555929665,42020
1770294555972788,42000
1770294556015629,42030
1770294556058570,42080
1770294556101613,42020
1770294556144614,41940
1770294556187510,42030
1770294556230409,42070
1770294556273345,41990
1770294556316470,42020
1770294556359320,42070
1770294556401887,42010
1770294556444982,42040
1770294556489326,42010
1770294556532661,41980
1770294556575686,42010
1770294556618764,41970
1770294556661644,42020
1770294556704637,41970
1770294556747632,41990
1770294556790819,42000
1770294556833688,41980
1770294556876484,42040
1770294556919645,41990
1770294556962636,41990
1770294557008943,41940
1770294557051973,41950
1770294557094972,41970
1770294557138080,41860
1770294557181191,42010
1770294557224150,41960
1770294557267249,41880
1770294557310405,41940
1770294557353306,41960
1770294557396260,41970
1770294557439414,42100
1770294557482469,42030
1770294557528729,41970
1770294557571626,42010
1770294557614675,42010
1770294557657880,42240
1770294557700793,41970
1770294557743884,41990
1770294557786948,42000
1770294557829985,42050
1770294557873267,42090
1770294557916357,42010
1770294557959493,42030
1770294558002593,42050
1770294558048580,41990
1770294558091726,42010
1770294558134630,42070
1770294558177685,41960
1770294558220686,42020
1770294558263705,42040
1770294558306620,42040
1770294558349595,41920
1770294558392664,42040
1770294558435796,41960
1770294558478772,42020
1770294558521891,42030
1770294558568377,41970
1770294558611419,42020
1770294558654652,41920
1770294558697763,42000
1770294558740751,42040
1770294558783745,42020
