unix_timestamp,active_power (mW)
1770294952241874,43820
1770294952284448,31890
1770294952327432,44100
1770294952370469,44330
1770294952413556,44250
1770294952456542,44290
1770294952499641,44270
1770294952542701,44350
1770294952585706,44210
1770294952628818,44220
1770294952672041,44300
1770294952714815,44210
1770294952759983,44200
1770294952802821,44750
1770294952845748,44290
1770294952888955,44280
1770294952932037,45250
1770294952974822,43940
1770294953018115,44200
1770294953061235,44250
1770294953104310,44160
1770294953147370,44130
1770294953190402,44170
1770294953232761,44220
1770294953279325,44250
1770294953322387,44170
1770294953365437,44290
1770294953408643,44180
1770294953451596,44230
1770294953494698,44110
1770294953537837,44190
1770294953580929,44120
1770294953623849,44180
1770294953666863,44110
1770294953709822,44180
1770294953752955,44190
1770294953798791,44180
1770294953841785,44160
1770294953884718,44420
1770294953927791,44120
1770294953971012,44210
1770294954014135,44190
1770294954057142,44220
1770294954100237,44160
1770294954143083,44200
1770294954186114,44160
1770294954229077,44300
1770294954272187,44300
1770294954318315,44190
1770294954361395,44240
1770294954404555,44300
1770294954447597,44180
1770294954490659,44300
1770294954533610,44230
1770294954576719,44300
1770294954619716,44260
1770294954662762,44170
1770294954705814,44280
1770294954748932,44230
1770294954791982,44200
1770294954837833,44190
1770294954880848,44230
1770294954924071,44260
1770294954967159,44250
1770294955010149,44210
1770294955053211,44150
1770294955096212,44140
1770294955139098,44140
1770294955182107,44160
1770294955225147,44110
1770294955268256,44150
1770294955311163,44090
1770294955357221,44180
1770294955400387,44120
1770294955443506,44220
1770294955486161,44180
1770294955529141,44260
1770294955572287,44220
1770294955615270,44140
1770294955658265,44220
1770294955701098,44150
1770294955743980,44190
1770294955787171,44200
1770294955830150,44170
1770294955876922,44180
1770294955920052,44270
1770294955963042,44300
1770294956006032,44260
1770294956049029,44220
1770294956092056,44260
1770294956135079,44260
1770294956178004,44250
1770294956221035,44200
1770294956264255,44210
1770294956307122,44260
1770294956350027,44240
1770294956396456,44150
1770294956439447,44150
1770294956482594,44240
1770294956525693,44140
1770294956568806,44210
1770294956611808,44120
1770294956654860,44110
1770294956697948,44080
1770294956740931,44160
1770294956783595,44210
1770294956826749,44320
1770294956869941,44180
1770294956915736,44200
1770294956958780,44140
1770294957002066,44140
1770294957045238,44290
1770294957088387,44220
1770294957131477,44200
1770294957174427,44170
1770294957217524,44210
1770294957260540,44270
1770294957303618,44270
1770294957346689,44180
1770294957389728,44190
1770294957435305,44250
1770294957478368,44230
1770294957521234,44170
1770294957564158,44190
1770294957607193,44260
1770294957649427,44250
1770294957692446,44230
1770294957735493,44200
1770294957778551,44230
1770294957821577,44240
1770294957864799,44080
1770294957907954,44240
1770294957954783,44280
1770294957997878,44250
1770294958040647,44160
1770294958083748,44210
1770294958126778,44200
1770294958169776,44160
1770294958212676,44240
1770294958255717,44220
1770294958298595,44130
1770294958341763,44140
1770294958384524,44190
1770294958427554,44100
1770294958474348,44100
1770294958517347,44140
1770294958560508,44240
1770294958603723,44190
1770294958646834,44160
1770294958690024,44130
1770294958732894,44170
1770294958775980,44280
1770294958818988,44240
1770294958862079,44230
1770294958905160,44230
1770294958948077,44270
1770294958993745,44130
1770294959036810,44160
1770294959080027,44460
1770294959123061,44300
1770294959166052,44260
1770294959209273,44210
1770294959252410,44190
1770294959295675,44260
1770294959338845,44250
1770294959382010,44260
1770294959425198,44300
1770294959468382,44270
1770294959513384,44290
1770294959556504,44270
1770294959599519,44250
1770294959642717,44250
1770294959685944,44290
1770294959729103,44160
1770294959772161,44190
1770294959815149,44110
1770294959857859,44170
1770294959900999,44220
1770294959944161,44110
1770294959987344,44180
1770294960032885,44110
1770294960076167,44180
1770294960119125,44240
1770294960162074,44170
1770294960204984,44060
1770294960248108,44160
1770294960291313,44230
1770294960334446,44160
1770294960377589,44070
1770294960420582,44120
1770294960463628,44180
1770294960506792,44170
1770294960552243,44100
1770294960595302,44120
1770294960638484,44220
1770294960681415,44140
1770294960724603,44160
1770294960767675,44200
1770294960810826,44240
1770294960853828,44210
1770294960896995,44210
1770294960940065,44170
1770294960982835,44180
1770294961025958,44220
1770294961071941,44220
1770294961115039,44490
1770294961157744,44250
1770294961200665,44290
1770294961243744,44310
1770294961286887,44070
1770294961330037,44150
1770294961373031,44230
1770294961416098,44280
1770294961458878,44250
1770294961502042,44120
1770294961545060,44220
1770294961591268,44130
1770294961634448,44070
1770294961677579,44130
1770294961720746,44180
1770294961763940,44120
1770294961807134,44140
1770294961850289,44100
1770294961893311,44170
1770294961936510,44130
1770294961979501,44120
1770294962022608,44170
1770294962065772,44090
1770294962110841,44230
1770294962153876,44140
1770294962197068,44160
1770294962240025,44200
1770294962283011,44290
1770294962325926,44190
1770294962369083,44120
1770294962411988,44200
1770294962455026,44250
1770294962498059,44260
1770294962541035,44200
1770294962584090,44220
1770294962630506,44280
1770294962673163,44250
1770294962716269,44250
1770294962759554,44280
1770294962802710,44200
1770294962845798,44180
1770294962888994,44170
1770294962932143,44200
1770294962975052,44250
1770294963018043,44260
1770294963060572,44170
1770294963103757,44140
1770294963149847,44340
1770294963192937,44220
1770294963236041,44220
1770294963278893,44210
1770294963322003,44190
1770294963364925,44080
1770294963408081,44140
1770294963451120,44280
1770294963494018,44110
1770294963537179,44330
1770294963580325,44200
1770294963623556,44060
1770294963669225,44180
1770294963712288,44160
1770294963755396,44090
1770294963798560,44170
1770294963841853,44200
1770294963885003,44150
1770294963928134,44060
1770294963971399,44130
1770294964014562,44190
1770294964057305,44290
1770294964100477,44150
1770294964143602,44090
1770294964188713,44220
1770294964231774,44170
1770294964274667,44140
1770294964317872,44170
1770294964360945,44260
1770294964404087,44200
1770294964447109,44150
1770294964490124,44190
1770294964533385,44230
1770294964576894,44280
1770294964620033,44230
1770294964662840,44200
1770294964708295,44290
1770294964751286,44300
1770294964794286,44220
1770294964837409,44250
1770294964880504,44160
1770294964923703,44160
1770294964966430,44210
1770294965008891,44230
1770294965052392,44230
1770294965095545,44140
1770294965138858,44190
1770294965181915,44150
1770294965227746,44240
1770294965270651,44080
1770294965313751,44170
1770294965356983,44140
1770294965400196,44130
1770294965443458,44200
1770294965486461,44080
