unix_timestamp,active_power (mW)
1770297097833188,43540
1770297097876081,40720
1770297097922054,43300
1770297097964765,43490
1770297098007694,43480
1770297098050649,43440
1770297098093531,43350
1770297098136680,43360
1770297098179623,43410
1770297098222724,43410
1770297098265763,43400
1770297098308869,43440
1770297098352027,43390
1770297098395002,43370
1770297098437845,43420
1770297098482382,43450
1770297098525529,43390
1770297098568751,43370
1770297098611780,43320
1770297098654873,43390
1770297098697839,43520
1770297098740797,43440
1770297098783903,43410
1770297098827046,43350
1770297098870165,43420
1770297098912695,43430
1770297098955741,43390
1770297099002828,43430
1770297099045807,43390
1770297099088798,43440
1770297099131741,43430
1770297099174698,43460
1770297099217828,43430
1770297099260847,43410
1770297099303975,43400
1770297099346925,43380
1770297099389987,43300
1770297099432963,43410
1770297099475947,43560
1770297099522986,43560
1770297099565947,43350
1770297099608851,43360
1770297099651741,43410
1770297099695058,43370
1770297099738150,43410
1770297099781266,43450
1770297099824260,43430
1770297099867440,43490
1770297099910643,43360
1770297099953617,43370
1770297099996745,43360
1770297100043380,43470
1770297100086607,43470
1770297100129662,43420
1770297100172590,43380
1770297100215572,43430
1770297100258479,43350
1770297100301341,43340
1770297100344518,43420
1770297100387742,43420
1770297100430737,43400
1770297100473822,43500
1770297100516848,43370
1770297100563692,43400
1770297100606604,43430
1770297100649785,43530
1770297100692737,43360
1770297100735824,43460
1770297100778799,43430
1770297100821683,43420
1770297100864864,43440
1770297100907882,43410
1770297100951002,43340
1770297100993857,43380
1770297101036856,43360
1770297101079851,43420
1770297101124035,43390
1770297101167204,43410
1770297101210167,43360
1770297101253092,43440
1770297101296163,43360
1770297101339087,43330
1770297101381982,43460
1770297101425189,43380
1770297101468209,43570
1770297101511091,43380
1770297101553945,43410
1770297101596900,43340
1770297101640006,43350
1770297101684479,43490
1770297101727600,43410
1770297101770573,43340
1770297101813692,43450
1770297101856635,43420
1770297101899788,43350
1770297101942656,43330
1770297101985582,43350
1770297102028789,43400
1770297102071766,43460
1770297102114837,43440
1770297102157729,43410
1770297102204747,43380
1770297102247955,43400
1770297102290900,43420
1770297102333980,43420
1770297102376911,43410
1770297102419988,43410
1770297102462986,43390
1770297102505827,43320
1770297102548775,43370
1770297102591800,43420
1770297102634825,43430
1770297102677723,43390
1770297102720628,43360
1770297102765062,43440
1770297102808218,43400
1770297102851206,43490
1770297102894195,43460
1770297102936750,43500
1770297102979732,43400
1770297103022699,43350
1770297103065838,43370
1770297103108672,43390
1770297103151702,43430
1770297103194787,43460
1770297103237775,43490
1770297103280945,43360
1770297103325359,43460
1770297103368548,43420
1770297103411555,43540
1770297103454598,43410
1770297103497592,43430
1770297103540759,43500
1770297103583765,43450
1770297103626722,43350
1770297103669440,43400
1770297103712428,43470
1770297103755555,43460
1770297103798659,43440
1770297103841762,43460
1770297103885709,43390
1770297103928804,43360
1770297103971901,43350
1770297104014917,43440
1770297104057810,43400
1770297104100742,43360
1770297104143753,43340
1770297104186796,43400
1770297104229799,43410
1770297104272949,43450
1770297104315850,43410
1770297104358732,43350
1770297104401974,43470
1770297104445971,43430
1770297104488975,43360
1770297104532079,43430
1770297104574929,43320
1770297104618025,43370
1770297104660690,43380
1770297104703624,43350
1770297104746674,43410
1770297104789737,43380
1770297104832864,43550
1770297104875974,43370
1770297104919038,43460
1770297104962045,43370
1770297105006340,43390
1770297105049390,43450
1770297105092501,43410
1770297105135584,43420
1770297105178774,43360
1770297105221745,43400
1770297105264874,43410
1770297105307788,43350
1770297105350707,43400
1770297105393671,43410
1770297105436602,43590
1770297105479710,43410
1770297105526510,43370
1770297105569486,43410
1770297105612645,43300
1770297105655647,43500
1770297105698763,43410
1770297105741708,43340
1770297105784862,43360
1770297105827986,43370
1770297105870976,43380
1770297105913810,43380
1770297105956710,43440
1770297105999944,43410
1770297106046828,43440
1770297106089867,43410
1770297106132979,43490
1770297106176063,43340
1770297106218991,43400
1770297106261913,43430
1770297106305054,43360
1770297106348016,43420
1770297106390977,43410
1770297106434063,43380
1770297106476956,43400
1770297106519913,43390
1770297106563103,43400
1770297106607066,43340
1770297106649975,43410
1770297106692932,43390
1770297106735999,43380
1770297106778935,43430
1770297106821857,43530
1770297106864588,43500
1770297106907670,43490
1770297106950768,43540
1770297106993731,43340
1770297107036909,43390
1770297107080066,43420
1770297107123058,43380
1770297107167408,43490
