unix_timestamp,active_power (mW)
1770298501281623,41800
1770298501324324,33730
1770298501367415,43190
1770298501410433,43980
1770298501453445,43940
1770298501496356,43890
1770298501539517,43860
1770298501582511,44020
1770298501625635,43810
1770298501668917,43900
1770298501712107,43770
1770298501754736,43850
1770298501800482,43810
1770298501843634,43790
1770298501886635,43780
1770298501929569,43780
1770298501972533,43780
1770298502015729,43710
1770298502058959,43830
1770298502102091,43820
1770298502145081,43690
1770298502188191,43800
1770298502231223,43740
1770298502274380,43850
1770298502320490,43800
1770298502363535,43790
1770298502406509,43750
1770298502449681,43830
1770298502492866,43820
1770298502536046,43810
1770298502579043,43760
1770298502622280,43690
1770298502665453,43660
1770298502708326,43640
1770298502751411,43770
1770298502794338,43780
1770298502840709,43810
1770298502883759,43850
1770298502926669,43740
1770298502969853,43730
1770298503012760,43710
1770298503055950,43740
1770298503098928,43630
1770298503142114,43690
1770298503185043,43600
1770298503228077,43690
1770298503271210,43710
1770298503314009,43650
1770298503360811,43770
1770298503403716,43780
1770298503446839,43840
1770298503489761,43750
1770298503532833,43740
1770298503575938,43790
1770298503618815,44690
1770298503662042,44160
1770298503705171,43760
1770298503748377,43730
1770298503791325,43800
1770298503834084,43860
1770298503881008,43800
1770298503924217,43800
1770298503967433,43740
1770298504010363,43760
1770298504053460,43760
1770298504096486,43670
1770298504139554,43700
1770298504182559,43670
1770298504225461,43750
1770298504268558,43720
1770298504311485,43700
1770298504354614,43720
1770298504401246,43830
1770298504444326,43790
1770298504487301,43760
1770298504530091,43740
1770298504573212,43680
1770298504616209,43690
1770298504659192,43730
1770298504702226,43660
1770298504745240,43690
1770298504788353,43740
1770298504831310,43690
1770298504874415,43770
1770298504916992,43720
1770298504961315,43730
1770298505004501,43710
1770298505047424,43720
1770298505090357,43680
1770298505133489,43790
1770298505176348,43730
1770298505219327,43670
1770298505262293,43650
1770298505305292,43720
1770298505348326,43670
1770298505391460,43810
1770298505434260,43950
1770298505477135,43700
1770298505521575,43750
1770298505564590,43750
1770298505607650,43580
1770298505650800,43620
1770298505693833,43660
1770298505736911,43600
1770298505779872,43520
1770298505822911,43580
1770298505865995,43620
1770298505909134,43590
1770298505952312,43670
1770298505995278,43570
1770298506041834,43550
1770298506084979,43520
1770298506127893,43580
1770298506171002,43560
1770298506213958,43530
1770298506256963,43630
1770298506300012,43620
1770298506343264,43630
1770298506385945,43640
1770298506428986,43610
1770298506472159,43590
1770298506515104,43530
1770298506561984,43520
1770298506604709,43600
1770298506647638,43570
1770298506690809,43500
1770298506733912,43620
1770298506776898,43590
1770298506819870,43710
1770298506862994,43650
1770298506905665,43640
1770298506948881,43650
1770298506992039,43660
1770298507035036,43550
1770298507082132,43460
1770298507125325,43530
1770298507168497,43460
1770298507211429,43460
1770298507254492,43530
1770298507297416,43510
1770298507340520,43370
1770298507383513,43550
1770298507426467,43480
1770298507469589,43670
1770298507512542,43580
1770298507555587,43650
1770298507602272,43520
1770298507645376,43500
1770298507688177,43510
1770298507731054,44140
1770298507774232,43650
1770298507817247,43570
1770298507860282,43470
1770298507903326,43530
1770298507946356,43420
1770298507989345,43420
1770298508032634,43450
1770298508075686,43470
1770298508122348,43570
1770298508165504,43550
1770298508208464,43630
1770298508251556,43560
1770298508294576,43490
1770298508337425,43490
1770298508380579,43500
1770298508423611,43410
1770298508466582,43480
1770298508509569,43510
1770298508552473,43510
1770298508595333,43570
1770298508638298,43570
1770298508682596,43550
1770298508725734,43610
1770298508768678,43580
1770298508811857,43540
1770298508854820,43570
1770298508897870,43570
1770298508940952,43500
1770298508984022,43530
1770298509026943,43500
1770298509069996,43490
1770298509112636,43560
1770298509155779,43510
1770298509202695,43590
1770298509245828,43630
1770298509288800,43620
1770298509331961,43590
1770298509374908,43630
1770298509418049,43580
1770298509460591,43720
1770298509503690,43650
1770298509546620,43560
1770298509589581,43520
1770298509632644,43580
1770298509675931,43590
1770298509722829,43510
1770298509765801,43830
1770298509808697,43480
1770298509851828,43530
1770298509894855,43590
1770298509937452,43550
1770298509980439,43580
1770298510023320,43570
1770298510066353,43560
1770298510109534,43520
1770298510152491,43570
1770298510195593,43380
1770298510238718,43460
1770298510282819,43400
1770298510325662,43480
1770298510368637,43540
1770298510411822,43610
1770298510454740,43570
1770298510497448,43670
1770298510540316,43560
1770298510583305,43550
1770298510626148,43500
1770298510669368,43530
1770298510712349,43600
1770298510755458,43620
1770298510798528,43460
1770298510843129,43460
1770298510886179,43480
1770298510928651,43430
1770298510971916,43530
1770298511015039,43440
1770298511058018,43470
1770298511101094,43470
1770298511144094,43410
1770298511187141,43390
1770298511230121,43480
1770298511273412,43440
1770298511316320,43400
1770298511363078,43430
1770298511406176,43490
1770298511449363,43570
1770298511492435,43430
1770298511535580,43410
1770298511578665,43460
1770298511621817,43410
1770298511664972,43370
1770298511707838,43500
1770298511751152,43420
1770298511794277,43490
1770298511837301,43520
1770298511883079,43510
1770298511925812,43550
1770298511968715,43510
1770298512011919,43520
1770298512054865,43610
1770298512097697,43650
1770298512140891,43550
1770298512184055,43490
1770298512227042,43460
1770298512270153,43580
1770298512312439,43480
1770298512355505,43480
1770298512398438,43650
1770298512443144,43510
1770298512486358,43490
1770298512528817,43540
1770298512571877,43560
1770298512614859,43530
1770298512657947,43520
1770298512700881,43560
1770298512743828,43560
1770298512786957,43570
1770298512830143,43510
1770298512873065,44210
1770298512916241,44030
1770298512963202,43640
1770298513006297,43630
1770298513049484,43570
1770298513092481,43610
1770298513135596,43610
1770298513178743,43630
1770298513221903,43580
1770298513265106,43630
