unix_timestamp,active_power (mW)
1770299554948779,43320
1770299554991265,36170
1770299555034206,39020
1770299555077100,43780
1770299555119999,43410
1770299555163159,43450
1770299555209668,43400
1770299555252773,43490
1770299555295709,43480
1770299555338805,43380
1770299555381431,43370
1770299555424418,43390
1770299555467411,43420
1770299555510576,43450
1770299555553757,43380
1770299555596844,43460
1770299555639842,43360
1770299555682703,43380
1770299555729556,43350
1770299555772620,43290
1770299555815852,43350
1770299555858920,43350
1770299555901992,43320
1770299555945108,43310
1770299555988036,43330
1770299556030962,43280
1770299556074117,43310
1770299556117069,43380
1770299556160191,43380
1770299556203394,43340
1770299556249505,43360
1770299556292634,43450
1770299556335869,43440
1770299556379094,43460
1770299556422295,43440
1770299556465280,43390
1770299556508435,43360
1770299556551537,43440
1770299556594517,43410
1770299556637567,43290
1770299556680471,43330
1770299556723380,43450
1770299556769491,43350
1770299556812668,43420
1770299556855861,43530
1770299556898993,43280
1770299556942010,43430
1770299556984701,43270
1770299557027906,43370
1770299557070858,43310
1770299557114017,43360
1770299557157175,43340
1770299557200404,43340
1770299557243339,43330
1770299557289366,43320
1770299557332539,43330
1770299557375505,43370
1770299557418493,43290
1770299557461581,43490
1770299557504564,43350
1770299557547526,43350
1770299557590622,43390
1770299557633582,43410
1770299557676558,43360
1770299557719712,43410
1770299557762823,43400
1770299557809390,43470
1770299557852352,43430
1770299557895286,43430
1770299557937914,43370
1770299557981086,43440
1770299558023986,43390
1770299558066991,43440
1770299558109998,43410
1770299558153114,43400
1770299558196353,43400
1770299558239294,43380
1770299558282452,43370
1770299558329299,43440
1770299558372439,43480
1770299558415321,43410
1770299558458436,43340
1770299558501301,43310
1770299558544547,43300
1770299558587477,43310
1770299558630563,43340
1770299558673554,43350
1770299558716648,43310
1770299558759580,43340
1770299558802739,43330
1770299558849288,43430
1770299558892441,43380
1770299558935467,43350
1770299558978447,43310
1770299559021489,43370
1770299559064431,43310
1770299559107253,43310
1770299559150290,43330
1770299559193327,43500
1770299559236352,43320
1770299559279394,43350
1770299559322345,43380
1770299559369219,43390
1770299559412326,43370
1770299559455256,43520
1770299559498338,43380
1770299559540594,43430
1770299559583723,43460
1770299559626876,43420
1770299559669808,43410
1770299559712751,43360
1770299559755901,43390
1770299559798850,43460
1770299559841929,43420
1770299559884982,43350
1770299559929279,43380
1770299559972312,43360
1770299560015526,43340
1770299560058069,43380
1770299560101201,43430
1770299560144463,43380
1770299560187634,43280
1770299560230882,43390
1770299560273978,43310
1770299560316999,43360
1770299560360185,43390
1770299560403084,43370
1770299560449124,43370
1770299560492355,43320
1770299560535445,43290
1770299560578322,43260
1770299560621455,43290
1770299560664523,43270
1770299560707568,43380
1770299560750741,43300
1770299560793964,43330
1770299560837229,43370
1770299560880315,43380
1770299560923185,43370
1770299560969004,43340
1770299561012144,43350
1770299561055430,43350
1770299561098559,43420
1770299561141535,43390
1770299561184630,43440
1770299561227877,43410
1770299561271012,43420
1770299561314020,43360
1770299561357117,43360
1770299561400107,43490
1770299561443231,43550
1770299561489086,43460
1770299561532161,43480
1770299561575265,43390
1770299561618309,43390
1770299561661450,43410
1770299561704603,43390
1770299561747668,43350
1770299561790873,43370
1770299561833957,43300
1770299561877085,43350
1770299561920053,43320
1770299561963216,43320
1770299562009007,43330
1770299562052159,43350
1770299562095423,43230
1770299562138457,43310
1770299562181355,43340
1770299562224253,43330
1770299562267346,43370
1770299562310302,43340
1770299562353537,43350
1770299562396505,43250
1770299562439666,43270
1770299562482736,44080
1770299562529025,43420
1770299562572108,43430
1770299562615339,43390
1770299562658477,43390
1770299562701427,43410
1770299562744584,43470
1770299562787474,43410
1770299562830262,43420
1770299562873283,43470
1770299562916396,43490
1770299562959292,43430
1770299563002451,43510
1770299563048989,43480
1770299563091998,43460
1770299563135014,43470
1770299563178150,43450
