unix_timestamp,active_power (mW)
1769765779031359,40920
1769765779073547,40460
1769765779116609,40600
1769765779159625,40450
1769765779206199,40500
1769765779248888,40590
1769765779292023,40420
1769765779334968,40400
1769765779377921,40480
1769765779421087,40370
1769765779464077,40390
1769765779506618,40400
1769765779549754,40360
1769765779592159,40390
1769765779635259,40330
1769765779678626,40430
1769765779721740,40430
1769765779765903,40380
1769765779808931,40410
1769765779851882,40430
1769765779894935,40450
1769765779938057,40410
1769765779981138,40330
1769765780024247,40360
1769765780067033,40270
1769765780110155,40260
1769765780153327,40330
1769765780195886,40290
1769765780239050,40260
1769765780285610,40270
1769765780328737,40330
1769765780371754,40290
1769765780414718,40400
1769765780457802,40240
1769765780500845,40290
1769765780544016,40340
1769765780586691,40350
1769765780629651,40370
1769765780672774,40360
1769765780715656,40380
1769765780758444,40420
1769765780801320,40390
1769765780845226,40270
1769765780888058,40350
1769765780931011,40310
1769765780974032,40310
1769765781017206,40270
1769765781060408,40440
1769765781103385,40220
1769765781146500,40330
1769765781189647,40270
1769765781232849,40470
1769765781276053,40290
1769765781319082,40280
1769765781365011,40370
1769765781407752,40320
1769765781450867,40350
1769765781493845,40300
1769765781537019,40440
1769765781579965,40340
1769765781622601,40340
1769765781665549,40320
1769765781708669,40330
1769765781751090,40270
1769765781793577,40310
1769765781836557,40310
1769765781879595,40290
1769765781924781,40330
1769765781967730,40470
1769765782010660,40410
1769765782053893,40380
1769765782097117,40370
1769765782140122,40300
1769765782183067,40260
1769765782225756,40330
1769765782268725,40250
1769765782311637,40320
1769765782354738,40310
1769765782397682,40360
1769765782444383,40360
1769765782487120,40340
1769765782529771,40440
1769765782572507,40430
1769765782615354,40450
1769765782658600,40430
1769765782701696,40420
1769765782744954,40350
1769765782787844,40370
1769765782830609,40390
1769765782873159,40380
1769765782916254,40430
1769765782959446,40410
1769765783004081,40450
1769765783047038,40600
1769765783090094,40360
1769765783133089,40570
1769765783175477,40410
1769765783217989,40340
1769765783261142,40330
1769765783304158,40330
1769765783346846,40360
1769765783389760,40370
1769765783432427,40370
1769765783475077,40430
1769765783517890,40360
1769765783564060,40490
1769765783607054,40370
1769765783649956,40370
1769765783692886,40370
1769765783735629,40340
1769765783778493,40340
1769765783821639,40360
1769765783864629,40350
1769765783907698,40380
1769765783950947,40410
1769765783993944,40370
1769765784036993,40360
1769765784083848,40360
1769765784126960,40330
1769765784169890,40300
1769765784212978,40370
1769765784255653,40280
1769765784298728,40310
1769765784341893,40290
1769765784384743,40260
1769765784427616,40310
1769765784470518,40320
1769765784513568,40230
1769765784556377,40310
1769765784599141,40320
1769765784643598,40300
1769765784686484,40200
1769765784729634,40230
1769765784772985,40270
1769765784815945,40310
1769765784858826,40270
1769765784901959,40240
1769765784944856,40290
1769765784987279,40280
1769765785029904,40340
1769765785072988,40270
1769765785115921,40500
1769765785159038,40310
1769765785203463,40500
1769765785246583,40310
1769765785289048,40290
1769765785331925,40270
1769765785374786,40280
1769765785417872,40320
1769765785460893,40270
1769765785503673,40230
1769765785546460,40300
1769765785589305,40380
1769765785632475,40390
1769765785675508,40280
1769765785718624,40310
1769765785763357,40260
1769765785805753,40280
1769765785848758,40360
1769765785891754,40310
1769765785934920,40350
1769765785978056,40360
1769765786021105,40390
1769765786064246,40400
1769765786107379,40330
1769765786150375,40370
1769765786192703,40380
1769765786235181,40300
1769765786278354,40370
1769765786323151,40380
1769765786366195,40380
1769765786409456,40390
1769765786452678,40380
1769765786496357,40410
1769765786539066,40420
1769765786581495,40420
1769765786624220,40350
1769765786667310,40400
1769765786710417,40330
1769765786753611,40420
1769765786796026,40400
1769765786838686,40430
1769765786882872,40510
1769765786926119,40430
1769765786969190,40410
1769765787012293,40440
1769765787055278,40420
1769765787098413,40540
1769765787141550,40370
1769765787184585,40430
1769765787227749,40390
1769765787270858,40450
1769765787313850,40440
1769765787356935,40490
1769765787402706,40510
1769765787445862,40510
1769765787489037,40580
1769765787532059,40440
1769765787574681,40500
1769765787617873,40420
1769765787660876,40310
1769765787703656,40370
1769765787746816,40470
1769765787789936,40470
1769765787832166,40390
1769765787875373,40470
1769765787918639,40560
1769765787962570,40510
1769765788004998,40470
1769765788047860,40590
1769765788091082,40570
1769765788134134,40430
1769765788177098,40440
1769765788220308,40290
1769765788263209,40340
1769765788306367,40370
1769765788349589,40330
1769765788392721,40440
1769765788435706,40420
1769765788478496,40440
1769765788522480,40430
1769765788565599,40550
1769765788607958,40480
1769765788650920,40510
1769765788694042,40490
1769765788737019,40500
1769765788780149,40460
1769765788822926,40390
1769765788865785,40430
1769765788908735,40400
1769765788951889,40410
1769765788994791,40380
1769765789037913,40390
1769765789082211,40490
1769765789125379,40480
1769765789168682,40530
1769765789211397,40660
1769765789253669,40500
1769765789296841,40480
1769765789339930,40430
1769765789382878,40500
1769765789425979,40400
1769765789468945,40440
1769765789511739,40310
1769765789554258,40330
1769765789596711,40410
1769765789642256,40430
1769765789685315,40370
1769765789728481,40420
1769765789771716,40470
1769765789814303,40490
1769765789857401,40520
1769765789900622,40460
1769765789943863,40500
1769765789986876,40410
1769765790029992,40550
1769765790072992,40480
1769765790116103,40520
1769765790162052,40540
1769765790204559,40490
1769765790247749,40540
1769765790290513,40400
1769765790333705,40380
1769765790376689,40360
1769765790419396,40390
1769765790462621,40380
1769765790505834,40400
1769765790548886,40350
1769765790591948,40430
1769765790635083,40500
1769765790678077,40520
1769765790721862,40380
1769765790764965,40430
1769765790807926,40450
1769765790850861,40470
1769765790893684,40550
1769765790936573,40440
1769765790979679,40500
1769765791022713,40530
1769765791065806,40430
1769765791109003,40370
1769765791151930,40620
1769765791195136,40410
1769765791237658,40360
1769765791281882,40350
1769765791324893,40310
1769765791367945,40320
1769765791411200,40350
1769765791453914,40380
1769765791496769,40330
1769765791539647,40340
1769765791582386,40370
1769765791625352,40480
1769765791668447,40430
1769765791711463,40420
1769765791754596,40440
1769765791797675,40460
1769765791841805,40350
1769765791884856,40370
1769765791927729,40380
1769765791970818,40330
1769765792013919,40320
1769765792057075,40330
1769765792100077,40410
1769765792143191,40510
1769765792186291,40460
1769765792229516,40540
1769765792272623,40550
1769765792315758,40450
1769765792361667,40490
1769765792404821,40540
1769765792447972,40520
1769765792490989,40500
1769765792534877,40470
1769765792577342,40450
1769765792620478,40470
1769765792662879,40400
1769765792705791,40490
1769765792748762,40420
1769765792791867,40460
1769765792834855,40430
1769765792881643,40360
1769765792924815,40390
1769765792967861,40360
1769765793010857,40320
1769765793054069,40370
1769765793096592,40490
1769765793139749,40380
1769765793182527,40400
1769765793225475,40650
1769765793268565,40450
1769765793311591,40460
1769765793354657,40500
1769765793401448,40500
1769765793444575,40430
1769765793487525,40410
1769765793530705,40400
1769765793573854,40390
1769765793616905,40430
1769765793659906,40370
1769765793702864,40340
1769765793745701,40380
1769765793788831,40350
1769765793832046,40410
1769765793875244,40370
1769765793921482,40400
1769765793964492,40370
1769765794007500,40410
1769765794050639,40360
1769765794093757,40390
1769765794136722,40420
1769765794179860,40540
1769765794222826,40590
1769765794265876,40570
1769765794309091,40490
1769765794351687,40470
1769765794394861,40550
1769765794441334,40470
1769765794484505,40490
1769765794527708,40460
1769765794570286,40480
1769765794613505,40370
1769765794656723,40430
1769765794699877,40470
1769765794742761,40440
1769765794785677,40480
1769765794828850,40490
1769765794871923,40470
1769765794914927,40440
1769765794961373,40380
1769765795004069,40360
1769765795047012,40270
1769765795090043,40520
1769765795133090,40330
1769765795176142,40390
1769765795218574,40360
1769765795261651,40390
1769765795304678,40390
1769765795347585,40420
1769765795390504,40430
1769765795433750,40460
1769765795477007,40430
1769765795521296,40330
1769765795564389,40340
1769765795606927,40460
1769765795649763,40380
1769765795692696,40390
1769765795735169,40360
1769765795778373,40340
1769765795821545,40400
1769765795864542,40310
1769765795907776,40400
1769765795950759,40300
1769765795993356,40340
1769765796036309,40310
1769765796081383,40300
1769765796124427,40290
1769765796167619,40290
1769765796210775,40370
1769765796253857,40550
1769765796296879,40580
1769765796339511,40410
1769765796382603,40410
1769765796425706,40460
1769765796468650,40470
1769765796511955,40510
1769765796554607,40450
1769765796601193,40350
1769765796643979,40340
1769765796687017,40340
1769765796729947,40360
1769765796772334,40410
1769765796815505,40380
1769765796858658,40380
1769765796901863,40440
1769765796944959,40390
1769765796988063,40380
1769765797031130,40410
1769765797073862,40380
1769765797116916,40430
1769765797161205,40340
1769765797203703,40490
1769765797246078,40420
1769765797289243,40360
1769765797332313,40340
1769765797375074,40370
1769765797418183,40290
1769765797461172,40270
