unix_timestamp,active_power (mW)
1769765816067578,41900
1769765816109916,41950
1769765816152298,42180
1769765816198465,42160
1769765816241609,42080
1769765816284483,42200
1769765816327085,42180
1769765816370201,42050
1769765816413302,42180
1769765816456462,42080
1769765816499028,42040
1769765816542174,42070
1769765816585232,42020
1769765816628263,42000
1769765816670811,42030
1769765816713821,42010
1769765816758361,42150
1769765816801541,42070
1769765816844708,42080
1769765816887883,42110
1769765816931027,42150
1769765816973921,42110
1769765817016740,42150
1769765817059591,42180
1769765817102746,42290
1769765817145712,42080
1769765817188898,42080
1769765817231611,42270
1769765817278224,42130
1769765817321313,42060
1769765817363802,42160
1769765817406906,42100
1769765817449788,42120
1769765817492972,42160
1769765817535983,42200
1769765817578941,42200
1769765817622216,42180
1769765817665892,42110
1769765817709024,42140
1769765817751617,42110
1769765817798062,42110
1769765817841212,42120
1769765817884557,42140
1769765817927540,42080
1769765817969986,42210
1769765818012970,42230
1769765818056151,42130
1769765818098900,42210
1769765818142066,42240
1769765818185264,42200
1769765818228450,42150
1769765818271054,42120
1769765818317857,42120
1769765818360305,42060
1769765818403427,42090
1769765818445746,42130
1769765818488835,42100
1769765818531975,42070
1769765818574530,42130
1769765818617200,42090
1769765818660327,42110
1769765818703000,42120
1769765818745989,42080
1769765818789079,42270
1769765818832010,42210
1769765818877843,42190
1769765818920992,42030
1769765818964071,42090
1769765819007073,42110
1769765819049436,42060
1769765819092625,42210
1769765819135453,42250
1769765819178644,42060
1769765819221530,42080
1769765819264738,42080
1769765819307514,42150
1769765819350222,42210
1769765819393216,42240
1769765819437639,42250
1769765819480773,42190
1769765819523898,42160
1769765819566889,42180
1769765819609748,42130
1769765819652835,42190
1769765819695217,42100
1769765819737781,42000
1769765819780834,42080
1769765819823820,42070
1769765819867087,42120
1769765819910281,42130
1769765819953231,42140
1769765819997381,42170
1769765820040267,42230
1769765820083433,42210
1769765820126414,42240
1769765820169111,42160
1769765820212147,42140
1769765820255305,42200
1769765820298023,42200
1769765820341083,42130
1769765820384009,42170
1769765820427003,42100
1769765820469968,42080
1769765820513064,42040
1769765820557359,42030
1769765820600874,42090
1769765820643838,42100
1769765820686844,42120
1769765820729313,42110
1769765820772261,42150
1769765820815066,42220
1769765820858100,42110
1769765820901208,42270
1769765820944022,42170
1769765820986847,42180
1769765821029360,42200
1769765821072494,42200
1769765821117336,42080
1769765821160462,42180
1769765821203356,42300
1769765821245727,42080
1769765821288754,42080
1769765821331820,42080
1769765821374786,42060
1769765821417945,42060
1769765821461072,42050
1769765821504145,42000
1769765821546590,42130
1769765821589696,42060
1769765821632892,42180
1769765821677177,42210
1769765821719780,42150
1769765821762451,42160
1769765821805600,42160
1769765821847839,42220
1769765821890988,42170
1769765821934191,42140
1769765821977079,42130
1769765822020205,42100
1769765822062712,42150
1769765822105640,42080
1769765822148774,42090
1769765822191731,42040
1769765822237095,42130
1769765822280136,42220
1769765822322639,42160
1769765822365645,42140
1769765822408685,42190
1769765822451232,42240
1769765822494440,42200
1769765822537591,42190
1769765822580917,42190
1769765822623620,42140
1769765822666034,42160
1769765822708949,42130
1769765822751777,42110
1769765822797000,42070
1769765822839973,42110
1769765822882613,42160
1769765822925432,42100
1769765822968603,42110
1769765823011530,42170
1769765823054609,42100
1769765823097625,42100
1769765823140721,42190
1769765823183650,42110
1769765823226361,42090
1769765823269525,42180
1769765823312546,42220
1769765823356933,42140
1769765823399984,42190
1769765823442620,42150
1769765823485087,42190
1769765823527558,42250
1769765823570747,42310
1769765823613944,42150
1769765823657056,42180
1769765823699973,42190
1769765823742587,42160
1769765823785737,42200
1769765823828120,42220
1769765823870726,42220
1769765823916939,42130
1769765823960021,42160
1769765824002770,42110
1769765824045819,42080
1769765824088898,42120
1769765824131781,42100
1769765824174687,42050
1769765824217977,42130
1769765824261125,42040
1769765824303969,42070
1769765824347112,42120
1769765824390039,42100
1769765824432910,42140
1769765824476822,42100
1769765824519545,42080
1769765824561706,42120
1769765824604842,42160
1769765824647745,42180
1769765824690395,42190
1769765824733345,42220
1769765824776329,42160
1769765824819233,42140
1769765824862322,42100
1769765824905513,42140
1769765824948597,42180
1769765824991605,42130
1769765825036521,42110
1769765825079762,42270
1769765825122699,42120
1769765825165822,42140
1769765825208916,42200
1769765825252003,42140
1769765825295020,41990
1769765825338033,42070
1769765825381168,42100
1769765825424285,42090
1769765825467341,42120
1769765825510144,42120
1769765825556682,42120
1769765825599471,42120
1769765825641828,42130
1769765825684755,42190
1769765825727517,42180
1769765825770033,42200
1769765825812970,42120
1769765825855752,42160
1769765825898953,42150
1769765825941792,42150
1769765825985011,42170
1769765826027915,42110
1769765826070639,42060
1769765826116493,42020
1769765826159519,42070
1769765826202708,42140
1769765826245618,42070
1769765826288651,42100
1769765826331635,42180
1769765826374670,42140
1769765826417733,42230
1769765826460648,42130
1769765826503423,42140
1769765826545713,42240
1769765826588770,42150
1769765826631462,42270
1769765826676403,42200
1769765826719244,42080
1769765826762843,42200
1769765826805723,42170
1769765826847980,42120
1769765826891017,42180
1769765826934039,42100
1769765826977033,42300
1769765827019886,42260
1769765827062595,42110
1769765827105693,42280
1769765827148899,42150
1769765827191922,42110
1769765827236346,42110
1769765827279352,42120
1769765827322306,42090
1769765827365417,42230
1769765827408409,42190
1769765827451290,42180
1769765827493734,42170
1769765827536299,42140
1769765827579254,42150
1769765827622460,42250
1769765827665642,42200
1769765827708704,42140
1769765827751683,42100
1769765827796591,42080
1769765827839426,42140
1769765827881849,42110
1769765827925038,42100
1769765827967933,42100
1769765828010895,42040
1769765828053873,42070
1769765828096898,42090
1769765828139925,42090
1769765828182811,42140
1769765828225516,42180
1769765828268512,42130
1769765828311384,42100
1769765828356495,42130
1769765828399511,42070
1769765828442491,42110
1769765828485482,42150
1769765828528492,42060
1769765828571591,42180
1769765828614751,42120
1769765828657776,42160
1769765828700791,42190
1769765828743271,42190
1769765828785863,42110
1769765828828915,42210
1769765828871980,42200
1769765828916181,42270
1769765828959046,42140
1769765829001912,42340
1769765829045046,42230
1769765829088113,42290
1769765829131157,42230
1769765829174147,42190
1769765829217129,42280
1769765829260122,42190
1769765829302798,42210
1769765829345996,42160
1769765829389041,42230
1769765829431679,42130
1769765829476341,42140
1769765829519550,42150
1769765829561820,42140
1769765829604689,42220
1769765829647603,42210
1769765829690742,42130
1769765829733657,42240
1769765829776899,42200
1769765829819904,42150
1769765829863037,42090
1769765829906137,42150
1769765829949096,42160
1769765829992287,42090
1769765830036275,42230
1769765830079469,42220
1769765830122645,42250
1769765830165753,42170
1769765830208840,42160
1769765830251884,42250
1769765830295010,42240
1769765830338050,42090
1769765830381037,42090
1769765830424160,42190
1769765830466873,42120
1769765830510213,42090
1769765830556402,42160
1769765830599472,42060
1769765830641779,42040
1769765830685060,42040
1769765830727995,42120
1769765830770723,42040
1769765830813838,42080
1769765830857007,42050
1769765830899508,42200
1769765830941912,42120
1769765830985089,42190
1769765831028125,42140
1769765831071094,42300
1769765831116370,42290
1769765831159374,42250
1769765831202523,42170
1769765831245656,42190
1769765831288793,42130
1769765831331830,42140
1769765831374603,42100
1769765831417631,42070
1769765831460729,42150
1769765831503758,42050
1769765831547013,42170
1769765831589681,42150
1769765831636343,42140
1769765831679207,42140
1769765831721593,42060
1769765831764808,42110
1769765831807624,42150
1769765831850266,42160
1769765831893423,42130
1769765831936583,42140
1769765831979513,42050
1769765832022638,42140
1769765832065746,42090
1769765832108643,42170
1769765832151569,45690
1769765832196328,42160
1769765832239044,42090
1769765832281635,42080
1769765832324735,42060
1769765832367792,42010
1769765832410504,42150
1769765832453599,42080
1769765832496623,42150
1769765832539725,42200
1769765832582470,42230
1769765832625010,42180
1769765832667848,42160
1769765832710702,42110
1769765832756230,42190
1769765832799220,42090
1769765832841758,42130
1769765832884681,42100
1769765832927561,42130
1769765832970262,42250
1769765833012944,42100
1769765833056016,42190
1769765833099058,42290
