unix_timestamp,active_power (mW)
1769767012555014,26790
1769767012597705,45280
1769767012640039,44140
1769767012683024,44060
1769767012725988,44010
1769767012769186,44060
1769767012812364,44040
1769767012855344,44200
1769767012898395,44110
1769767012943108,43980
1769767012986242,43950
1769767013029480,44090
1769767013072598,44210
1769767013114960,44020
1769767013157958,44030
1769767013201134,43960
1769767013244207,44180
1769767013287099,44030
1769767013329698,44030
1769767013372780,44000
1769767013415934,44040
1769767013462768,44030
1769767013505843,43990
1769767013549128,44000
1769767013592321,43990
1769767013635522,44060
1769767013678564,44050
1769767013721192,44000
1769767013763943,43920
1769767013807113,43940
1769767013850278,44030
1769767013893488,44110
1769767013936742,43990
1769767013982541,44000
1769767014025611,43940
1769767014068396,44050
1769767014111347,44070
1769767014153767,44050
1769767014196819,44060
1769767014239988,44080
1769767014282717,44070
1769767014325854,44080
1769767014369162,44050
1769767014412133,44060
1769767014455074,44080
1769767014498597,44110
1769767014542469,44060
1769767014585523,44040
1769767014628491,44000
1769767014671697,43980
1769767014714776,44100
1769767014757809,44000
1769767014800864,44120
1769767014844075,44070
1769767014887231,44160
1769767014929855,44080
1769767014972833,44070
1769767015015906,44080
1769767015061876,43910
1769767015104981,44090
1769767015147977,44090
1769767015190573,44120
1769767015233718,44100
1769767015276592,44050
1769767015319892,43930
1769767015362930,44030
1769767015406099,44040
1769767015449025,44050
1769767015491978,44000
1769767015535109,44070
1769767015581502,43990
1769767015624301,43940
1769767015667451,44070
1769767015710522,44010
1769767015753434,44060
1769767015796555,43960
1769767015839670,44000
1769767015882578,44030
1769767015925707,44040
1769767015967952,44060
1769767016010357,44030
1769767016053314,44040
1769767016096514,43960
1769767016141293,43980
1769767016184312,44000
1769767016226795,43980
1769767016269946,44030
1769767016313047,44070
1769767016355957,44030
1769767016398828,43950
1769767016441291,44040
1769767016484489,44020
1769767016527635,44030
1769767016570765,44060
1769767016613786,44030
1769767016656882,44000
1769767016700839,44010
1769767016743636,43980
1769767016786670,44080
1769767016829779,44010
1769767016872816,44170
1769767016915867,44040
1769767016958699,43920
1769767017001578,44040
1769767017044694,43990
1769767017087755,43970
1769767017130724,44170
1769767017173862,44090
1769767017220584,44140
1769767017263655,44080
1769767017306008,44060
1769767017349284,44110
1769767017392437,44050
1769767017435432,44010
1769767017478556,44050
1769767017521698,44750
1769767017564663,44510
1769767017607635,44120
1769767017650312,44120
1769767017693512,44170
1769767017736299,44120
1769767017780280,44070
1769767017823419,44090
1769767017866602,44100
1769767017909054,44150
1769767017952120,44110
1769767017995107,44060
1769767018037550,44120
1769767018080423,43990
1769767018123569,44050
1769767018166027,44140
1769767018209208,44150
1769767018252286,44140
1769767018295200,44100
1769767018339969,44120
1769767018382890,44100
1769767018426187,44130
1769767018469373,44140
1769767018511974,44070
1769767018555027,44020
1769767018597432,44090
1769767018640305,44100
1769767018683497,44120
1769767018726589,44050
1769767018769594,44030
1769767018812714,44020
1769767018859514,44100
1769767018902455,44190
1769767018945030,44050
