unix_timestamp,active_power (mW)
1769768615878652,29090
1769768615921700,46020
1769768615964841,42730
1769768616008011,42860
1769768616050732,42770
1769768616093695,42710
1769768616140309,42720
1769768616183244,42680
1769768616226488,42710
1769768616269444,42690
1769768616312575,42710
1769768616355637,42890
1769768616398776,42740
1769768616441733,42800
1769768616484773,42740
1769768616527935,42700
1769768616570257,42730
1769768616613551,42730
1769768616660134,42740
1769768616703079,42770
1769768616745415,42740
1769768616787780,42770
1769768616830667,42840
1769768616873630,42770
1769768616916811,42780
1769768616960017,42700
1769768617003256,42770
1769768617045652,42750
1769768617088681,42800
1769768617131526,42930
1769768617174683,42880
1769768617220232,42990
1769768617263083,42790
1769768617306116,42760
1769768617349397,42790
1769768617392652,42800
1769768617435815,42830
1769768617479013,42780
1769768617522268,42760
1769768617565472,42800
1769768617608646,42830
1769768617651578,42660
1769768617694320,42840
1769768617740079,42760
1769768617783110,42740
1769768617826031,42700
1769768617869160,42660
1769768617912194,42730
1769768617955324,42770
1769768617997751,42690
1769768618040947,42710
1769768618083840,42720
1769768618126857,42770
1769768618169945,42720
1769768618212843,42640
1769768618255264,42740
1769768618299991,42720
1769768618343108,42720
1769768618385799,42740
1769768618428976,42870
1769768618472196,43470
1769768618515019,42660
1769768618557876,42750
1769768618601164,42790
1769768618644335,42810
1769768618687266,42770
1769768618729670,42760
1769768618772776,42730
1769768618815543,42750
1769768618860134,42810
1769768618903295,42730
1769768618945796,42820
1769768618988871,42740
1769768619031368,42770
1769768619073893,42770
1769768619116936,42920
1769768619160005,42770
1769768619203252,42780
1769768619246456,42720
1769768619289634,42700
1769768619332779,42740
1769768619375783,42700
1769768619420029,42680
1769768619463151,42740
1769768619505835,42670
1769768619548780,42770
1769768619591757,42720
1769768619634557,42660
1769768619677500,42740
1769768619720726,42680
1769768619763310,42730
1769768619806450,42710
1769768619849564,42730
1769768619892676,42760
1769768619935665,42810
1769768619980180,42760
1769768620023259,42790
1769768620065670,42740
1769768620108587,42770
1769768620151648,42850
1769768620194760,42700
1769768620237765,42720
1769768620280852,42770
1769768620323615,42830
1769768620366683,42780
1769768620409684,42700
1769768620452586,42850
1769768620495553,42870
1769768620540164,42790
1769768620583234,42810
1769768620626221,42770
1769768620669405,42850
1769768620712563,42790
1769768620755381,42700
1769768620798524,42750
1769768620841688,42770
1769768620884755,42830
1769768620927706,42850
1769768620970845,42790
1769768621013643,42800
1769768621060142,42820
1769768621102829,43590
1769768621146017,43160
1769768621189149,42860
1769768621232146,42870
1769768621275153,42790
1769768621318197,42820
1769768621360721,42870
1769768621403098,42750
1769768621446298,42820
1769768621488915,42750
1769768621532032,42740
1769768621575277,42800
1769768621620119,42770
1769768621663074,42760
1769768621705682,42800
1769768621748826,42800
1769768621791734,42790
1769768621834755,42770
1769768621877162,42760
1769768621920266,42790
1769768621963303,42840
1769768622005673,42840
1769768622048827,42830
1769768622091716,42850
1769768622134315,42860
1769768622180091,42830
1769768622223188,42800
1769768622266400,42880
1769768622308841,42880
1769768622351390,42750
1769768622394347,42780
1769768622436632,42810
1769768622479647,42830
1769768622522478,42890
1769768622565589,42830
1769768622608429,42790
1769768622651524,42740
1769768622693967,42790
1769768622739874,42700
1769768622782733,42730
1769768622825865,42780
1769768622868774,42750
1769768622911840,42760
1769768622954473,42690
1769768622997544,42680
1769768623040066,42730
1769768623082636,42770
1769768623125537,42790
1769768623168745,42880
1769768623211908,42690
1769768623254725,42700
1769768623299909,42700
1769768623343036,42760
1769768623385825,42730
1769768623428715,42830
1769768623471783,42780
1769768623514864,42810
1769768623557778,42790
1769768623600959,42890
1769768623643620,42780
1769768623686276,42790
1769768623728711,42790
1769768623771781,42820
1769768623814769,42750
1769768623859965,42720
1769768623903081,42840
1769768623946296,42780
1769768623989523,42830
1769768624032704,42790
1769768624075795,42730
1769768624118378,42770
1769768624161516,42720
1769768624204667,42790
1769768624247158,42780
1769768624290114,42750
1769768624333293,42700
1769768624379637,42670
1769768624422728,42750
1769768624465748,42740
1769768624508801,42720
1769768624551282,42840
1769768624594269,42750
1769768624637399,42820
1769768624680706,42780
1769768624723810,42740
1769768624766321,42680
1769768624809330,42760
1769768624852162,42750
1769768624894924,42770
1769768624939793,42870
1769768624982564,42760
1769768625025776,42780
1769768625068779,42770
1769768625111683,42860
1769768625154319,42810
1769768625197422,42750
1769768625240514,42950
1769768625283475,42860
1769768625326371,42810
1769768625369496,42780
1769768625412519,42750
1769768625455109,42730
1769768625499770,42710
1769768625542782,42760
1769768625585737,42800
1769768625628792,42800
1769768625671856,42790
1769768625714827,42780
1769768625757693,42750
1769768625800732,42780
1769768625843772,42770
1769768625886380,42690
1769768625929508,42740
1769768625972616,42790
1769768626019495,42710
1769768626062290,42760
1769768626105489,42650
1769768626148536,42680
1769768626191501,42720
1769768626234711,42730
1769768626277878,42700
1769768626320932,42750
1769768626363880,42710
1769768626406728,42690
1769768626449746,42740
1769768626492698,42750
1769768626539438,42770
1769768626582567,42820
1769768626625565,42790
1769768626668764,42850
1769768626711474,42740
1769768626753878,42780
1769768626796906,42800
1769768626840102,42850
1769768626883281,42830
1769768626926268,42870
1769768626969461,42810
1769768627012691,42800
1769768627059477,42770
1769768627102162,42940
1769768627145202,42810
1769768627188240,42760
1769768627231165,42760
1769768627274168,42820
1769768627316682,42780
1769768627359644,42790
1769768627402333,42790
1769768627445654,42660
1769768627488715,42680
1769768627531691,42720
1769768627574739,42740
1769768627619285,42760
1769768627662388,42770
1769768627705118,42660
1769768627748400,42740
1769768627791427,42710
1769768627833874,42720
1769768627876948,42740
1769768627919894,42780
1769768627962818,42750
1769768628005957,42820
1769768628048865,42770
1769768628091735,42780
1769768628134492,42770
1769768628179249,42800
1769768628221750,42800
1769768628264789,42860
1769768628307385,42780
1769768628350402,42750
1769768628393457,42720
1769768628436693,42780
1769768628479527,42750
1769768628522646,42720
1769768628565609,42720
1769768628608794,42790
1769768628651761,42820
1769768628694722,42900
1769768628739087,42770
1769768628782256,42800
1769768628825464,42780
1769768628868622,42730
1769768628911752,42770
1769768628954363,42750
1769768628997496,42620
1769768629040488,42810
1769768629083558,42710
1769768629126085,42840
1769768629169244,42740
