unix_timestamp,active_power (mW)
1769770127637287,29340
1769770127680282,49680
1769770127723097,44010
1769770127765530,43470
1769770127808658,43560
1769770127853174,43680
1769770127896174,43480
1769770127939332,43440
1769770127982281,43470
1769770128025304,43470
1769770128068249,43560
1769770128111171,43440
1769770128154293,43500
1769770128196814,43530
1769770128239954,43540
1769770128282748,43450
1769770128325772,43530
1769770128372764,43520
1769770128415606,43450
1769770128458660,43500
1769770128501735,43520
1769770128544882,43490
1769770128587979,43540
1769770128630718,43540
1769770128673661,43490
1769770128716931,43500
1769770128759714,43460
1769770128802437,43440
1769770128845731,43540
1769770128892661,43560
1769770128935679,43470
1769770128978497,43470
1769770129021495,43540
1769770129064562,43490
1769770129107337,43470
1769770129150312,43670
1769770129193422,43520
1769770129236593,43490
1769770129279491,43730
1769770129322595,43530
1769770129365815,43640
1769770129412279,43530
1769770129455151,43550
1769770129498254,43510
1769770129541510,43530
1769770129584667,43550
1769770129627889,43520
1769770129670599,43540
1769770129713806,43570
1769770129756752,43520
1769770129799831,43460
1769770129842523,43590
1769770129885539,43690
1769770129932025,43520
1769770129975068,43540
1769770130017716,43490
1769770130060856,43500
1769770130103366,43550
1769770130146111,43550
1769770130189113,43560
1769770130232176,43520
1769770130275299,43590
1769770130318454,43520
1769770130361432,43510
1769770130404599,43620
1769770130447372,43510
1769770130491803,43480
1769770130534893,43480
1769770130577710,43630
1769770130620626,43540
1769770130663355,43470
1769770130705827,43500
1769770130748263,43570
1769770130791188,43440
1769770130833729,43540
1769770130876173,43500
1769770130918881,43530
1769770130961852,43490
1769770131005041,43450
1769770131051490,43460
1769770131093940,43490
1769770131137005,43610
1769770131180234,43470
1769770131223104,43470
1769770131266314,43440
1769770131309545,43510
1769770131352728,43480
1769770131395431,43470
1769770131437955,43520
1769770131480397,43470
1769770131523428,43490
1769770131566520,43510
1769770131611153,43500
1769770131654232,43530
1769770131697088,43510
1769770131740332,43530
1769770131783525,43510
1769770131826005,43500
1769770131869180,43380
1769770131912356,43620
1769770131955152,43560
1769770131997675,43480
1769770132040827,43430
1769770132083791,43430
1769770132130730,43450
1769770132173706,43330
1769770132216831,43410
1769770132259896,43450
1769770132302817,43440
1769770132345750,43400
1769770132388104,43440
1769770132430937,43400
1769770132473736,43450
1769770132516414,43440
1769770132558811,43410
1769770132601844,43420
1769770132644872,43430
1769770132690663,43460
1769770132733813,43440
1769770132776814,43390
