unix_timestamp,active_power (mW)
1769770772961092,25360
1769770773003682,46190
1769770773046388,44280
1769770773089671,44120
1769770773132620,44140
1769770773178122,44100
1769770773221299,43970
1769770773264294,44080
1769770773307340,43940
1769770773349788,43930
1769770773393022,44000
1769770773436013,44060
1769770773478989,44060
1769770773521465,44100
1769770773564415,44030
1769770773607433,44060
1769770773649695,44030
1769770773692689,44050
1769770773737932,44050
1769770773780976,44090
1769770773823956,44120
1769770773866629,44110
1769770773909804,44080
1769770773952701,44100
1769770773995752,44050
1769770774038758,44140
1769770774081956,44110
1769770774125035,44080
1769770774167776,44040
1769770774210744,44020
1769770774257615,44090
1769770774300611,44030
1769770774343721,44020
1769770774386412,43960
1769770774429431,43990
1769770774472272,44050
1769770774515059,44050
1769770774557962,43890
1769770774601137,43960
1769770774644123,43980
1769770774686640,44020
1769770774729629,44120
1769770774772837,44020
1769770774817144,43930
1769770774860274,43970
1769770774903301,44110
1769770774945895,44040
1769770774989114,44170
1769770775032354,44120
1769770775075053,44040
1769770775118310,44050
1769770775161678,44150
1769770775204765,44100
1769770775247784,44120
1769770775290667,44080
1769770775337008,44020
1769770775379247,44140
1769770775421787,44080
1769770775464977,44050
1769770775508041,43980
1769770775550643,44140
1769770775593692,44150
1769770775636671,44130
1769770775679386,44090
1769770775722553,44190
1769770775765005,44030
1769770775807563,44090
1769770775850400,44130
1769770775896461,44090
1769770775939467,44090
1769770775982317,44060
1769770776025498,44060
1769770776068650,44120
1769770776111649,44000
1769770776154626,44100
1769770776197631,44060
1769770776240690,44020
1769770776283732,43980
1769770776326655,44070
1769770776369730,43950
1769770776415976,43910
1769770776458646,43990
1769770776501639,43970
1769770776544709,44060
1769770776587478,44020
1769770776630666,43960
1769770776673553,43940
1769770776716576,44040
1769770776759173,44070
1769770776801829,43990
1769770776844917,44100
1769770776888020,44010
1769770776931026,44070
1769770776975585,44050
1769770777018747,44160
1769770777061879,44140
1769770777104832,44100
1769770777147787,44170
1769770777190462,44040
1769770777233598,44130
1769770777276523,44320
1769770777319538,44130
1769770777362611,44020
1769770777405690,44050
1769770777448748,44090
1769770777495364,44090
1769770777537997,44000
1769770777581190,44000
1769770777624374,44030
1769770777667478,44100
1769770777709914,44070
1769770777753213,44000
1769770777796225,43980
1769770777839238,44040
1769770777882348,43990
1769770777925499,43990
1769770777968680,43900
1769770778014677,43970
1769770778057692,43990
1769770778100582,44020
1769770778143549,43910
1769770778186595,44030
1769770778229670,44000
1769770778272673,44010
1769770778315231,44040
1769770778357675,44030
1769770778400205,44080
1769770778442942,44090
1769770778485831,44070
1769770778528938,44040
1769770778574451,44130
1769770778617594,44170
1769770778660439,44120
1769770778703655,44220
1769770778746298,44160
1769770778789426,44090
1769770778832462,44110
1769770778875130,44080
1769770778917423,44020
1769770778960615,44000
1769770779003640,44090
1769770779046693,44120
1769770779089783,44230
1769770779134124,44180
1769770779177063,44060
1769770779220277,44060
1769770779263408,44060
1769770779305997,44020
1769770779349103,43900
1769770779392143,44010
1769770779434678,44020
1769770779477578,44020
1769770779520392,43920
1769770779563660,43950
1769770779606760,43950
1769770779653640,44020
1769770779695985,44060
1769770779739175,44090
1769770779782095,44040
1769770779825245,44000
1769770779868193,44080
1769770779911362,44200
1769770779954448,44110
1769770779997390,44080
