unix_timestamp,active_power (mW)
1769771662141099,38940
1769771662183983,43060
1769771662226894,43280
1769771662269887,43330
1769771662312906,43320
1769771662355991,43260
1769771662399069,48140
1769771662443450,43030
1769771662486161,43430
1769771662529279,43370
1769771662572437,43240
1769771662615639,43300
1769771662658816,43250
1769771662701304,43340
1769771662744366,43360
1769771662787484,43300
1769771662829969,43310
1769771662872967,43330
1769771662915905,43350
1769771662958512,43350
1769771663002782,43370
1769771663045841,43330
1769771663088855,43310
1769771663131744,43360
1769771663174611,43440
1769771663219925,43300
1769771663262988,43360
1769771663305540,43260
1769771663348674,43300
1769771663391773,43340
1769771663434901,43360
1769771663478176,43320
1769771663522048,43280
1769771663565115,43250
1769771663608319,43310
1769771663651169,43360
1769771663694280,43260
1769771663737100,43350
1769771663780251,43330
1769771663823393,43400
1769771663866909,43340
1769771663909794,43370
1769771663952872,43350
1769771663995802,43340
1769771664041509,43350
1769771664084580,43340
1769771664127004,43320
1769771664169804,43370
1769771664212935,43310
1769771664255997,43330
1769771664298710,43400
1769771664341792,43360
1769771664384739,43350
1769771664427917,43360
1769771664470438,43280
1769771664513395,43340
1769771664556445,43330
1769771664600683,43320
1769771664643691,43290
1769771664686727,43320
1769771664729756,43270
1769771664772871,43300
1769771664815822,43280
1769771664858913,43230
1769771664901676,43280
1769771664944771,43300
1769771664987665,43280
1769771665030753,43360
1769771665073704,43270
1769771665120084,43290
1769771665162730,43460
1769771665205616,43280
1769771665248786,43270
1769771665291838,43370
1769771665334378,43290
1769771665377170,43240
1769771665420365,43290
1769771665463577,43280
1769771665506579,43270
1769771665549420,43310
1769771665592548,43260
1769771665639459,43280
1769771665681709,43230
1769771665724638,43210
1769771665767474,43280
1769771665810486,43210
1769771665853730,43480
1769771665896952,43320
1769771665939870,43310
1769771665982426,43270
1769771666025651,43300
1769771666068828,43260
1769771666111526,43330
1769771666153992,43270
1769771666198798,43220
1769771666241880,43260
1769771666284935,43240
1769771666327827,43270
1769771666370883,43250
1769771666414110,43270
1769771666457287,43270
1769771666500448,43200
1769771666543268,43210
1769771666586340,43230
1769771666629466,43190
1769771666672459,43240
1769771666718097,43280
1769771666761204,43290
1769771666804258,43310
1769771666847539,43390
1769771666889847,43280
1769771666933123,43280
1769771666976241,43170
1769771667019225,43340
1769771667062262,43260
1769771667105435,43250
1769771667148619,43420
1769771667191810,43200
1769771667237452,43240
1769771667280561,43260
1769771667323487,43220
