unix_timestamp,active_power (mW)
1770048574560907,42930
1770048574603683,43120
1770048574646549,43010
1770048574689670,42980
1770048574732528,42950
1770048574777420,43050
1770048574820518,42940
1770048574863442,42970
1770048574906447,43020
1770048574949635,42970
1770048574992536,42970
1770048575035461,43040
1770048575078522,43020
1770048575121687,42890
1770048575164690,42950
1770048575207798,42980
1770048575250841,42870
1770048575293226,42970
1770048575338198,43000
1770048575381318,42870
1770048575423844,42950
1770048575466316,42980
1770048575508817,42950
1770048575551398,42940
1770048575593869,42910
1770048575636654,42950
1770048575679402,42970
1770048575721902,42940
1770048575764969,43000
1770048575807859,42950
1770048575850420,42920
1770048575892952,42890
1770048575938785,43020
1770048575981183,42920
1770048576024181,42950
1770048576067276,42970
1770048576109875,42980
1770048576152884,42960
1770048576196126,42870
1770048576239011,42990
1770048576281470,42910
1770048576324457,42910
1770048576367234,42940
1770048576410190,43050
1770048576453327,42980
1770048576499410,42930
1770048576542198,43010
1770048576585146,42980
1770048576627963,42900
1770048576670931,42980
1770048576714168,43030
1770048576757105,42910
1770048576800068,42970
1770048576842930,42970
1770048576885744,43000
1770048576928339,42970
1770048576971013,42960
1770048577013661,42990
1770048577059958,43000
1770048577102589,42920
1770048577145652,42970
1770048577188775,42950
1770048577231946,42880
1770048577274776,43010
1770048577317068,43050
1770048577359850,43020
1770048577402372,42940
1770048577445277,43050
1770048577488239,43020
1770048577530489,43030
1770048577573090,42980
1770048577615877,43010
1770048577660673,43030
1770048577703601,43060
1770048577746417,43100
1770048577789285,43100
1770048577832535,43030
1770048577875491,43010
1770048577917978,43100
1770048577960990,43110
1770048578004205,43040
1770048578047157,42960
1770048578089656,43060
1770048578132681,43080
1770048578175250,43070
1770048578221434,43150
1770048578264457,43140
1770048578307516,43070
1770048578350444,43000
1770048578393226,43160
1770048578437141,43150
1770048578479895,43140
1770048578522659,43110
1770048578565089,43140
1770048578608204,43110
1770048578650847,43040
1770048578693480,43050
1770048578736496,43090
1770048578781938,43060
1770048578825115,43090
1770048578868342,43160
1770048578911267,43170
1770048578953894,43110
1770048578996950,43090
1770048579039310,43090
1770048579082078,43190
1770048579124652,43130
1770048579167157,43070
1770048579209963,43160
1770048579252833,43170
1770048579295945,43100
1770048579342507,43140
1770048579385070,43130
1770048579428237,43190
1770048579470851,43090
1770048579513260,43140
1770048579556219,43140
1770048579599161,43170
1770048579641952,43130
1770048579684954,43110
1770048579727883,43170
1770048579770708,43100
1770048579813228,43120
1770048579856237,43130
1770048579899065,43120
1770048579943090,43120
1770048579985861,43050
1770048580028914,43090
1770048580071977,43130
1770048580114797,43150
1770048580158196,43060
1770048580201257,43120
1770048580244420,43150
1770048580287435,43150
1770048580330563,43120
1770048580373213,43100
1770048580416367,43130
1770048580459532,43140
1770048580503636,43010
1770048580546153,43050
1770048580588597,43100
1770048580631583,43140
1770048580674056,43110
1770048580716610,43070
1770048580759467,43120
1770048580802453,43140
1770048580845270,43130
