unix_timestamp,active_power (mW)
1770050580558271,46390
1770050580601308,37340
1770050580644269,47310
1770050580686832,46570
1770050580729999,46600
1770050580773007,46600
1770050580816244,46620
1770050580859143,46610
1770050580901884,46580
1770050580944833,46630
1770050580987755,46650
1770050581032541,46580
1770050581075458,46560
1770050581118361,46610
1770050581160803,46600
1770050581203540,46560
1770050581246328,46590
1770050581288921,46650
1770050581331928,46650
1770050581375000,46520
1770050581417298,46530
1770050581460125,46610
1770050581503237,46650
1770050581545870,46500
1770050581588406,46610
1770050581633216,46620
1770050581676334,46610
1770050581719547,46420
1770050581762121,46590
1770050581805099,46690
1770050581848242,46580
1770050581891258,46530
1770050581934166,46530
1770050581977397,46650
1770050582020614,46530
1770050582063498,46520
1770050582106619,46600
1770050582153729,46590
1770050582196570,46560
1770050582239025,46480
1770050582281680,46500
1770050582324708,46640
1770050582367234,46640
1770050582409668,46550
1770050582452280,46650
1770050582495290,46710
1770050582538182,46580
1770050582581244,46510
1770050582624129,46550
1770050582666578,46640
1770050582709406,46600
1770050582754285,46540
1770050582797110,46630
1770050582839797,46580
1770050582882525,46510
1770050582925041,46530
1770050582967394,46610
1770050583010194,46630
1770050583052520,46540
1770050583095583,46560
1770050583138585,46540
1770050583181466,46560
1770050583224640,46550
1770050583267240,46550
1770050583310175,46600
1770050583354954,46520
1770050583397772,46540
1770050583440978,46500
1770050583483580,46660
1770050583526164,46540
1770050583569040,46540
1770050583612281,46560
1770050583655310,46640
1770050583698048,46590
1770050583741054,46530
1770050583784129,46500
1770050583827277,46550
1770050583870350,46580
1770050583915450,46550
1770050583957860,46570
1770050584000864,46540
1770050584043950,46610
1770050584086900,46470
1770050584129902,46320
1770050584172979,46490
1770050584215915,46430
1770050584258809,46430
1770050584301860,46360
1770050584345051,46340
1770050584388260,46470
1770050584431452,46460
1770050584475862,46340
1770050584518702,46540
1770050584561686,46420
1770050584604181,46510
1770050584646697,46410
1770050584689916,46470
1770050584732859,46450
1770050584775672,46490
1770050584818716,46370
1770050584861325,46460
1770050584904484,46470
1770050584947367,46510
1770050584989751,46470
1770050585036551,46550
1770050585079029,46480
1770050585121925,46500
1770050585164864,46520
1770050585207720,46610
1770050585250629,46570
1770050585292917,46520
1770050585335406,46550
1770050585377928,46630
1770050585420385,46550
1770050585463336,46510
1770050585506201,46580
1770050585549486,46570
1770050585592660,46620
1770050585637328,46520
1770050585680385,46620
1770050585723292,46540
1770050585765905,46520
1770050585808999,46630
1770050585852084,46560
1770050585895212,46630
1770050585937910,46520
