unix_timestamp,active_power (mW)
1770052083764997,45280
1770052083807663,43560
1770052083850256,42990
1770052083895017,45300
1770052083937693,45300
1770052083980656,45380
1770052084023498,45350
1770052084066728,45320
1770052084109873,45350
1770052084152865,45430
1770052084195918,45360
1770052084239004,45360
1770052084281931,45330
1770052084325047,45280
1770052084368107,45390
1770052084414898,45320
1770052084458000,45250
1770052084500923,45260
1770052084544070,45300
1770052084587319,45270
1770052084630170,45280
1770052084673221,45320
1770052084716206,45370
1770052084758928,45400
1770052084801217,45310
1770052084844273,45330
1770052084887193,45280
1770052084929683,45320
1770052084974693,45280
1770052085017271,45290
1770052085060283,45320
1770052085103313,45310
1770052085146420,45260
1770052085189490,45340
1770052085232747,45270
1770052085275782,45280
1770052085318807,45340
1770052085361724,45380
1770052085404933,45370
1770052085447848,45330
1770052085494671,45370
1770052085537731,45340
1770052085580457,45340
1770052085623445,45330
1770052085666117,45230
1770052085709141,45290
1770052085752206,45290
1770052085795190,45380
1770052085837993,45360
1770052085881216,45330
1770052085924368,45380
1770052085967272,45310
1770052086010001,45340
1770052086054411,45280
1770052086097182,45350
1770052086140129,45280
1770052086183099,45310
1770052086226129,45260
1770052086269300,45260
1770052086312619,45240
1770052086355691,45330
1770052086398847,45370
1770052086441833,45370
1770052086484959,45350
1770052086528179,45360
1770052086574333,45370
1770052086617134,45310
1770052086660220,45360
1770052086703121,45340
1770052086745995,45300
1770052086789175,45350
1770052086832169,45250
1770052086875070,45390
1770052086917781,45250
1770052086960968,45300
1770052087004029,45310
1770052087046938,45390
1770052087089492,45270
1770052087134228,45410
1770052087177324,45350
1770052087220492,45280
1770052087263676,45290
1770052087306591,45240
1770052087349032,45240
1770052087391927,45270
1770052087434721,45250
1770052087477832,45330
1770052087520866,45340
1770052087563954,45380
1770052087606493,45260
1770052087649210,45280
1770052087694003,45240
1770052087736985,45250
1770052087780030,45310
1770052087823073,45280
1770052087865695,45280
1770052087908746,45250
1770052087953355,45290
1770052087996063,45310
1770052088039045,45290
1770052088081626,45340
1770052088124715,45270
1770052088167707,45280
1770052088213775,45250
1770052088256685,45330
1770052088299530,45270
1770052088342187,45330
1770052088385137,45320
1770052088427975,45250
1770052088470768,45220
1770052088513135,45390
1770052088555697,45270
1770052088598093,45340
1770052088641186,45230
1770052088684174,45300
1770052088726674,45370
1770052088769190,45290
1770052088813540,45260
1770052088856232,45200
1770052088898996,45260
1770052088941596,45350
1770052088984652,45160
1770052089027744,45380
1770052089070548,45380
1770052089113725,45310
1770052089156846,45310
1770052089199848,45370
1770052089242839,45280
1770052089285735,45290
1770052089329000,45270
1770052089373190,45210
1770052089415826,45330
1770052089458584,45310
1770052089501585,45330
1770052089544670,45290
1770052089587807,45320
1770052089630995,45280
1770052089673344,45270
1770052089716460,45280
1770052089759570,45250
1770052089802178,45290
1770052089845055,45400
1770052089887260,45310
1770052089932938,45300
1770052089975810,45250
1770052090018560,45270
1770052090061311,45250
1770052090104249,45260
1770052090147246,45340
1770052090189923,45310
1770052090232960,45250
1770052090276094,45310
1770052090318944,45330
1770052090362014,45260
1770052090404846,45310
1770052090447823,45330
1770052090492927,45260
1770052090535936,45260
1770052090578699,45310
1770052090621673,45300
1770052090664601,45260
1770052090707571,45270
1770052090750159,45290
1770052090793219,45280
1770052090836211,45290
1770052090879138,45200
1770052090921907,45230
1770052090964729,45320
1770052091007966,45280
1770052091052700,45250
1770052091095767,45280
1770052091138902,45260
1770052091182064,45300
1770052091225314,45210
1770052091268524,45270
1770052091311421,45220
1770052091354518,45270
1770052091397689,45310
1770052091440607,45270
1770052091483807,45320
1770052091526917,45290
1770052091572255,45260
1770052091614734,45250
1770052091657252,45230
1770052091699755,45370
1770052091742183,45320
1770052091784841,45260
1770052091827512,45320
1770052091869960,45310
1770052091912845,45280
1770052091956069,45260
1770052091998940,45280
1770052092041671,45310
1770052092084630,45270
1770052092127544,45340
1770052092172135,45310
1770052092215190,45310
1770052092258042,45340
1770052092301192,45290
1770052092344240,45250
1770052092386949,45310
1770052092430155,45320
1770052092473225,45250
1770052092516234,45230
1770052092559402,45340
1770052092602453,45320
1770052092645533,45290
1770052092691801,45260
1770052092734555,45250
1770052092777073,45250
1770052092819609,45270
1770052092862384,45250
1770052092905264,45250
1770052092948145,45340
1770052092990699,45300
1770052093033125,45250
1770052093075851,45240
1770052093118828,45320
1770052093161572,45190
1770052093204117,45250
1770052093247341,45350
1770052093291558,45320
1770052093334504,45360
1770052093376819,45340
1770052093419799,45320
1770052093462660,45330
1770052093505489,45300
1770052093548196,45260
1770052093590751,45260
1770052093633421,45230
1770052093676517,45280
1770052093719656,45200
1770052093762153,45350
1770052093805019,45270
1770052093851481,45330
1770052093894460,45260
1770052093937386,45280
1770052093979978,45280
1770052094022836,45250
1770052094065898,45280
1770052094108868,45300
1770052094151963,45260
1770052094194792,45280
1770052094237968,45290
1770052094280931,45290
1770052094324051,45320
1770052094367370,45290
1770052094411250,45260
1770052094454043,45220
1770052094496956,45300
1770052094540164,45260
1770052094583152,45240
1770052094626171,45270
1770052094669242,45300
1770052094711778,45360
1770052094754618,45290
1770052094797070,45330
1770052094840164,45230
1770052094883085,45310
1770052094925760,45220
1770052094971101,45210
1770052095013807,45300
1770052095057073,45250
1770052095100252,45280
1770052095143361,45350
1770052095186347,45290
1770052095229172,45310
1770052095272309,45230
1770052095315553,45280
1770052095358552,45270
1770052095401482,45280
1770052095444690,45250
1770052095490849,45270
1770052095534008,45330
1770052095577184,45320
1770052095620296,45410
1770052095663301,45330
1770052095706019,45280
1770052095749211,45220
1770052095792100,45180
1770052095834802,45290
1770052095877337,45330
1770052095920300,45320
1770052095963324,45290
1770052096005809,45350
1770052096050523,45270
1770052096093143,45290
1770052096136153,45300
1770052096178989,45330
1770052096221458,45300
1770052096264423,45320
1770052096307304,45320
1770052096350039,45310
1770052096393242,45260
1770052096436379,45350
1770052096479231,45410
1770052096521871,45320
1770052096564975,45230
1770052096610323,45280
1770052096653246,45290
1770052096696416,45280
1770052096739486,45310
1770052096782733,45320
1770052096825641,45400
1770052096868102,45280
1770052096910541,45310
1770052096953731,45330
1770052096996887,45330
