unix_timestamp,active_power (mW)
1770053516452623,45910
1770053516495171,41790
1770053516537760,45790
1770053516580838,46110
1770053516624053,46000
1770053516669222,46080
1770053516712060,46090
1770053516755005,46060
1770053516797548,46010
1770053516840657,45980
1770053516883487,45970
1770053516926056,46030
1770053516968464,46030
1770053517010973,45920
1770053517053736,45950
1770053517096385,46040
1770053517138793,45930
1770053517181672,45980
1770053517224510,45960
1770053517268794,45940
1770053517311913,46000
1770053517355036,45930
1770053517398085,45970
1770053517441118,45930
1770053517484274,45990
1770053517527153,46050
1770053517569736,45970
1770053517612175,45980
1770053517655010,45970
1770053517698075,45980
1770053517741145,46030
1770053517784246,45950
1770053517828539,45930
1770053517871677,45940
1770053517914081,45990
1770053517956720,45990
1770053517999369,46000
1770053518042010,45940
1770053518084567,45920
1770053518126945,45900
1770053518169754,46020
1770053518212701,45890
1770053518255057,45920
1770053518297559,45960
1770053518340729,45880
1770053518383858,45960
1770053518428280,45930
1770053518470943,45950
1770053518513506,45910
1770053518556371,45920
1770053518599474,45970
1770053518642644,45970
1770053518685156,46010
1770053518728332,45960
1770053518771375,45920
1770053518814159,45960
1770053518856840,45950
1770053518899629,45920
1770053518942343,46010
1770053518987830,45920
1770053519030521,45940
1770053519073481,45980
1770053519116584,45960
1770053519159482,45960
1770053519201967,45950
1770053519245095,45960
1770053519287805,45930
1770053519330394,45950
1770053519373272,46000
1770053519416508,45940
1770053519459374,45870
1770053519502085,45990
1770053519547581,46010
1770053519590590,46020
1770053519633523,46010
1770053519676407,45960
1770053519719525,46020
1770053519762466,46000
1770053519805204,45860
1770053519848416,46000
1770053519890947,45880
1770053519934742,46020
1770053519977799,45880
1770053520020494,46000
1770053520067451,45970
1770053520110124,45920
1770053520153297,45880
1770053520196379,45890
1770053520239256,45920
1770053520282325,45900
1770053520325287,45950
1770053520368289,45910
1770053520410554,45910
1770053520453523,45940
1770053520496622,45960
1770053520539698,45970
1770053520582758,45880
1770053520626935,45940
1770053520669597,45910
1770053520712629,45970
1770053520755593,45960
1770053520798005,45990
1770053520840902,45980
1770053520883830,45970
1770053520926955,45950
1770053520969450,45940
1770053521012530,45910
1770053521055453,45970
1770053521098605,46010
1770053521141194,46010
1770053521186482,45980
1770053521229220,45920
1770053521271880,45940
1770053521314521,46030
1770053521357376,45950
1770053521400608,45990
1770053521443398,45990
1770053521486250,45920
1770053521529214,45990
1770053521572188,45970
1770053521615068,45940
1770053521658148,45960
1770053521701056,46010
1770053521746140,46000
1770053521789024,45980
1770053521832116,46020
1770053521874634,45960
1770053521917926,45990
1770053521960274,45940
1770053522002802,46020
1770053522045322,45900
1770053522088528,45850
1770053522131484,45950
1770053522174521,46050
1770053522217577,45960
1770053522260590,45970
1770053522305909,46010
1770053522348900,45970
1770053522391948,45990
1770053522434976,45920
1770053522477403,45950
1770053522520550,45960
1770053522563590,46040
1770053522606199,45960
1770053522649117,45980
1770053522692290,45930
1770053522735347,45970
1770053522778325,46000
1770053522821330,45980
1770053522865457,45950
1770053522908734,46030
1770053522952059,45910
1770053522994932,46010
1770053523037397,45950
1770053523080346,45980
1770053523123362,45980
1770053523166604,45920
1770053523209751,46020
1770053523252730,45980
1770053523295256,45980
1770053523338359,45990
1770053523385198,46000
1770053523428296,45910
1770053523471141,45980
1770053523513966,45960
1770053523556912,45950
1770053523599974,45990
1770053523642823,45960
1770053523685303,45930
1770053523728462,45990
1770053523771258,45980
1770053523813964,45970
1770053523856898,46050
1770053523899895,46000
1770053523944822,45950
1770053523987916,45960
1770053524030707,46010
1770053524073236,45960
1770053524116335,45910
1770053524158914,45930
1770053524202073,45930
1770053524244931,45910
1770053524287700,45990
1770053524330102,45960
1770053524373043,45940
1770053524415523,45840
1770053524458347,45910
1770053524504559,45980
1770053524547603,45840
1770053524590293,45960
1770053524633110,45960
1770053524676075,45940
1770053524718791,45940
1770053524761584,45910
1770053524804474,45990
1770053524847116,45990
1770053524889963,45960
1770053524933059,45910
1770053524975889,45930
1770053525018690,45980
1770053525064200,45920
1770053525107338,45930
1770053525150120,46000
1770053525193276,45930
1770053525236318,45930
1770053525279345,45910
1770053525321961,45930
1770053525365020,45890
1770053525407801,45990
1770053525450949,45960
1770053525493386,45900
1770053525536436,45900
1770053525579140,45950
1770053525623965,45970
1770053525666975,45930
1770053525709804,45950
1770053525752282,45900
1770053525795373,45880
1770053525838227,45880
1770053525881246,45920
1770053525924321,45990
1770053525966896,45970
1770053526009341,45920
1770053526052076,45920
1770053526094964,45990
1770053526137418,46000
1770053526183503,45960
1770053526226585,45960
1770053526269075,45930
1770053526312192,45910
1770053526355003,45930
1770053526397297,45980
1770053526440344,46000
1770053526483548,45910
1770053526526014,45940
1770053526569109,46030
1770053526612383,45970
1770053526655401,45990
1770053526697918,45920
1770053526743014,45930
1770053526785464,45960
1770053526828550,45940
1770053526871412,45990
1770053526914544,46000
1770053526957632,46010
1770053527000636,46000
1770053527043503,46010
1770053527085916,45970
1770053527129091,45980
1770053527172229,45960
1770053527215014,46000
1770053527257925,45980
1770053527302548,45930
1770053527345279,45970
1770053527388536,46000
1770053527431556,46040
1770053527474116,45910
1770053527517225,45990
1770053527560194,45980
1770053527603322,46070
1770053527646453,45980
1770053527689303,45930
1770053527732289,46000
1770053527775290,45980
1770053527817950,45880
1770053527862159,45960
1770053527905137,45940
1770053527948244,46000
1770053527990694,45960
1770053528033398,45990
1770053528076299,45980
1770053528119330,45980
1770053528162526,45910
1770053528205724,46000
1770053528248608,45890
1770053528291779,45880
1770053528334814,45990
1770053528381801,45980
1770053528424547,45960
1770053528467516,45960
1770053528510545,45970
